agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,5debcf4b,1,0,2096
EvalMinimax(d=3),white,5debcf4b,1,1,154
EvalMinimax(d=3),white,5debcf4b,1,2,20
EvalMinimax(d=3),white,5debcf4b,1,3,1
EvalMinimax(d=3),white,5debcf4b,2,0,1119
EvalMinimax(d=3),white,5debcf4b,2,1,93
EvalMinimax(d=3),white,5debcf4b,2,2,21
EvalMinimax(d=3),white,5debcf4b,2,3,1
EvalMinimax(d=3),white,5debcf4b,3,0,981
EvalMinimax(d=3),white,5debcf4b,3,1,102
EvalMinimax(d=3),white,5debcf4b,3,2,28
EvalMinimax(d=3),white,5debcf4b,3,3,1
EvalMinimax(d=3),white,5debcf4b,4,0,880
EvalMinimax(d=3),white,5debcf4b,4,1,55
EvalMinimax(d=3),white,5debcf4b,4,2,27
EvalMinimax(d=3),white,5debcf4b,4,3,1
EvalMinimax(d=3),white,5debcf4b,5,0,1854
EvalMinimax(d=3),white,5debcf4b,5,1,292
EvalMinimax(d=3),white,5debcf4b,5,2,26
EvalMinimax(d=3),white,5debcf4b,5,3,1
EvalMinimax(d=3),white,5debcf4b,6,0,1386
EvalMinimax(d=3),white,5debcf4b,6,1,249
EvalMinimax(d=3),white,5debcf4b,6,2,23
EvalMinimax(d=3),white,5debcf4b,6,3,1
EvalMinimax(d=3),white,5debcf4b,7,0,1717
EvalMinimax(d=3),white,5debcf4b,7,1,157
EvalMinimax(d=3),white,5debcf4b,7,2,24
EvalMinimax(d=3),white,5debcf4b,7,3,1
EvalMinimax(d=3),white,5debcf4b,8,0,973
EvalMinimax(d=3),white,5debcf4b,8,1,82
EvalMinimax(d=3),white,5debcf4b,8,2,24
EvalMinimax(d=3),white,5debcf4b,8,3,1
EvalMinimax(d=3),white,5debcf4b,9,0,1736
EvalMinimax(d=3),white,5debcf4b,9,1,283
EvalMinimax(d=3),white,5debcf4b,9,2,23
EvalMinimax(d=3),white,5debcf4b,9,3,1
EvalMinimax(d=3),white,5debcf4b,10,0,673
EvalMinimax(d=3),white,5debcf4b,10,1,59
EvalMinimax(d=3),white,5debcf4b,10,2,25
EvalMinimax(d=3),white,5debcf4b,10,3,1
EvalMinimax(d=3),white,5debcf4b,11,0,736
EvalMinimax(d=3),white,5debcf4b,11,1,102
EvalMinimax(d=3),white,5debcf4b,11,2,23
EvalMinimax(d=3),white,5debcf4b,11,3,1
EvalMinimax(d=3),white,5debcf4b,12,0,2261
EvalMinimax(d=3),white,5debcf4b,12,1,288
EvalMinimax(d=3),white,5debcf4b,12,2,32
EvalMinimax(d=3),white,5debcf4b,12,3,1
EvalMinimax(d=3),white,5debcf4b,13,0,2431
EvalMinimax(d=3),white,5debcf4b,13,1,271
EvalMinimax(d=3),white,5debcf4b,13,2,33
EvalMinimax(d=3),white,5debcf4b,13,3,1
EvalMinimax(d=3),white,5debcf4b,14,0,2903
EvalMinimax(d=3),white,5debcf4b,14,1,279
EvalMinimax(d=3),white,5debcf4b,14,2,39
EvalMinimax(d=3),white,5debcf4b,14,3,1
EvalMinimax(d=3),white,5debcf4b,15,0,761
EvalMinimax(d=3),white,5debcf4b,15,1,139
EvalMinimax(d=3),white,5debcf4b,15,2,38
EvalMinimax(d=3),white,5debcf4b,15,3,1
EvalMinimax(d=3),white,5debcf4b,16,0,4192
EvalMinimax(d=3),white,5debcf4b,16,1,467
EvalMinimax(d=3),white,5debcf4b,16,2,46
EvalMinimax(d=3),white,5debcf4b,16,3,1
EvalMinimax(d=3),white,5debcf4b,17,0,2732
EvalMinimax(d=3),white,5debcf4b,17,1,288
EvalMinimax(d=3),white,5debcf4b,17,2,50
EvalMinimax(d=3),white,5debcf4b,17,3,1
EvalMinimax(d=3),white,5debcf4b,18,0,1762
EvalMinimax(d=3),white,5debcf4b,18,1,100
EvalMinimax(d=3),white,5debcf4b,18,2,49
EvalMinimax(d=3),white,5debcf4b,18,3,1
EvalMinimax(d=3),white,5debcf4b,19,0,2127
EvalMinimax(d=3),white,5debcf4b,19,1,98
EvalMinimax(d=3),white,5debcf4b,19,2,47
EvalMinimax(d=3),white,5debcf4b,19,3,1
EvalMinimax(d=3),white,5debcf4b,20,0,1967
EvalMinimax(d=3),white,5debcf4b,20,1,101
EvalMinimax(d=3),white,5debcf4b,20,2,45
EvalMinimax(d=3),white,5debcf4b,20,3,1
EvalMinimax(d=3),white,5debcf4b,21,0,2104
EvalMinimax(d=3),white,5debcf4b,21,1,310
EvalMinimax(d=3),white,5debcf4b,21,2,45
EvalMinimax(d=3),white,5debcf4b,21,3,1
EvalMinimax(d=3),white,5debcf4b,22,0,1312
EvalMinimax(d=3),white,5debcf4b,22,1,77
EvalMinimax(d=3),white,5debcf4b,22,2,37
EvalMinimax(d=3),white,5debcf4b,22,3,1
EvalMinimax(d=3),white,5debcf4b,23,0,1159
EvalMinimax(d=3),white,5debcf4b,23,1,168
EvalMinimax(d=3),white,5debcf4b,23,2,39
EvalMinimax(d=3),white,5debcf4b,23,3,1
EvalMinimax(d=3),white,5debcf4b,24,0,62
EvalMinimax(d=3),white,5debcf4b,24,1,45
EvalMinimax(d=3),white,5debcf4b,24,2,2
EvalMinimax(d=3),white,5debcf4b,24,3,1
EvalMinimax(d=3),white,5debcf4b,25,0,127
