agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),black,61bd7411,1,0,1571
EvalMinimax(d=3),black,61bd7411,1,1,142
EvalMinimax(d=3),black,61bd7411,1,2,20
EvalMinimax(d=3),black,61bd7411,1,3,1
EvalMinimax(d=3),black,61bd7411,2,0,1074
EvalMinimax(d=3),black,61bd7411,2,1,63
EvalMinimax(d=3),black,61bd7411,2,2,31
EvalMinimax(d=3),black,61bd7411,2,3,1
EvalMinimax(d=3),black,61bd7411,3,0,1049
EvalMinimax(d=3),black,61bd7411,3,1,127
EvalMinimax(d=3),black,61bd7411,3,2,34
EvalMinimax(d=3),black,61bd7411,3,3,1
EvalMinimax(d=3),black,61bd7411,4,0,2224
EvalMinimax(d=3),black,61bd7411,4,1,380
EvalMinimax(d=3),black,61bd7411,4,2,27
EvalMinimax(d=3),black,61bd7411,4,3,1
EvalMinimax(d=3),black,61bd7411,5,0,2465
EvalMinimax(d=3),black,61bd7411,5,1,404
EvalMinimax(d=3),black,61bd7411,5,2,26
EvalMinimax(d=3),black,61bd7411,5,3,1
EvalMinimax(d=3),black,61bd7411,6,0,757
EvalMinimax(d=3),black,61bd7411,6,1,96
EvalMinimax(d=3),black,61bd7411,6,2,25
EvalMinimax(d=3),black,61bd7411,6,3,1
EvalMinimax(d=3),black,61bd7411,7,0,1201
EvalMinimax(d=3),black,61bd7411,7,1,138
EvalMinimax(d=3),black,61bd7411,7,2,32
EvalMinimax(d=3),black,61bd7411,7,3,1
EvalMinimax(d=3),black,61bd7411,8,0,2791
EvalMinimax(d=3),black,61bd7411,8,1,448
EvalMinimax(d=3),black,61bd7411,8,2,36
EvalMinimax(d=3),black,61bd7411,8,3,1
EvalMinimax(d=3),black,61bd7411,9,0,1740
EvalMinimax(d=3),black,61bd7411,9,1,255
EvalMinimax(d=3),black,61bd7411,9,2,29
EvalMinimax(d=3),black,61bd7411,9,3,1
EvalMinimax(d=3),black,61bd7411,10,0,1099
EvalMinimax(d=3),black,61bd7411,10,1,92
EvalMinimax(d=3),black,61bd7411,10,2,33
EvalMinimax(d=3),black,61bd7411,10,3,1
EvalMinimax(d=3),black,61bd7411,11,0,3212
EvalMinimax(d=3),black,61bd7411,11,1,286
EvalMinimax(d=3),black,61bd7411,11,2,43
EvalMinimax(d=3),black,61bd7411,11,3,1
EvalMinimax(d=3),black,61bd7411,12,0,244
EvalMinimax(d=3),black,61bd7411,12,1,59
EvalMinimax(d=3),black,61bd7411,12,2,26
EvalMinimax(d=3),black,61bd7411,12,3,1
EvalMinimax(d=3),black,61bd7411,13,0,1351
EvalMinimax(d=3),black,61bd7411,13,1,70
EvalMinimax(d=3),black,61bd7411,13,2,40
EvalMinimax(d=3),black,61bd7411,13,3,1
EvalMinimax(d=3),black,61bd7411,14,0,2821
