agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),black,72b5bb5b,1,0,2257
EvalMinimax(d=3),black,72b5bb5b,1,1,197
EvalMinimax(d=3),black,72b5bb5b,1,2,20
EvalMinimax(d=3),black,72b5bb5b,1,3,1
EvalMinimax(d=3),black,72b5bb5b,2,0,598
EvalMinimax(d=3),black,72b5bb5b,2,1,52
EvalMinimax(d=3),black,72b5bb5b,2,2,23
EvalMinimax(d=3),black,72b5bb5b,2,3,1
EvalMinimax(d=3),black,72b5bb5b,3,0,968
EvalMinimax(d=3),black,72b5bb5b,3,1,73
EvalMinimax(d=3),black,72b5bb5b,3,2,30
EvalMinimax(d=3),black,72b5bb5b,3,3,1
EvalMinimax(d=3),black,72b5bb5b,4,0,1424
EvalMinimax(d=3),black,72b5bb5b,4,1,86
EvalMinimax(d=3),black,72b5bb5b,4,2,35
EvalMinimax(d=3),black,72b5bb5b,4,3,1
EvalMinimax(d=3),black,72b5bb5b,5,0,1212
EvalMinimax(d=3),black,72b5bb5b,5,1,48
EvalMinimax(d=3),black,72b5bb5b,5,2,35
EvalMinimax(d=3),black,72b5bb5b,5,3,1
EvalMinimax(d=3),black,72b5bb5b,6,0,1274
EvalMinimax(d=3),black,72b5bb5b,6,1,176
EvalMinimax(d=3),black,72b5bb5b,6,2,34
EvalMinimax(d=3),black,72b5bb5b,6,3,1
EvalMinimax(d=3),black,72b5bb5b,7,0,1044
EvalMinimax(d=3),black,72b5bb5b,7,1,173
EvalMinimax(d=3),black,72b5bb5b,7,2,33
EvalMinimax(d=3),black,72b5bb5b,7,3,1
EvalMinimax(d=3),black,72b5bb5b,8,0,1909
EvalMinimax(d=3),black,72b5bb5b,8,1,421
EvalMinimax(d=3),black,72b5bb5b,8,2,32
EvalMinimax(d=3),black,72b5bb5b,8,3,1
EvalMinimax(d=3),black,72b5bb5b,9,0,2309
EvalMinimax(d=3),black,72b5bb5b,9,1,524
EvalMinimax(d=3),black,72b5bb5b,9,2,32
EvalMinimax(d=3),black,72b5bb5b,9,3,1
EvalMinimax(d=3),black,72b5bb5b,10,0,2620
EvalMinimax(d=3),black,72b5bb5b,10,1,412
EvalMinimax(d=3),black,72b5bb5b,10,2,32
EvalMinimax(d=3),black,72b5bb5b,10,3,1
EvalMinimax(d=3),black,72b5bb5b,11,0,2297
EvalMinimax(d=3),black,72b5bb5b,11,1,549
EvalMinimax(d=3),black,72b5bb5b,11,2,30
EvalMinimax(d=3),black,72b5bb5b,11,3,1
EvalMinimax(d=3),black,72b5bb5b,12,0,1099
EvalMinimax(d=3),black,72b5bb5b,12,1,235
EvalMinimax(d=3),black,72b5bb5b,12,2,29
EvalMinimax(d=3),black,72b5bb5b,12,3,1
EvalMinimax(d=3),black,72b5bb5b,13,0,947
EvalMinimax(d=3),black,72b5bb5b,13,1,75
EvalMinimax(d=3),black,72b5bb5b,13,2,30
EvalMinimax(d=3),black,72b5bb5b,13,3,1
EvalMinimax(d=3),black,72b5bb5b,14,0,995
EvalMinimax(d=3),black,72b5bb5b,14,1,118
EvalMinimax(d=3),black,72b5bb5b,14,2,31
EvalMinimax(d=3),black,72b5bb5b,14,3,1
EvalMinimax(d=3),black,72b5bb5b,15,0,1023
EvalMinimax(d=3),black,72b5bb5b,15,1,128
EvalMinimax(d=3),black,72b5bb5b,15,2,31
EvalMinimax(d=3),black,72b5bb5b,15,3,1
EvalMinimax(d=3),black,72b5bb5b,16,0,57
EvalMinimax(d=3),black,72b5bb5b,16,1,29
EvalMinimax(d=3),black,72b5bb5b,16,2,1
EvalMinimax(d=3),black,72b5bb5b,16,3,1
EvalMinimax(d=3),black,72b5bb5b,17,0,764
EvalMinimax(d=3),black,72b5bb5b,17,1,201
EvalMinimax(d=3),black,72b5bb5b,17,2,29
EvalMinimax(d=3),black,72b5bb5b,17,3,1
EvalMinimax(d=3),black,72b5bb5b,18,0,875
EvalMinimax(d=3),black,72b5bb5b,18,1,134
EvalMinimax(d=3),black,72b5bb5b,18,2,27
EvalMinimax(d=3),black,72b5bb5b,18,3,1
EvalMinimax(d=3),black,72b5bb5b,19,0,755
EvalMinimax(d=3),black,72b5bb5b,19,1,110
EvalMinimax(d=3),black,72b5bb5b,19,2,25
EvalMinimax(d=3),black,72b5bb5b,19,3,1
EvalMinimax(d=3),black,72b5bb5b,20,0,613
EvalMinimax(d=3),black,72b5bb5b,20,1,125
EvalMinimax(d=3),black,72b5bb5b,20,2,24
EvalMinimax(d=3),black,72b5bb5b,20,3,1
EvalMinimax(d=3),black,72b5bb5b,21,0,711
EvalMinimax(d=3),black,72b5bb5b,21,1,142
EvalMinimax(d=3),black,72b5bb5b,21,2,23
EvalMinimax(d=3),black,72b5bb5b,21,3,1
EvalMinimax(d=3),black,72b5bb5b,22,0,1217
EvalMinimax(d=3),black,72b5bb5b,22,1,121
EvalMinimax(d=3),black,72b5bb5b,22,2,27
EvalMinimax(d=3),black,72b5bb5b,22,3,1
EvalMinimax(d=3),black,72b5bb5b,23,0,1761
EvalMinimax(d=3),black,72b5bb5b,23,1,215
EvalMinimax(d=3),black,72b5bb5b,23,2,23
EvalMinimax(d=3),black,72b5bb5b,23,3,1
EvalMinimax(d=3),black,72b5bb5b,24,0,676
EvalMinimax(d=3),black,72b5bb5b,24,1,202
EvalMinimax(d=3),black,72b5bb5b,24,2,21
EvalMinimax(d=3),black,72b5bb5b,24,3,1
EvalMinimax(d=3),black,72b5bb5b,25,0,1017
EvalMinimax(d=3),black,72b5bb5b,25,1,302
EvalMinimax(d=3),black,72b5bb5b,25,2,22
EvalMinimax(d=3),black,72b5bb5b,25,3,1
EvalMinimax(d=3),black,72b5bb5b,26,0,850
EvalMinimax(d=3),black,72b5bb5b,26,1,177
EvalMinimax(d=3),black,72b5bb5b,26,2,28
EvalMinimax(d=3),black,72b5bb5b,26,3,1
EvalMinimax(d=3),black,72b5bb5b,27,0,763
EvalMinimax(d=3),black,72b5bb5b,27,1,171
EvalMinimax(d=3),black,72b5bb5b,27,2,28
EvalMinimax(d=3),black,72b5bb5b,27,3,1
EvalMinimax(d=3),black,72b5bb5b,28,0,700
EvalMinimax(d=3),black,72b5bb5b,28,1,87
EvalMinimax(d=3),black,72b5bb5b,28,2,28
EvalMinimax(d=3),black,72b5bb5b,28,3,1
EvalMinimax(d=3),black,72b5bb5b,29,0,813
EvalMinimax(d=3),black,72b5bb5b,29,1,179
EvalMinimax(d=3),black,72b5bb5b,29,2,28
EvalMinimax(d=3),black,72b5bb5b,29,3,1
EvalMinimax(d=3),black,72b5bb5b,30,0,721
EvalMinimax(d=3),black,72b5bb5b,30,1,179
EvalMinimax(d=3),black,72b5bb5b,30,2,22
EvalMinimax(d=3),black,72b5bb5b,30,3,1
EvalMinimax(d=3),black,72b5bb5b,31,0,109
EvalMinimax(d=3),black,72b5bb5b,31,1,53
EvalMinimax(d=3),black,72b5bb5b,31,2,2
EvalMinimax(d=3),black,72b5bb5b,31,3,1
EvalMinimax(d=3),black,72b5bb5b,32,0,216
EvalMinimax(d=3),black,72b5bb5b,32,1,66
EvalMinimax(d=3),black,72b5bb5b,32,2,14
EvalMinimax(d=3),black,72b5bb5b,32,3,1
EvalMinimax(d=3),black,72b5bb5b,33,0,408
EvalMinimax(d=3),black,72b5bb5b,33,1,191
EvalMinimax(d=3),black,72b5bb5b,33,2,16
EvalMinimax(d=3),black,72b5bb5b,33,3,1
EvalMinimax(d=3),black,72b5bb5b,34,0,70
EvalMinimax(d=3),black,72b5bb5b,34,1,41
EvalMinimax(d=3),black,72b5bb5b,34,2,2
EvalMinimax(d=3),black,72b5bb5b,34,3,1
EvalMinimax(d=3),black,72b5bb5b,35,0,306
EvalMinimax(d=3),black,72b5bb5b,35,1,103
EvalMinimax(d=3),black,72b5bb5b,35,2,18
EvalMinimax(d=3),black,72b5bb5b,35,3,1
EvalMinimax(d=3),black,72b5bb5b,36,0,392
EvalMinimax(d=3),black,72b5bb5b,36,1,209
EvalMinimax(d=3),black,72b5bb5b,36,2,17
EvalMinimax(d=3),black,72b5bb5b,36,3,1
EvalMinimax(d=3),black,72b5bb5b,37,0,438
EvalMinimax(d=3),black,72b5bb5b,37,1,278
EvalMinimax(d=3),black,72b5bb5b,37,2,16
EvalMinimax(d=3),black,72b5bb5b,37,3,1
EvalMinimax(d=3),black,72b5bb5b,38,0,405
EvalMinimax(d=3),black,72b5bb5b,38,1,261
EvalMinimax(d=3),black,72b5bb5b,38,2,16
EvalMinimax(d=3),black,72b5bb5b,38,3,1
EvalMinimax(d=3),black,72b5bb5b,39,0,271
EvalMinimax(d=3),black,72b5bb5b,39,1,61
EvalMinimax(d=3),black,72b5bb5b,39,2,12
EvalMinimax(d=3),black,72b5bb5b,39,3,1
EvalMinimax(d=3),black,72b5bb5b,40,0,462
