agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),black,17199e8c,1,-2,66
QSearchMinimax(d=3),black,17199e8c,1,-1,169
QSearchMinimax(d=3),black,17199e8c,1,0,2260
QSearchMinimax(d=3),black,17199e8c,1,1,168
QSearchMinimax(d=3),black,17199e8c,1,2,20
QSearchMinimax(d=3),black,17199e8c,1,3,1
QSearchMinimax(d=3),black,17199e8c,2,-2,164
QSearchMinimax(d=3),black,17199e8c,2,-1,300
QSearchMinimax(d=3),black,17199e8c,2,0,2502
QSearchMinimax(d=3),black,17199e8c,2,1,163
QSearchMinimax(d=3),black,17199e8c,2,2,22
QSearchMinimax(d=3),black,17199e8c,2,3,1
QSearchMinimax(d=3),black,17199e8c,3,-2,167
QSearchMinimax(d=3),black,17199e8c,3,-1,187
QSearchMinimax(d=3),black,17199e8c,3,0,1908
QSearchMinimax(d=3),black,17199e8c,3,1,140
QSearchMinimax(d=3),black,17199e8c,3,2,23
QSearchMinimax(d=3),black,17199e8c,3,3,1
QSearchMinimax(d=3),black,17199e8c,4,-2,1184
QSearchMinimax(d=3),black,17199e8c,4,-1,631
QSearchMinimax(d=3),black,17199e8c,4,0,1152
QSearchMinimax(d=3),black,17199e8c,4,1,47
QSearchMinimax(d=3),black,17199e8c,4,2,31
QSearchMinimax(d=3),black,17199e8c,4,3,1
QSearchMinimax(d=3),black,17199e8c,5,-2,763
QSearchMinimax(d=3),black,17199e8c,5,-1,397
QSearchMinimax(d=3),black,17199e8c,5,0,1056
QSearchMinimax(d=3),black,17199e8c,5,1,44
QSearchMinimax(d=3),black,17199e8c,5,2,30
QSearchMinimax(d=3),black,17199e8c,5,3,1
QSearchMinimax(d=3),black,17199e8c,6,-2,3254
QSearchMinimax(d=3),black,17199e8c,6,-1,1127
QSearchMinimax(d=3),black,17199e8c,6,0,1400
QSearchMinimax(d=3),black,17199e8c,6,1,68
QSearchMinimax(d=3),black,17199e8c,6,2,32
QSearchMinimax(d=3),black,17199e8c,6,3,1
QSearchMinimax(d=3),black,17199e8c,7,-2,3013
QSearchMinimax(d=3),black,17199e8c,7,-1,1186
QSearchMinimax(d=3),black,17199e8c,7,0,1112
QSearchMinimax(d=3),black,17199e8c,7,1,92
QSearchMinimax(d=3),black,17199e8c,7,2,35
QSearchMinimax(d=3),black,17199e8c,7,3,1
QSearchMinimax(d=3),black,17199e8c,8,-2,3549
QSearchMinimax(d=3),black,17199e8c,8,-1,1195
QSearchMinimax(d=3),black,17199e8c,8,0,1051
QSearchMinimax(d=3),black,17199e8c,8,1,79
QSearchMinimax(d=3),black,17199e8c,8,2,40
QSearchMinimax(d=3),black,17199e8c,8,3,1
QSearchMinimax(d=3),black,17199e8c,9,-2,1081
QSearchMinimax(d=3),black,17199e8c,9,-1,370
QSearchMinimax(d=3),black,17199e8c,9,0,367
QSearchMinimax(d=3),black,17199e8c,9,1,24
QSearchMinimax(d=3),black,17199e8c,9,2,4
QSearchMinimax(d=3),black,17199e8c,9,3,1
QSearchMinimax(d=3),black,17199e8c,10,-2,3706
QSearchMinimax(d=3),black,17199e8c,10,-1,1258
QSearchMinimax(d=3),black,17199e8c,10,0,2147
QSearchMinimax(d=3),black,17199e8c,10,1,91
QSearchMinimax(d=3),black,17199e8c,10,2,48
QSearchMinimax(d=3),black,17199e8c,10,3,1
QSearchMinimax(d=3),black,17199e8c,11,-2,6029
QSearchMinimax(d=3),black,17199e8c,11,-1,2156
QSearchMinimax(d=3),black,17199e8c,11,0,2350
QSearchMinimax(d=3),black,17199e8c,11,1,80
QSearchMinimax(d=3),black,17199e8c,11,2,58
QSearchMinimax(d=3),black,17199e8c,11,3,1
QSearchMinimax(d=3),black,17199e8c,12,-2,4235
QSearchMinimax(d=3),black,17199e8c,12,-1,1191
QSearchMinimax(d=3),black,17199e8c,12,0,1389
QSearchMinimax(d=3),black,17199e8c,12,1,65
QSearchMinimax(d=3),black,17199e8c,12,2,39
QSearchMinimax(d=3),black,17199e8c,12,3,1
QSearchMinimax(d=3),black,17199e8c,13,-2,5716
QSearchMinimax(d=3),black,17199e8c,13,-1,1833
QSearchMinimax(d=3),black,17199e8c,13,0,1801
QSearchMinimax(d=3),black,17199e8c,13,1,90
QSearchMinimax(d=3),black,17199e8c,13,2,42
QSearchMinimax(d=3),black,17199e8c,13,3,1
QSearchMinimax(d=3),black,17199e8c,14,-2,7528
QSearchMinimax(d=3),black,17199e8c,14,-1,3211
QSearchMinimax(d=3),black,17199e8c,14,0,2552
QSearchMinimax(d=3),black,17199e8c,14,1,194
QSearchMinimax(d=3),black,17199e8c,14,2,41
QSearchMinimax(d=3),black,17199e8c,14,3,1
QSearchMinimax(d=3),black,17199e8c,15,-2,497
QSearchMinimax(d=3),black,17199e8c,15,-1,275
QSearchMinimax(d=3),black,17199e8c,15,0,275
QSearchMinimax(d=3),black,17199e8c,15,1,22
QSearchMinimax(d=3),black,17199e8c,15,2,4
QSearchMinimax(d=3),black,17199e8c,15,3,1
QSearchMinimax(d=3),black,17199e8c,16,-2,6633
QSearchMinimax(d=3),black,17199e8c,16,-1,3614
QSearchMinimax(d=3),black,17199e8c,16,0,4163
QSearchMinimax(d=3),black,17199e8c,16,1,194
QSearchMinimax(d=3),black,17199e8c,16,2,56
QSearchMinimax(d=3),black,17199e8c,16,3,1
QSearchMinimax(d=3),black,17199e8c,17,-2,2575
QSearchMinimax(d=3),black,17199e8c,17,-1,1424
QSearchMinimax(d=3),black,17199e8c,17,0,1393
QSearchMinimax(d=3),black,17199e8c,17,1,83
QSearchMinimax(d=3),black,17199e8c,17,2,52
QSearchMinimax(d=3),black,17199e8c,17,3,1
QSearchMinimax(d=3),black,17199e8c,18,-2,29391
QSearchMinimax(d=3),black,17199e8c,18,-1,10644
QSearchMinimax(d=3),black,17199e8c,18,0,6925
QSearchMinimax(d=3),black,17199e8c,18,1,419
QSearchMinimax(d=3),black,17199e8c,18,2,50
QSearchMinimax(d=3),black,17199e8c,18,3,1
QSearchMinimax(d=3),black,17199e8c,19,-2,11153
QSearchMinimax(d=3),black,17199e8c,19,-1,3389
QSearchMinimax(d=3),black,17199e8c,19,0,2722
QSearchMinimax(d=3),black,17199e8c,19,1,181
QSearchMinimax(d=3),black,17199e8c,19,2,56
QSearchMinimax(d=3),black,17199e8c,19,3,1
QSearchMinimax(d=3),black,17199e8c,20,-2,3904
QSearchMinimax(d=3),black,17199e8c,20,-1,1129
QSearchMinimax(d=3),black,17199e8c,20,0,1156
QSearchMinimax(d=3),black,17199e8c,20,1,65
QSearchMinimax(d=3),black,17199e8c,20,2,49
QSearchMinimax(d=3),black,17199e8c,20,3,1
QSearchMinimax(d=3),black,17199e8c,21,-2,4865
QSearchMinimax(d=3),black,17199e8c,21,-1,1881
QSearchMinimax(d=3),black,17199e8c,21,0,1967
QSearchMinimax(d=3),black,17199e8c,21,1,64
QSearchMinimax(d=3),black,17199e8c,21,2,48
QSearchMinimax(d=3),black,17199e8c,21,3,1
QSearchMinimax(d=3),black,17199e8c,22,-2,4936
QSearchMinimax(d=3),black,17199e8c,22,-1,2270
QSearchMinimax(d=3),black,17199e8c,22,0,2388
QSearchMinimax(d=3),black,17199e8c,22,1,56
QSearchMinimax(d=3),black,17199e8c,22,2,53
QSearchMinimax(d=3),black,17199e8c,22,3,1
QSearchMinimax(d=3),black,17199e8c,23,-2,6983
QSearchMinimax(d=3),black,17199e8c,23,-1,2366
QSearchMinimax(d=3),black,17199e8c,23,0,2464
QSearchMinimax(d=3),black,17199e8c,23,1,64
QSearchMinimax(d=3),black,17199e8c,23,2,57
QSearchMinimax(d=3),black,17199e8c,23,3,1
QSearchMinimax(d=3),black,17199e8c,24,-2,3220
QSearchMinimax(d=3),black,17199e8c,24,-1,1373
QSearchMinimax(d=3),black,17199e8c,24,0,1448
QSearchMinimax(d=3),black,17199e8c,24,1,59
QSearchMinimax(d=3),black,17199e8c,24,2,45
QSearchMinimax(d=3),black,17199e8c,24,3,1
QSearchMinimax(d=3),black,17199e8c,25,-2,3649
QSearchMinimax(d=3),black,17199e8c,25,-1,1536
QSearchMinimax(d=3),black,17199e8c,25,0,1934
QSearchMinimax(d=3),black,17199e8c,25,1,56
QSearchMinimax(d=3),black,17199e8c,25,2,48
QSearchMinimax(d=3),black,17199e8c,25,3,1
QSearchMinimax(d=3),black,17199e8c,26,-2,887
QSearchMinimax(d=3),black,17199e8c,26,-1,721
QSearchMinimax(d=3),black,17199e8c,26,0,1273
QSearchMinimax(d=3),black,17199e8c,26,1,46
QSearchMinimax(d=3),black,17199e8c,26,2,41
QSearchMinimax(d=3),black,17199e8c,26,3,1
QSearchMinimax(d=3),black,17199e8c,27,-2,849
QSearchMinimax(d=3),black,17199e8c,27,-1,605
QSearchMinimax(d=3),black,17199e8c,27,0,704
QSearchMinimax(d=3),black,17199e8c,27,1,64
QSearchMinimax(d=3),black,17199e8c,27,2,5
QSearchMinimax(d=3),black,17199e8c,27,3,1
