agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),black,356fe2b7,1,-2,147
QSearchMinimax(d=3),black,356fe2b7,1,-1,241
QSearchMinimax(d=3),black,356fe2b7,1,0,2316
QSearchMinimax(d=3),black,356fe2b7,1,1,193
QSearchMinimax(d=3),black,356fe2b7,1,2,20
QSearchMinimax(d=3),black,356fe2b7,1,3,1
QSearchMinimax(d=3),black,356fe2b7,2,-2,180
QSearchMinimax(d=3),black,356fe2b7,2,-1,244
QSearchMinimax(d=3),black,356fe2b7,2,0,2272
QSearchMinimax(d=3),black,356fe2b7,2,1,194
QSearchMinimax(d=3),black,356fe2b7,2,2,20
QSearchMinimax(d=3),black,356fe2b7,2,3,1
QSearchMinimax(d=3),black,356fe2b7,3,-2,2182
QSearchMinimax(d=3),black,356fe2b7,3,-1,1577
QSearchMinimax(d=3),black,356fe2b7,3,0,1796
QSearchMinimax(d=3),black,356fe2b7,3,1,256
QSearchMinimax(d=3),black,356fe2b7,3,2,20
QSearchMinimax(d=3),black,356fe2b7,3,3,1
QSearchMinimax(d=3),black,356fe2b7,4,-2,4434
QSearchMinimax(d=3),black,356fe2b7,4,-1,1803
QSearchMinimax(d=3),black,356fe2b7,4,0,2008
QSearchMinimax(d=3),black,356fe2b7,4,1,132
QSearchMinimax(d=3),black,356fe2b7,4,2,29
QSearchMinimax(d=3),black,356fe2b7,4,3,1
QSearchMinimax(d=3),black,356fe2b7,5,-2,3369
QSearchMinimax(d=3),black,356fe2b7,5,-1,1934
QSearchMinimax(d=3),black,356fe2b7,5,0,2003
QSearchMinimax(d=3),black,356fe2b7,5,1,196
QSearchMinimax(d=3),black,356fe2b7,5,2,23
QSearchMinimax(d=3),black,356fe2b7,5,3,1
QSearchMinimax(d=3),black,356fe2b7,6,-2,5231
QSearchMinimax(d=3),black,356fe2b7,6,-1,3000
QSearchMinimax(d=3),black,356fe2b7,6,0,3002
QSearchMinimax(d=3),black,356fe2b7,6,1,290
QSearchMinimax(d=3),black,356fe2b7,6,2,27
QSearchMinimax(d=3),black,356fe2b7,6,3,1
QSearchMinimax(d=3),black,356fe2b7,7,-2,13088
QSearchMinimax(d=3),black,356fe2b7,7,-1,6478
QSearchMinimax(d=3),black,356fe2b7,7,0,5677
QSearchMinimax(d=3),black,356fe2b7,7,1,299
QSearchMinimax(d=3),black,356fe2b7,7,2,28
QSearchMinimax(d=3),black,356fe2b7,7,3,1
QSearchMinimax(d=3),black,356fe2b7,8,-2,14804
QSearchMinimax(d=3),black,356fe2b7,8,-1,6698
QSearchMinimax(d=3),black,356fe2b7,8,0,5343
QSearchMinimax(d=3),black,356fe2b7,8,1,303
QSearchMinimax(d=3),black,356fe2b7,8,2,28
QSearchMinimax(d=3),black,356fe2b7,8,3,1
QSearchMinimax(d=3),black,356fe2b7,9,-2,12649
QSearchMinimax(d=3),black,356fe2b7,9,-1,6130
QSearchMinimax(d=3),black,356fe2b7,9,0,4698
QSearchMinimax(d=3),black,356fe2b7,9,1,276
QSearchMinimax(d=3),black,356fe2b7,9,2,29
QSearchMinimax(d=3),black,356fe2b7,9,3,1
QSearchMinimax(d=3),black,356fe2b7,10,-2,19478
QSearchMinimax(d=3),black,356fe2b7,10,-1,7814
QSearchMinimax(d=3),black,356fe2b7,10,0,5883
QSearchMinimax(d=3),black,356fe2b7,10,1,361
QSearchMinimax(d=3),black,356fe2b7,10,2,32
QSearchMinimax(d=3),black,356fe2b7,10,3,1
QSearchMinimax(d=3),black,356fe2b7,11,-2,11954
QSearchMinimax(d=3),black,356fe2b7,11,-1,4473
QSearchMinimax(d=3),black,356fe2b7,11,0,3701
QSearchMinimax(d=3),black,356fe2b7,11,1,209
QSearchMinimax(d=3),black,356fe2b7,11,2,30
QSearchMinimax(d=3),black,356fe2b7,11,3,1
QSearchMinimax(d=3),black,356fe2b7,12,-2,11296
QSearchMinimax(d=3),black,356fe2b7,12,-1,4951
QSearchMinimax(d=3),black,356fe2b7,12,0,3538
QSearchMinimax(d=3),black,356fe2b7,12,1,272
QSearchMinimax(d=3),black,356fe2b7,12,2,30
QSearchMinimax(d=3),black,356fe2b7,12,3,1
QSearchMinimax(d=3),black,356fe2b7,13,-2,11108
QSearchMinimax(d=3),black,356fe2b7,13,-1,4080
QSearchMinimax(d=3),black,356fe2b7,13,0,2931
QSearchMinimax(d=3),black,356fe2b7,13,1,265
QSearchMinimax(d=3),black,356fe2b7,13,2,27
QSearchMinimax(d=3),black,356fe2b7,13,3,1
QSearchMinimax(d=3),black,356fe2b7,14,-2,26890
QSearchMinimax(d=3),black,356fe2b7,14,-1,13320
QSearchMinimax(d=3),black,356fe2b7,14,0,7261
QSearchMinimax(d=3),black,356fe2b7,14,1,559
QSearchMinimax(d=3),black,356fe2b7,14,2,28
QSearchMinimax(d=3),black,356fe2b7,14,3,1
QSearchMinimax(d=3),black,356fe2b7,15,-2,7812
QSearchMinimax(d=3),black,356fe2b7,15,-1,3194
QSearchMinimax(d=3),black,356fe2b7,15,0,2247
QSearchMinimax(d=3),black,356fe2b7,15,1,176
QSearchMinimax(d=3),black,356fe2b7,15,2,28
QSearchMinimax(d=3),black,356fe2b7,15,3,1
QSearchMinimax(d=3),black,356fe2b7,16,-2,7886
QSearchMinimax(d=3),black,356fe2b7,16,-1,3630
QSearchMinimax(d=3),black,356fe2b7,16,0,2803
QSearchMinimax(d=3),black,356fe2b7,16,1,329
QSearchMinimax(d=3),black,356fe2b7,16,2,23
QSearchMinimax(d=3),black,356fe2b7,16,3,1
QSearchMinimax(d=3),black,356fe2b7,17,-2,1316
QSearchMinimax(d=3),black,356fe2b7,17,-1,469
QSearchMinimax(d=3),black,356fe2b7,17,0,455
QSearchMinimax(d=3),black,356fe2b7,17,1,64
QSearchMinimax(d=3),black,356fe2b7,17,2,24
QSearchMinimax(d=3),black,356fe2b7,17,3,1
QSearchMinimax(d=3),black,356fe2b7,18,-2,8547
QSearchMinimax(d=3),black,356fe2b7,18,-1,3516
QSearchMinimax(d=3),black,356fe2b7,18,0,2489
QSearchMinimax(d=3),black,356fe2b7,18,1,213
QSearchMinimax(d=3),black,356fe2b7,18,2,30
QSearchMinimax(d=3),black,356fe2b7,18,3,1
QSearchMinimax(d=3),black,356fe2b7,19,-2,10822
QSearchMinimax(d=3),black,356fe2b7,19,-1,4345
QSearchMinimax(d=3),black,356fe2b7,19,0,2938
QSearchMinimax(d=3),black,356fe2b7,19,1,218
QSearchMinimax(d=3),black,356fe2b7,19,2,37
QSearchMinimax(d=3),black,356fe2b7,19,3,1
QSearchMinimax(d=3),black,356fe2b7,20,-2,12928
QSearchMinimax(d=3),black,356fe2b7,20,-1,5163
QSearchMinimax(d=3),black,356fe2b7,20,0,3393
QSearchMinimax(d=3),black,356fe2b7,20,1,238
QSearchMinimax(d=3),black,356fe2b7,20,2,31
QSearchMinimax(d=3),black,356fe2b7,20,3,1
QSearchMinimax(d=3),black,356fe2b7,21,-2,2593
QSearchMinimax(d=3),black,356fe2b7,21,-1,844
QSearchMinimax(d=3),black,356fe2b7,21,0,683
QSearchMinimax(d=3),black,356fe2b7,21,1,97
QSearchMinimax(d=3),black,356fe2b7,21,2,6
QSearchMinimax(d=3),black,356fe2b7,21,3,1
QSearchMinimax(d=3),black,356fe2b7,22,-2,22183
QSearchMinimax(d=3),black,356fe2b7,22,-1,7077
QSearchMinimax(d=3),black,356fe2b7,22,0,5286
QSearchMinimax(d=3),black,356fe2b7,22,1,413
QSearchMinimax(d=3),black,356fe2b7,22,2,34
QSearchMinimax(d=3),black,356fe2b7,22,3,1
QSearchMinimax(d=3),black,356fe2b7,23,-2,10424
QSearchMinimax(d=3),black,356fe2b7,23,-1,2289
QSearchMinimax(d=3),black,356fe2b7,23,0,1899
QSearchMinimax(d=3),black,356fe2b7,23,1,92
QSearchMinimax(d=3),black,356fe2b7,23,2,40
QSearchMinimax(d=3),black,356fe2b7,23,3,1
QSearchMinimax(d=3),black,356fe2b7,24,-2,6288
QSearchMinimax(d=3),black,356fe2b7,24,-1,1815
QSearchMinimax(d=3),black,356fe2b7,24,0,1544
QSearchMinimax(d=3),black,356fe2b7,24,1,92
QSearchMinimax(d=3),black,356fe2b7,24,2,38
QSearchMinimax(d=3),black,356fe2b7,24,3,1
QSearchMinimax(d=3),black,356fe2b7,25,-2,4033
QSearchMinimax(d=3),black,356fe2b7,25,-1,1381
QSearchMinimax(d=3),black,356fe2b7,25,0,1248
