agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),white,46eebc9f,1,-2,40
QSearchMinimax(d=3),white,46eebc9f,1,-1,158
QSearchMinimax(d=3),white,46eebc9f,1,0,2201
QSearchMinimax(d=3),white,46eebc9f,1,1,156
QSearchMinimax(d=3),white,46eebc9f,1,2,20
QSearchMinimax(d=3),white,46eebc9f,1,3,1
QSearchMinimax(d=3),white,46eebc9f,2,-2,972
QSearchMinimax(d=3),white,46eebc9f,2,-1,1216
QSearchMinimax(d=3),white,46eebc9f,2,0,3051
QSearchMinimax(d=3),white,46eebc9f,2,1,230
QSearchMinimax(d=3),white,46eebc9f,2,2,21
QSearchMinimax(d=3),white,46eebc9f,2,3,1
QSearchMinimax(d=3),white,46eebc9f,3,-2,890
QSearchMinimax(d=3),white,46eebc9f,3,-1,947
QSearchMinimax(d=3),white,46eebc9f,3,0,1578
QSearchMinimax(d=3),white,46eebc9f,3,1,143
QSearchMinimax(d=3),white,46eebc9f,3,2,29
QSearchMinimax(d=3),white,46eebc9f,3,3,1
QSearchMinimax(d=3),white,46eebc9f,4,-2,3783
QSearchMinimax(d=3),white,46eebc9f,4,-1,2928
QSearchMinimax(d=3),white,46eebc9f,4,0,3669
QSearchMinimax(d=3),white,46eebc9f,4,1,360
QSearchMinimax(d=3),white,46eebc9f,4,2,28
QSearchMinimax(d=3),white,46eebc9f,4,3,1
QSearchMinimax(d=3),white,46eebc9f,5,-2,2366
QSearchMinimax(d=3),white,46eebc9f,5,-1,1382
QSearchMinimax(d=3),white,46eebc9f,5,0,2112
QSearchMinimax(d=3),white,46eebc9f,5,1,218
QSearchMinimax(d=3),white,46eebc9f,5,2,29
QSearchMinimax(d=3),white,46eebc9f,5,3,1
QSearchMinimax(d=3),white,46eebc9f,6,-2,6027
QSearchMinimax(d=3),white,46eebc9f,6,-1,2933
QSearchMinimax(d=3),white,46eebc9f,6,0,3497
QSearchMinimax(d=3),white,46eebc9f,6,1,290
QSearchMinimax(d=3),white,46eebc9f,6,2,32
QSearchMinimax(d=3),white,46eebc9f,6,3,1
QSearchMinimax(d=3),white,46eebc9f,7,-2,7522
QSearchMinimax(d=3),white,46eebc9f,7,-1,3475
QSearchMinimax(d=3),white,46eebc9f,7,0,4028
QSearchMinimax(d=3),white,46eebc9f,7,1,360
QSearchMinimax(d=3),white,46eebc9f,7,2,32
QSearchMinimax(d=3),white,46eebc9f,7,3,1
QSearchMinimax(d=3),white,46eebc9f,8,-2,2401
QSearchMinimax(d=3),white,46eebc9f,8,-1,1361
QSearchMinimax(d=3),white,46eebc9f,8,0,1359
QSearchMinimax(d=3),white,46eebc9f,8,1,132
QSearchMinimax(d=3),white,46eebc9f,8,2,26
QSearchMinimax(d=3),white,46eebc9f,8,3,1
QSearchMinimax(d=3),white,46eebc9f,9,-2,3841
QSearchMinimax(d=3),white,46eebc9f,9,-1,1911
QSearchMinimax(d=3),white,46eebc9f,9,0,1907
QSearchMinimax(d=3),white,46eebc9f,9,1,215
QSearchMinimax(d=3),white,46eebc9f,9,2,26
QSearchMinimax(d=3),white,46eebc9f,9,3,1
QSearchMinimax(d=3),white,46eebc9f,10,-2,6300
QSearchMinimax(d=3),white,46eebc9f,10,-1,2474
QSearchMinimax(d=3),white,46eebc9f,10,0,2437
QSearchMinimax(d=3),white,46eebc9f,10,1,189
QSearchMinimax(d=3),white,46eebc9f,10,2,32
QSearchMinimax(d=3),white,46eebc9f,10,3,1
QSearchMinimax(d=3),white,46eebc9f,11,-2,13022
QSearchMinimax(d=3),white,46eebc9f,11,-1,4527
QSearchMinimax(d=3),white,46eebc9f,11,0,3910
QSearchMinimax(d=3),white,46eebc9f,11,1,212
QSearchMinimax(d=3),white,46eebc9f,11,2,33
QSearchMinimax(d=3),white,46eebc9f,11,3,1
QSearchMinimax(d=3),white,46eebc9f,12,-2,11744
QSearchMinimax(d=3),white,46eebc9f,12,-1,4141
QSearchMinimax(d=3),white,46eebc9f,12,0,3767
QSearchMinimax(d=3),white,46eebc9f,12,1,277
QSearchMinimax(d=3),white,46eebc9f,12,2,31
QSearchMinimax(d=3),white,46eebc9f,12,3,1
QSearchMinimax(d=3),white,46eebc9f,13,-2,8248
QSearchMinimax(d=3),white,46eebc9f,13,-1,2949
QSearchMinimax(d=3),white,46eebc9f,13,0,2754
QSearchMinimax(d=3),white,46eebc9f,13,1,252
QSearchMinimax(d=3),white,46eebc9f,13,2,32
QSearchMinimax(d=3),white,46eebc9f,13,3,1
QSearchMinimax(d=3),white,46eebc9f,14,-2,8354
QSearchMinimax(d=3),white,46eebc9f,14,-1,3036
QSearchMinimax(d=3),white,46eebc9f,14,0,2784
QSearchMinimax(d=3),white,46eebc9f,14,1,198
QSearchMinimax(d=3),white,46eebc9f,14,2,32
QSearchMinimax(d=3),white,46eebc9f,14,3,1
QSearchMinimax(d=3),white,46eebc9f,15,-2,10149
QSearchMinimax(d=3),white,46eebc9f,15,-1,3736
QSearchMinimax(d=3),white,46eebc9f,15,0,3276
QSearchMinimax(d=3),white,46eebc9f,15,1,272
QSearchMinimax(d=3),white,46eebc9f,15,2,32
QSearchMinimax(d=3),white,46eebc9f,15,3,1
QSearchMinimax(d=3),white,46eebc9f,16,-2,13390
QSearchMinimax(d=3),white,46eebc9f,16,-1,5254
QSearchMinimax(d=3),white,46eebc9f,16,0,3998
QSearchMinimax(d=3),white,46eebc9f,16,1,353
QSearchMinimax(d=3),white,46eebc9f,16,2,39
QSearchMinimax(d=3),white,46eebc9f,16,3,1
QSearchMinimax(d=3),white,46eebc9f,17,-2,10554
QSearchMinimax(d=3),white,46eebc9f,17,-1,5866
QSearchMinimax(d=3),white,46eebc9f,17,0,3916
QSearchMinimax(d=3),white,46eebc9f,17,1,410
QSearchMinimax(d=3),white,46eebc9f,17,2,28
QSearchMinimax(d=3),white,46eebc9f,17,3,1
QSearchMinimax(d=3),white,46eebc9f,18,-2,15798
QSearchMinimax(d=3),white,46eebc9f,18,-1,7707
QSearchMinimax(d=3),white,46eebc9f,18,0,5676
QSearchMinimax(d=3),white,46eebc9f,18,1,556
QSearchMinimax(d=3),white,46eebc9f,18,2,30
QSearchMinimax(d=3),white,46eebc9f,18,3,1
QSearchMinimax(d=3),white,46eebc9f,19,-2,10673
QSearchMinimax(d=3),white,46eebc9f,19,-1,4852
QSearchMinimax(d=3),white,46eebc9f,19,0,3486
QSearchMinimax(d=3),white,46eebc9f,19,1,482
QSearchMinimax(d=3),white,46eebc9f,19,2,32
QSearchMinimax(d=3),white,46eebc9f,19,3,1
QSearchMinimax(d=3),white,46eebc9f,20,-2,9324
QSearchMinimax(d=3),white,46eebc9f,20,-1,3787
QSearchMinimax(d=3),white,46eebc9f,20,0,3084
QSearchMinimax(d=3),white,46eebc9f,20,1,370
QSearchMinimax(d=3),white,46eebc9f,20,2,38
QSearchMinimax(d=3),white,46eebc9f,20,3,1
QSearchMinimax(d=3),white,46eebc9f,21,-2,3007
QSearchMinimax(d=3),white,46eebc9f,21,-1,1278
QSearchMinimax(d=3),white,46eebc9f,21,0,1284
QSearchMinimax(d=3),white,46eebc9f,21,1,83
QSearchMinimax(d=3),white,46eebc9f,21,2,46
QSearchMinimax(d=3),white,46eebc9f,21,3,1
QSearchMinimax(d=3),white,46eebc9f,22,-2,1299
QSearchMinimax(d=3),white,46eebc9f,22,-1,650
QSearchMinimax(d=3),white,46eebc9f,22,0,759
QSearchMinimax(d=3),white,46eebc9f,22,1,54
QSearchMinimax(d=3),white,46eebc9f,22,2,38
QSearchMinimax(d=3),white,46eebc9f,22,3,1
QSearchMinimax(d=3),white,46eebc9f,23,-2,1314
QSearchMinimax(d=3),white,46eebc9f,23,-1,587
QSearchMinimax(d=3),white,46eebc9f,23,0,563
QSearchMinimax(d=3),white,46eebc9f,23,1,58
QSearchMinimax(d=3),white,46eebc9f,23,2,37
QSearchMinimax(d=3),white,46eebc9f,23,3,1
QSearchMinimax(d=3),white,46eebc9f,24,-2,4262
QSearchMinimax(d=3),white,46eebc9f,24,-1,2450
QSearchMinimax(d=3),white,46eebc9f,24,0,1775
QSearchMinimax(d=3),white,46eebc9f,24,1,137
QSearchMinimax(d=3),white,46eebc9f,24,2,38
QSearchMinimax(d=3),white,46eebc9f,24,3,1
QSearchMinimax(d=3),white,46eebc9f,25,-2,3157
QSearchMinimax(d=3),white,46eebc9f,25,-1,1289
QSearchMinimax(d=3),white,46eebc9f,25,0,1178
QSearchMinimax(d=3),white,46eebc9f,25,1,61
QSearchMinimax(d=3),white,46eebc9f,25,2,39
QSearchMinimax(d=3),white,46eebc9f,25,3,1
QSearchMinimax(d=3),white,46eebc9f,26,-2,1917
QSearchMinimax(d=3),white,46eebc9f,26,-1,1047
