agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),white,72b5bb5b,1,-2,40
QSearchMinimax(d=3),white,72b5bb5b,1,-1,158
QSearchMinimax(d=3),white,72b5bb5b,1,0,2201
QSearchMinimax(d=3),white,72b5bb5b,1,1,156
QSearchMinimax(d=3),white,72b5bb5b,1,2,20
QSearchMinimax(d=3),white,72b5bb5b,1,3,1
QSearchMinimax(d=3),white,72b5bb5b,2,-2,677
QSearchMinimax(d=3),white,72b5bb5b,2,-1,683
QSearchMinimax(d=3),white,72b5bb5b,2,0,2967
QSearchMinimax(d=3),white,72b5bb5b,2,1,263
QSearchMinimax(d=3),white,72b5bb5b,2,2,21
QSearchMinimax(d=3),white,72b5bb5b,2,3,1
QSearchMinimax(d=3),white,72b5bb5b,3,-2,8201
QSearchMinimax(d=3),white,72b5bb5b,3,-1,4165
QSearchMinimax(d=3),white,72b5bb5b,3,0,3583
QSearchMinimax(d=3),white,72b5bb5b,3,1,277
QSearchMinimax(d=3),white,72b5bb5b,3,2,29
QSearchMinimax(d=3),white,72b5bb5b,3,3,1
QSearchMinimax(d=3),white,72b5bb5b,4,-2,8745
QSearchMinimax(d=3),white,72b5bb5b,4,-1,3252
QSearchMinimax(d=3),white,72b5bb5b,4,0,2878
QSearchMinimax(d=3),white,72b5bb5b,4,1,360
QSearchMinimax(d=3),white,72b5bb5b,4,2,27
QSearchMinimax(d=3),white,72b5bb5b,4,3,1
QSearchMinimax(d=3),white,72b5bb5b,5,-2,1620
QSearchMinimax(d=3),white,72b5bb5b,5,-1,863
QSearchMinimax(d=3),white,72b5bb5b,5,0,778
QSearchMinimax(d=3),white,72b5bb5b,5,1,151
QSearchMinimax(d=3),white,72b5bb5b,5,2,30
QSearchMinimax(d=3),white,72b5bb5b,5,3,1
QSearchMinimax(d=3),white,72b5bb5b,6,-2,208
QSearchMinimax(d=3),white,72b5bb5b,6,-1,149
QSearchMinimax(d=3),white,72b5bb5b,6,0,124
QSearchMinimax(d=3),white,72b5bb5b,6,1,37
QSearchMinimax(d=3),white,72b5bb5b,6,2,3
QSearchMinimax(d=3),white,72b5bb5b,6,3,1
QSearchMinimax(d=3),white,72b5bb5b,7,-2,4314
QSearchMinimax(d=3),white,72b5bb5b,7,-1,2662
QSearchMinimax(d=3),white,72b5bb5b,7,0,2407
QSearchMinimax(d=3),white,72b5bb5b,7,1,280
QSearchMinimax(d=3),white,72b5bb5b,7,2,30
QSearchMinimax(d=3),white,72b5bb5b,7,3,1
QSearchMinimax(d=3),white,72b5bb5b,8,-2,10091
QSearchMinimax(d=3),white,72b5bb5b,8,-1,5067
QSearchMinimax(d=3),white,72b5bb5b,8,0,4651
QSearchMinimax(d=3),white,72b5bb5b,8,1,452
QSearchMinimax(d=3),white,72b5bb5b,8,2,38
QSearchMinimax(d=3),white,72b5bb5b,8,3,1
QSearchMinimax(d=3),white,72b5bb5b,9,-2,14418
QSearchMinimax(d=3),white,72b5bb5b,9,-1,5718
QSearchMinimax(d=3),white,72b5bb5b,9,0,5397
QSearchMinimax(d=3),white,72b5bb5b,9,1,465
QSearchMinimax(d=3),white,72b5bb5b,9,2,44
QSearchMinimax(d=3),white,72b5bb5b,9,3,1
QSearchMinimax(d=3),white,72b5bb5b,10,-2,15145
QSearchMinimax(d=3),white,72b5bb5b,10,-1,6017
QSearchMinimax(d=3),white,72b5bb5b,10,0,5344
QSearchMinimax(d=3),white,72b5bb5b,10,1,431
QSearchMinimax(d=3),white,72b5bb5b,10,2,44
QSearchMinimax(d=3),white,72b5bb5b,10,3,1
QSearchMinimax(d=3),white,72b5bb5b,11,-2,11564
QSearchMinimax(d=3),white,72b5bb5b,11,-1,4675
QSearchMinimax(d=3),white,72b5bb5b,11,0,3942
QSearchMinimax(d=3),white,72b5bb5b,11,1,390
QSearchMinimax(d=3),white,72b5bb5b,11,2,36
QSearchMinimax(d=3),white,72b5bb5b,11,3,1
QSearchMinimax(d=3),white,72b5bb5b,12,-2,6686
QSearchMinimax(d=3),white,72b5bb5b,12,-1,2400
QSearchMinimax(d=3),white,72b5bb5b,12,0,2163
QSearchMinimax(d=3),white,72b5bb5b,12,1,128
QSearchMinimax(d=3),white,72b5bb5b,12,2,43
QSearchMinimax(d=3),white,72b5bb5b,12,3,1
QSearchMinimax(d=3),white,72b5bb5b,13,-2,5433
QSearchMinimax(d=3),white,72b5bb5b,13,-1,1959
QSearchMinimax(d=3),white,72b5bb5b,13,0,1942
QSearchMinimax(d=3),white,72b5bb5b,13,1,177
QSearchMinimax(d=3),white,72b5bb5b,13,2,39
QSearchMinimax(d=3),white,72b5bb5b,13,3,1
QSearchMinimax(d=3),white,72b5bb5b,14,-2,1045
QSearchMinimax(d=3),white,72b5bb5b,14,-1,442
QSearchMinimax(d=3),white,72b5bb5b,14,0,303
QSearchMinimax(d=3),white,72b5bb5b,14,1,78
QSearchMinimax(d=3),white,72b5bb5b,14,2,4
QSearchMinimax(d=3),white,72b5bb5b,14,3,1
QSearchMinimax(d=3),white,72b5bb5b,15,-2,3737
QSearchMinimax(d=3),white,72b5bb5b,15,-1,1539
QSearchMinimax(d=3),white,72b5bb5b,15,0,1449
QSearchMinimax(d=3),white,72b5bb5b,15,1,122
QSearchMinimax(d=3),white,72b5bb5b,15,2,38
QSearchMinimax(d=3),white,72b5bb5b,15,3,1
QSearchMinimax(d=3),white,72b5bb5b,16,-2,1858
QSearchMinimax(d=3),white,72b5bb5b,16,-1,719
QSearchMinimax(d=3),white,72b5bb5b,16,0,652
QSearchMinimax(d=3),white,72b5bb5b,16,1,62
QSearchMinimax(d=3),white,72b5bb5b,16,2,34
QSearchMinimax(d=3),white,72b5bb5b,16,3,1
QSearchMinimax(d=3),white,72b5bb5b,17,-2,1890
QSearchMinimax(d=3),white,72b5bb5b,17,-1,724
QSearchMinimax(d=3),white,72b5bb5b,17,0,656
QSearchMinimax(d=3),white,72b5bb5b,17,1,58
QSearchMinimax(d=3),white,72b5bb5b,17,2,29
QSearchMinimax(d=3),white,72b5bb5b,17,3,1
QSearchMinimax(d=3),white,72b5bb5b,18,-2,4796
QSearchMinimax(d=3),white,72b5bb5b,18,-1,2132
QSearchMinimax(d=3),white,72b5bb5b,18,0,1893
QSearchMinimax(d=3),white,72b5bb5b,18,1,292
QSearchMinimax(d=3),white,72b5bb5b,18,2,30
QSearchMinimax(d=3),white,72b5bb5b,18,3,1
QSearchMinimax(d=3),white,72b5bb5b,19,-2,3816
QSearchMinimax(d=3),white,72b5bb5b,19,-1,2083
QSearchMinimax(d=3),white,72b5bb5b,19,0,1768
QSearchMinimax(d=3),white,72b5bb5b,19,1,357
QSearchMinimax(d=3),white,72b5bb5b,19,2,32
QSearchMinimax(d=3),white,72b5bb5b,19,3,1
QSearchMinimax(d=3),white,72b5bb5b,20,-2,4370
QSearchMinimax(d=3),white,72b5bb5b,20,-1,2206
QSearchMinimax(d=3),white,72b5bb5b,20,0,1871
QSearchMinimax(d=3),white,72b5bb5b,20,1,333
QSearchMinimax(d=3),white,72b5bb5b,20,2,32
QSearchMinimax(d=3),white,72b5bb5b,20,3,1
QSearchMinimax(d=3),white,72b5bb5b,21,-2,5364
QSearchMinimax(d=3),white,72b5bb5b,21,-1,2465
QSearchMinimax(d=3),white,72b5bb5b,21,0,2206
QSearchMinimax(d=3),white,72b5bb5b,21,1,316
QSearchMinimax(d=3),white,72b5bb5b,21,2,34
QSearchMinimax(d=3),white,72b5bb5b,21,3,1
QSearchMinimax(d=3),white,72b5bb5b,22,-2,4828
QSearchMinimax(d=3),white,72b5bb5b,22,-1,2258
QSearchMinimax(d=3),white,72b5bb5b,22,0,1997
QSearchMinimax(d=3),white,72b5bb5b,22,1,264
QSearchMinimax(d=3),white,72b5bb5b,22,2,33
QSearchMinimax(d=3),white,72b5bb5b,22,3,1
QSearchMinimax(d=3),white,72b5bb5b,23,-2,2884
QSearchMinimax(d=3),white,72b5bb5b,23,-1,1494
QSearchMinimax(d=3),white,72b5bb5b,23,0,1298
QSearchMinimax(d=3),white,72b5bb5b,23,1,261
QSearchMinimax(d=3),white,72b5bb5b,23,2,27
QSearchMinimax(d=3),white,72b5bb5b,23,3,1
QSearchMinimax(d=3),white,72b5bb5b,24,-2,5582
QSearchMinimax(d=3),white,72b5bb5b,24,-1,2534
QSearchMinimax(d=3),white,72b5bb5b,24,0,2050
QSearchMinimax(d=3),white,72b5bb5b,24,1,293
QSearchMinimax(d=3),white,72b5bb5b,24,2,33
QSearchMinimax(d=3),white,72b5bb5b,24,3,1
