agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),white,9a9bb8cc,1,-2,40
QSearchMinimax(d=3),white,9a9bb8cc,1,-1,158
QSearchMinimax(d=3),white,9a9bb8cc,1,0,2201
QSearchMinimax(d=3),white,9a9bb8cc,1,1,156
QSearchMinimax(d=3),white,9a9bb8cc,1,2,20
QSearchMinimax(d=3),white,9a9bb8cc,1,3,1
QSearchMinimax(d=3),white,9a9bb8cc,2,-2,179
QSearchMinimax(d=3),white,9a9bb8cc,2,-1,285
QSearchMinimax(d=3),white,9a9bb8cc,2,0,2027
QSearchMinimax(d=3),white,9a9bb8cc,2,1,145
QSearchMinimax(d=3),white,9a9bb8cc,2,2,21
QSearchMinimax(d=3),white,9a9bb8cc,2,3,1
QSearchMinimax(d=3),white,9a9bb8cc,3,-2,234
QSearchMinimax(d=3),white,9a9bb8cc,3,-1,451
QSearchMinimax(d=3),white,9a9bb8cc,3,0,2890
QSearchMinimax(d=3),white,9a9bb8cc,3,1,177
QSearchMinimax(d=3),white,9a9bb8cc,3,2,21
QSearchMinimax(d=3),white,9a9bb8cc,3,3,1
QSearchMinimax(d=3),white,9a9bb8cc,4,-2,351
QSearchMinimax(d=3),white,9a9bb8cc,4,-1,673
QSearchMinimax(d=3),white,9a9bb8cc,4,0,2893
QSearchMinimax(d=3),white,9a9bb8cc,4,1,191
QSearchMinimax(d=3),white,9a9bb8cc,4,2,22
QSearchMinimax(d=3),white,9a9bb8cc,4,3,1
QSearchMinimax(d=3),white,9a9bb8cc,5,-2,3842
QSearchMinimax(d=3),white,9a9bb8cc,5,-1,2281
QSearchMinimax(d=3),white,9a9bb8cc,5,0,2872
QSearchMinimax(d=3),white,9a9bb8cc,5,1,249
QSearchMinimax(d=3),white,9a9bb8cc,5,2,30
QSearchMinimax(d=3),white,9a9bb8cc,5,3,1
QSearchMinimax(d=3),white,9a9bb8cc,6,-2,18503
QSearchMinimax(d=3),white,9a9bb8cc,6,-1,6883
QSearchMinimax(d=3),white,9a9bb8cc,6,0,5166
QSearchMinimax(d=3),white,9a9bb8cc,6,1,211
QSearchMinimax(d=3),white,9a9bb8cc,6,2,35
QSearchMinimax(d=3),white,9a9bb8cc,6,3,1
QSearchMinimax(d=3),white,9a9bb8cc,7,-2,6317
QSearchMinimax(d=3),white,9a9bb8cc,7,-1,2888
QSearchMinimax(d=3),white,9a9bb8cc,7,0,2673
QSearchMinimax(d=3),white,9a9bb8cc,7,1,127
QSearchMinimax(d=3),white,9a9bb8cc,7,2,34
QSearchMinimax(d=3),white,9a9bb8cc,7,3,1
QSearchMinimax(d=3),white,9a9bb8cc,8,-2,6027
QSearchMinimax(d=3),white,9a9bb8cc,8,-1,3847
QSearchMinimax(d=3),white,9a9bb8cc,8,0,4167
QSearchMinimax(d=3),white,9a9bb8cc,8,1,364
QSearchMinimax(d=3),white,9a9bb8cc,8,2,28
QSearchMinimax(d=3),white,9a9bb8cc,8,3,1
QSearchMinimax(d=3),white,9a9bb8cc,9,-2,2383
QSearchMinimax(d=3),white,9a9bb8cc,9,-1,2264
QSearchMinimax(d=3),white,9a9bb8cc,9,0,1741
QSearchMinimax(d=3),white,9a9bb8cc,9,1,219
QSearchMinimax(d=3),white,9a9bb8cc,9,2,27
QSearchMinimax(d=3),white,9a9bb8cc,9,3,1
QSearchMinimax(d=3),white,9a9bb8cc,10,-2,2211
QSearchMinimax(d=3),white,9a9bb8cc,10,-1,1774
QSearchMinimax(d=3),white,9a9bb8cc,10,0,1302
QSearchMinimax(d=3),white,9a9bb8cc,10,1,161
QSearchMinimax(d=3),white,9a9bb8cc,10,2,27
QSearchMinimax(d=3),white,9a9bb8cc,10,3,1
QSearchMinimax(d=3),white,9a9bb8cc,11,-2,2066
QSearchMinimax(d=3),white,9a9bb8cc,11,-1,1379
QSearchMinimax(d=3),white,9a9bb8cc,11,0,1162
QSearchMinimax(d=3),white,9a9bb8cc,11,1,175
QSearchMinimax(d=3),white,9a9bb8cc,11,2,21
QSearchMinimax(d=3),white,9a9bb8cc,11,3,1
QSearchMinimax(d=3),white,9a9bb8cc,12,-2,722
QSearchMinimax(d=3),white,9a9bb8cc,12,-1,678
QSearchMinimax(d=3),white,9a9bb8cc,12,0,389
QSearchMinimax(d=3),white,9a9bb8cc,12,1,91
QSearchMinimax(d=3),white,9a9bb8cc,12,2,23
QSearchMinimax(d=3),white,9a9bb8cc,12,3,1
QSearchMinimax(d=3),white,9a9bb8cc,13,-2,2855
QSearchMinimax(d=3),white,9a9bb8cc,13,-1,2224
QSearchMinimax(d=3),white,9a9bb8cc,13,0,1222
QSearchMinimax(d=3),white,9a9bb8cc,13,1,260
QSearchMinimax(d=3),white,9a9bb8cc,13,2,19
QSearchMinimax(d=3),white,9a9bb8cc,13,3,1
QSearchMinimax(d=3),white,9a9bb8cc,14,-2,237
QSearchMinimax(d=3),white,9a9bb8cc,14,-1,202
QSearchMinimax(d=3),white,9a9bb8cc,14,0,154
QSearchMinimax(d=3),white,9a9bb8cc,14,1,50
QSearchMinimax(d=3),white,9a9bb8cc,14,2,21
QSearchMinimax(d=3),white,9a9bb8cc,14,3,1
QSearchMinimax(d=3),white,9a9bb8cc,15,-2,1100
QSearchMinimax(d=3),white,9a9bb8cc,15,-1,703
QSearchMinimax(d=3),white,9a9bb8cc,15,0,660
QSearchMinimax(d=3),white,9a9bb8cc,15,1,76
QSearchMinimax(d=3),white,9a9bb8cc,15,2,39
QSearchMinimax(d=3),white,9a9bb8cc,15,3,1
QSearchMinimax(d=3),white,9a9bb8cc,16,-2,860
QSearchMinimax(d=3),white,9a9bb8cc,16,-1,589
QSearchMinimax(d=3),white,9a9bb8cc,16,0,545
QSearchMinimax(d=3),white,9a9bb8cc,16,1,36
QSearchMinimax(d=3),white,9a9bb8cc,16,2,33
QSearchMinimax(d=3),white,9a9bb8cc,16,3,1
QSearchMinimax(d=3),white,9a9bb8cc,17,-2,1197
QSearchMinimax(d=3),white,9a9bb8cc,17,-1,907
QSearchMinimax(d=3),white,9a9bb8cc,17,0,1118
QSearchMinimax(d=3),white,9a9bb8cc,17,1,61
QSearchMinimax(d=3),white,9a9bb8cc,17,2,40
QSearchMinimax(d=3),white,9a9bb8cc,17,3,1
