agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=3),white,a3de62cc,1,-2,40
QSearchMinimax(d=3),white,a3de62cc,1,-1,158
QSearchMinimax(d=3),white,a3de62cc,1,0,2201
QSearchMinimax(d=3),white,a3de62cc,1,1,156
QSearchMinimax(d=3),white,a3de62cc,1,2,20
QSearchMinimax(d=3),white,a3de62cc,1,3,1
QSearchMinimax(d=3),white,a3de62cc,2,-2,396
QSearchMinimax(d=3),white,a3de62cc,2,-1,446
QSearchMinimax(d=3),white,a3de62cc,2,0,1788
QSearchMinimax(d=3),white,a3de62cc,2,1,171
QSearchMinimax(d=3),white,a3de62cc,2,2,21
QSearchMinimax(d=3),white,a3de62cc,2,3,1
QSearchMinimax(d=3),white,a3de62cc,3,-2,1998
QSearchMinimax(d=3),white,a3de62cc,3,-1,1426
QSearchMinimax(d=3),white,a3de62cc,3,0,1384
QSearchMinimax(d=3),white,a3de62cc,3,1,171
QSearchMinimax(d=3),white,a3de62cc,3,2,20
QSearchMinimax(d=3),white,a3de62cc,3,3,1
QSearchMinimax(d=3),white,a3de62cc,4,-2,2358
QSearchMinimax(d=3),white,a3de62cc,4,-1,1274
QSearchMinimax(d=3),white,a3de62cc,4,0,1279
QSearchMinimax(d=3),white,a3de62cc,4,1,102
QSearchMinimax(d=3),white,a3de62cc,4,2,27
QSearchMinimax(d=3),white,a3de62cc,4,3,1
QSearchMinimax(d=3),white,a3de62cc,5,-2,3611
QSearchMinimax(d=3),white,a3de62cc,5,-1,1856
QSearchMinimax(d=3),white,a3de62cc,5,0,1805
QSearchMinimax(d=3),white,a3de62cc,5,1,179
QSearchMinimax(d=3),white,a3de62cc,5,2,29
QSearchMinimax(d=3),white,a3de62cc,5,3,1
QSearchMinimax(d=3),white,a3de62cc,6,-2,1673
QSearchMinimax(d=3),white,a3de62cc,6,-1,1476
QSearchMinimax(d=3),white,a3de62cc,6,0,1460
QSearchMinimax(d=3),white,a3de62cc,6,1,124
QSearchMinimax(d=3),white,a3de62cc,6,2,31
QSearchMinimax(d=3),white,a3de62cc,6,3,1
QSearchMinimax(d=3),white,a3de62cc,7,-2,3518
QSearchMinimax(d=3),white,a3de62cc,7,-1,2231
QSearchMinimax(d=3),white,a3de62cc,7,0,2156
QSearchMinimax(d=3),white,a3de62cc,7,1,277
QSearchMinimax(d=3),white,a3de62cc,7,2,23
QSearchMinimax(d=3),white,a3de62cc,7,3,1
QSearchMinimax(d=3),white,a3de62cc,8,-2,8089
QSearchMinimax(d=3),white,a3de62cc,8,-1,3679
QSearchMinimax(d=3),white,a3de62cc,8,0,3170
QSearchMinimax(d=3),white,a3de62cc,8,1,277
QSearchMinimax(d=3),white,a3de62cc,8,2,31
QSearchMinimax(d=3),white,a3de62cc,8,3,1
QSearchMinimax(d=3),white,a3de62cc,9,-2,7526
QSearchMinimax(d=3),white,a3de62cc,9,-1,3350
QSearchMinimax(d=3),white,a3de62cc,9,0,3053
QSearchMinimax(d=3),white,a3de62cc,9,1,325
QSearchMinimax(d=3),white,a3de62cc,9,2,28
QSearchMinimax(d=3),white,a3de62cc,9,3,1
QSearchMinimax(d=3),white,a3de62cc,10,-2,11872
QSearchMinimax(d=3),white,a3de62cc,10,-1,4569
QSearchMinimax(d=3),white,a3de62cc,10,0,4256
QSearchMinimax(d=3),white,a3de62cc,10,1,418
QSearchMinimax(d=3),white,a3de62cc,10,2,32
QSearchMinimax(d=3),white,a3de62cc,10,3,1
QSearchMinimax(d=3),white,a3de62cc,11,-2,9128
QSearchMinimax(d=3),white,a3de62cc,11,-1,3747
QSearchMinimax(d=3),white,a3de62cc,11,0,3468
QSearchMinimax(d=3),white,a3de62cc,11,1,366
QSearchMinimax(d=3),white,a3de62cc,11,2,31
QSearchMinimax(d=3),white,a3de62cc,11,3,1
QSearchMinimax(d=3),white,a3de62cc,12,-2,17353
QSearchMinimax(d=3),white,a3de62cc,12,-1,6276
QSearchMinimax(d=3),white,a3de62cc,12,0,5194
QSearchMinimax(d=3),white,a3de62cc,12,1,371
QSearchMinimax(d=3),white,a3de62cc,12,2,32
QSearchMinimax(d=3),white,a3de62cc,12,3,1
QSearchMinimax(d=3),white,a3de62cc,13,-2,3880
QSearchMinimax(d=3),white,a3de62cc,13,-1,1482
QSearchMinimax(d=3),white,a3de62cc,13,0,1005
QSearchMinimax(d=3),white,a3de62cc,13,1,75
