agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,0d954c45,1,0,2096
EvalMinimax(d=3),white,0d954c45,1,1,154
EvalMinimax(d=3),white,0d954c45,1,2,20
EvalMinimax(d=3),white,0d954c45,1,3,1
EvalMinimax(d=3),white,0d954c45,2,0,2197
EvalMinimax(d=3),white,0d954c45,2,1,179
EvalMinimax(d=3),white,0d954c45,2,2,30
EvalMinimax(d=3),white,0d954c45,2,3,1
EvalMinimax(d=3),white,0d954c45,3,0,1459
EvalMinimax(d=3),white,0d954c45,3,1,299
EvalMinimax(d=3),white,0d954c45,3,2,30
EvalMinimax(d=3),white,0d954c45,3,3,1
EvalMinimax(d=3),white,0d954c45,4,0,1800
EvalMinimax(d=3),white,0d954c45,4,1,277
EvalMinimax(d=3),white,0d954c45,4,2,27
EvalMinimax(d=3),white,0d954c45,4,3,1
EvalMinimax(d=3),white,0d954c45,5,0,2114
EvalMinimax(d=3),white,0d954c45,5,1,299
EvalMinimax(d=3),white,0d954c45,5,2,39
EvalMinimax(d=3),white,0d954c45,5,3,1
EvalMinimax(d=3),white,0d954c45,6,0,81
EvalMinimax(d=3),white,0d954c45,6,1,32
EvalMinimax(d=3),white,0d954c45,6,2,2
EvalMinimax(d=3),white,0d954c45,6,3,1
EvalMinimax(d=3),white,0d954c45,7,0,678
EvalMinimax(d=3),white,0d954c45,7,1,50
EvalMinimax(d=3),white,0d954c45,7,2,26
EvalMinimax(d=3),white,0d954c45,7,3,1
EvalMinimax(d=3),white,0d954c45,8,0,257
EvalMinimax(d=3),white,0d954c45,8,1,100
EvalMinimax(d=3),white,0d954c45,8,2,7
EvalMinimax(d=3),white,0d954c45,8,3,1
EvalMinimax(d=3),white,0d954c45,9,0,625
EvalMinimax(d=3),white,0d954c45,9,1,88
EvalMinimax(d=3),white,0d954c45,9,2,26
EvalMinimax(d=3),white,0d954c45,9,3,1
EvalMinimax(d=3),white,0d954c45,10,0,681
EvalMinimax(d=3),white,0d954c45,10,1,86
EvalMinimax(d=3),white,0d954c45,10,2,27
EvalMinimax(d=3),white,0d954c45,10,3,1
EvalMinimax(d=3),white,0d954c45,11,0,618
EvalMinimax(d=3),white,0d954c45,11,1,53
EvalMinimax(d=3),white,0d954c45,11,2,24
EvalMinimax(d=3),white,0d954c45,11,3,1
EvalMinimax(d=3),white,0d954c45,12,0,586
EvalMinimax(d=3),white,0d954c45,12,1,51
EvalMinimax(d=3),white,0d954c45,12,2,24
EvalMinimax(d=3),white,0d954c45,12,3,1
EvalMinimax(d=3),white,0d954c45,13,0,614
EvalMinimax(d=3),white,0d954c45,13,1,84
EvalMinimax(d=3),white,0d954c45,13,2,26
EvalMinimax(d=3),white,0d954c45,13,3,1
EvalMinimax(d=3),white,0d954c45,14,0,1213
EvalMinimax(d=3),white,0d954c45,14,1,116
EvalMinimax(d=3),white,0d954c45,14,2,25
EvalMinimax(d=3),white,0d954c45,14,3,1
EvalMinimax(d=3),white,0d954c45,15,0,1423
EvalMinimax(d=3),white,0d954c45,15,1,135
EvalMinimax(d=3),white,0d954c45,15,2,27
EvalMinimax(d=3),white,0d954c45,15,3,1
EvalMinimax(d=3),white,0d954c45,16,0,1406
EvalMinimax(d=3),white,0d954c45,16,1,226
EvalMinimax(d=3),white,0d954c45,16,2,26
EvalMinimax(d=3),white,0d954c45,16,3,1
EvalMinimax(d=3),white,0d954c45,17,0,1309
EvalMinimax(d=3),white,0d954c45,17,1,155
EvalMinimax(d=3),white,0d954c45,17,2,26
EvalMinimax(d=3),white,0d954c45,17,3,1
EvalMinimax(d=3),white,0d954c45,18,0,1057
EvalMinimax(d=3),white,0d954c45,18,1,95
EvalMinimax(d=3),white,0d954c45,18,2,25
EvalMinimax(d=3),white,0d954c45,18,3,1
EvalMinimax(d=3),white,0d954c45,19,0,1039
EvalMinimax(d=3),white,0d954c45,19,1,117
EvalMinimax(d=3),white,0d954c45,19,2,23
EvalMinimax(d=3),white,0d954c45,19,3,1
EvalMinimax(d=3),white,0d954c45,20,0,856
EvalMinimax(d=3),white,0d954c45,20,1,90
EvalMinimax(d=3),white,0d954c45,20,2,21
EvalMinimax(d=3),white,0d954c45,20,3,1
EvalMinimax(d=3),white,0d954c45,21,0,871
EvalMinimax(d=3),white,0d954c45,21,1,93
EvalMinimax(d=3),white,0d954c45,21,2,21
EvalMinimax(d=3),white,0d954c45,21,3,1
EvalMinimax(d=3),white,0d954c45,22,0,1039
EvalMinimax(d=3),white,0d954c45,22,1,122
EvalMinimax(d=3),white,0d954c45,22,2,22
EvalMinimax(d=3),white,0d954c45,22,3,1
EvalMinimax(d=3),white,0d954c45,23,0,998
EvalMinimax(d=3),white,0d954c45,23,1,104
EvalMinimax(d=3),white,0d954c45,23,2,22
EvalMinimax(d=3),white,0d954c45,23,3,1
EvalMinimax(d=3),white,0d954c45,24,0,1156
EvalMinimax(d=3),white,0d954c45,24,1,99
EvalMinimax(d=3),white,0d954c45,24,2,26
EvalMinimax(d=3),white,0d954c45,24,3,1
EvalMinimax(d=3),white,0d954c45,25,0,1468
EvalMinimax(d=3),white,0d954c45,25,1,163
EvalMinimax(d=3),white,0d954c45,25,2,26
EvalMinimax(d=3),white,0d954c45,25,3,1
EvalMinimax(d=3),white,0d954c45,26,0,1831
EvalMinimax(d=3),white,0d954c45,26,1,172
EvalMinimax(d=3),white,0d954c45,26,2,30
EvalMinimax(d=3),white,0d954c45,26,3,1
EvalMinimax(d=3),white,0d954c45,27,0,1632
EvalMinimax(d=3),white,0d954c45,27,1,125
EvalMinimax(d=3),white,0d954c45,27,2,30
EvalMinimax(d=3),white,0d954c45,27,3,1
EvalMinimax(d=3),white,0d954c45,28,0,1905
EvalMinimax(d=3),white,0d954c45,28,1,147
EvalMinimax(d=3),white,0d954c45,28,2,29
EvalMinimax(d=3),white,0d954c45,28,3,1
EvalMinimax(d=3),white,0d954c45,29,0,2153
EvalMinimax(d=3),white,0d954c45,29,1,154
EvalMinimax(d=3),white,0d954c45,29,2,30
EvalMinimax(d=3),white,0d954c45,29,3,1
EvalMinimax(d=3),white,0d954c45,30,0,1527
EvalMinimax(d=3),white,0d954c45,30,1,126
EvalMinimax(d=3),white,0d954c45,30,2,28
EvalMinimax(d=3),white,0d954c45,30,3,1
EvalMinimax(d=3),white,0d954c45,31,0,869
EvalMinimax(d=3),white,0d954c45,31,1,121
EvalMinimax(d=3),white,0d954c45,31,2,27
EvalMinimax(d=3),white,0d954c45,31,3,1
EvalMinimax(d=3),white,0d954c45,32,0,1003
