agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),black,9f07d2b8,1,0,3159
EvalMinimax(d=3),black,9f07d2b8,1,1,326
EvalMinimax(d=3),black,9f07d2b8,1,2,20
EvalMinimax(d=3),black,9f07d2b8,1,3,1
EvalMinimax(d=3),black,9f07d2b8,2,0,1501
EvalMinimax(d=3),black,9f07d2b8,2,1,180
EvalMinimax(d=3),black,9f07d2b8,2,2,21
EvalMinimax(d=3),black,9f07d2b8,2,3,1
EvalMinimax(d=3),black,9f07d2b8,3,0,1877
EvalMinimax(d=3),black,9f07d2b8,3,1,278
EvalMinimax(d=3),black,9f07d2b8,3,2,22
EvalMinimax(d=3),black,9f07d2b8,3,3,1
EvalMinimax(d=3),black,9f07d2b8,4,0,1900
EvalMinimax(d=3),black,9f07d2b8,4,1,271
EvalMinimax(d=3),black,9f07d2b8,4,2,22
EvalMinimax(d=3),black,9f07d2b8,4,3,1
EvalMinimax(d=3),black,9f07d2b8,5,0,2209
EvalMinimax(d=3),black,9f07d2b8,5,1,318
EvalMinimax(d=3),black,9f07d2b8,5,2,21
EvalMinimax(d=3),black,9f07d2b8,5,3,1
EvalMinimax(d=3),black,9f07d2b8,6,0,1626
EvalMinimax(d=3),black,9f07d2b8,6,1,214
EvalMinimax(d=3),black,9f07d2b8,6,2,22
EvalMinimax(d=3),black,9f07d2b8,6,3,1
EvalMinimax(d=3),black,9f07d2b8,7,0,1932
EvalMinimax(d=3),black,9f07d2b8,7,1,412
EvalMinimax(d=3),black,9f07d2b8,7,2,24
EvalMinimax(d=3),black,9f07d2b8,7,3,1
EvalMinimax(d=3),black,9f07d2b8,8,0,2500
EvalMinimax(d=3),black,9f07d2b8,8,1,498
EvalMinimax(d=3),black,9f07d2b8,8,2,28
EvalMinimax(d=3),black,9f07d2b8,8,3,1
EvalMinimax(d=3),black,9f07d2b8,9,0,1719
EvalMinimax(d=3),black,9f07d2b8,9,1,262
EvalMinimax(d=3),black,9f07d2b8,9,2,26
EvalMinimax(d=3),black,9f07d2b8,9,3,1
EvalMinimax(d=3),black,9f07d2b8,10,0,1675
EvalMinimax(d=3),black,9f07d2b8,10,1,253
EvalMinimax(d=3),black,9f07d2b8,10,2,24
EvalMinimax(d=3),black,9f07d2b8,10,3,1
EvalMinimax(d=3),black,9f07d2b8,11,0,931
EvalMinimax(d=3),black,9f07d2b8,11,1,141
EvalMinimax(d=3),black,9f07d2b8,11,2,25
EvalMinimax(d=3),black,9f07d2b8,11,3,1
EvalMinimax(d=3),black,9f07d2b8,12,0,2199
EvalMinimax(d=3),black,9f07d2b8,12,1,284
EvalMinimax(d=3),black,9f07d2b8,12,2,27
EvalMinimax(d=3),black,9f07d2b8,12,3,1
EvalMinimax(d=3),black,9f07d2b8,13,0,2368
EvalMinimax(d=3),black,9f07d2b8,13,1,292
EvalMinimax(d=3),black,9f07d2b8,13,2,28
EvalMinimax(d=3),black,9f07d2b8,13,3,1
EvalMinimax(d=3),black,9f07d2b8,14,0,1878
EvalMinimax(d=3),black,9f07d2b8,14,1,230
EvalMinimax(d=3),black,9f07d2b8,14,2,26
EvalMinimax(d=3),black,9f07d2b8,14,3,1
EvalMinimax(d=3),black,9f07d2b8,15,0,1708
EvalMinimax(d=3),black,9f07d2b8,15,1,213
EvalMinimax(d=3),black,9f07d2b8,15,2,25
EvalMinimax(d=3),black,9f07d2b8,15,3,1
EvalMinimax(d=3),black,9f07d2b8,16,0,1866
EvalMinimax(d=3),black,9f07d2b8,16,1,218
EvalMinimax(d=3),black,9f07d2b8,16,2,26
EvalMinimax(d=3),black,9f07d2b8,16,3,1
EvalMinimax(d=3),black,9f07d2b8,17,0,774
EvalMinimax(d=3),black,9f07d2b8,17,1,91
EvalMinimax(d=3),black,9f07d2b8,17,2,23
EvalMinimax(d=3),black,9f07d2b8,17,3,1
EvalMinimax(d=3),black,9f07d2b8,18,0,1400
EvalMinimax(d=3),black,9f07d2b8,18,1,251
EvalMinimax(d=3),black,9f07d2b8,18,2,23
EvalMinimax(d=3),black,9f07d2b8,18,3,1
EvalMinimax(d=3),black,9f07d2b8,19,0,1422
EvalMinimax(d=3),black,9f07d2b8,19,1,255
EvalMinimax(d=3),black,9f07d2b8,19,2,24
EvalMinimax(d=3),black,9f07d2b8,19,3,1
EvalMinimax(d=3),black,9f07d2b8,20,0,838
EvalMinimax(d=3),black,9f07d2b8,20,1,222
EvalMinimax(d=3),black,9f07d2b8,20,2,23
EvalMinimax(d=3),black,9f07d2b8,20,3,1
EvalMinimax(d=3),black,9f07d2b8,21,0,1244
EvalMinimax(d=3),black,9f07d2b8,21,1,234
EvalMinimax(d=3),black,9f07d2b8,21,2,23
EvalMinimax(d=3),black,9f07d2b8,21,3,1
EvalMinimax(d=3),black,9f07d2b8,22,0,1567
EvalMinimax(d=3),black,9f07d2b8,22,1,252
EvalMinimax(d=3),black,9f07d2b8,22,2,25
EvalMinimax(d=3),black,9f07d2b8,22,3,1
EvalMinimax(d=3),black,9f07d2b8,23,0,1043
EvalMinimax(d=3),black,9f07d2b8,23,1,191
EvalMinimax(d=3),black,9f07d2b8,23,2,22
EvalMinimax(d=3),black,9f07d2b8,23,3,1
EvalMinimax(d=3),black,9f07d2b8,24,0,444
EvalMinimax(d=3),black,9f07d2b8,24,1,57
EvalMinimax(d=3),black,9f07d2b8,24,2,21
EvalMinimax(d=3),black,9f07d2b8,24,3,1
EvalMinimax(d=3),black,9f07d2b8,25,0,421
EvalMinimax(d=3),black,9f07d2b8,25,1,132
EvalMinimax(d=3),black,9f07d2b8,25,2,18
EvalMinimax(d=3),black,9f07d2b8,25,3,1
EvalMinimax(d=3),black,9f07d2b8,26,0,699
EvalMinimax(d=3),black,9f07d2b8,26,1,70
EvalMinimax(d=3),black,9f07d2b8,26,2,20
EvalMinimax(d=3),black,9f07d2b8,26,3,1
EvalMinimax(d=3),black,9f07d2b8,27,0,913
EvalMinimax(d=3),black,9f07d2b8,27,1,170
EvalMinimax(d=3),black,9f07d2b8,27,2,18
EvalMinimax(d=3),black,9f07d2b8,27,3,1
EvalMinimax(d=3),black,9f07d2b8,28,0,1364
EvalMinimax(d=3),black,9f07d2b8,28,1,188
EvalMinimax(d=3),black,9f07d2b8,28,2,24
EvalMinimax(d=3),black,9f07d2b8,28,3,1
EvalMinimax(d=3),black,9f07d2b8,29,0,856
EvalMinimax(d=3),black,9f07d2b8,29,1,141
EvalMinimax(d=3),black,9f07d2b8,29,2,20
EvalMinimax(d=3),black,9f07d2b8,29,3,1
EvalMinimax(d=3),black,9f07d2b8,30,0,868
EvalMinimax(d=3),black,9f07d2b8,30,1,118
EvalMinimax(d=3),black,9f07d2b8,30,2,19
EvalMinimax(d=3),black,9f07d2b8,30,3,1
EvalMinimax(d=3),black,9f07d2b8,31,0,1034
EvalMinimax(d=3),black,9f07d2b8,31,1,170
EvalMinimax(d=3),black,9f07d2b8,31,2,20
EvalMinimax(d=3),black,9f07d2b8,31,3,1
EvalMinimax(d=3),black,9f07d2b8,32,0,827
EvalMinimax(d=3),black,9f07d2b8,32,1,145
EvalMinimax(d=3),black,9f07d2b8,32,2,18
EvalMinimax(d=3),black,9f07d2b8,32,3,1
EvalMinimax(d=3),black,9f07d2b8,33,0,1035
EvalMinimax(d=3),black,9f07d2b8,33,1,115
EvalMinimax(d=3),black,9f07d2b8,33,2,23
EvalMinimax(d=3),black,9f07d2b8,33,3,1
EvalMinimax(d=3),black,9f07d2b8,34,0,886
EvalMinimax(d=3),black,9f07d2b8,34,1,177
EvalMinimax(d=3),black,9f07d2b8,34,2,20
EvalMinimax(d=3),black,9f07d2b8,34,3,1
EvalMinimax(d=3),black,9f07d2b8,35,0,663
EvalMinimax(d=3),black,9f07d2b8,35,1,115
EvalMinimax(d=3),black,9f07d2b8,35,2,17
EvalMinimax(d=3),black,9f07d2b8,35,3,1
EvalMinimax(d=3),black,9f07d2b8,36,0,669
EvalMinimax(d=3),black,9f07d2b8,36,1,106
EvalMinimax(d=3),black,9f07d2b8,36,2,18
EvalMinimax(d=3),black,9f07d2b8,36,3,1
EvalMinimax(d=3),black,9f07d2b8,37,0,959
EvalMinimax(d=3),black,9f07d2b8,37,1,163
EvalMinimax(d=3),black,9f07d2b8,37,2,23
EvalMinimax(d=3),black,9f07d2b8,37,3,1
EvalMinimax(d=3),black,9f07d2b8,38,0,762
EvalMinimax(d=3),black,9f07d2b8,38,1,173
EvalMinimax(d=3),black,9f07d2b8,38,2,20
EvalMinimax(d=3),black,9f07d2b8,38,3,1
EvalMinimax(d=3),black,9f07d2b8,39,0,950
EvalMinimax(d=3),black,9f07d2b8,39,1,131
EvalMinimax(d=3),black,9f07d2b8,39,2,23
EvalMinimax(d=3),black,9f07d2b8,39,3,1
EvalMinimax(d=3),black,9f07d2b8,40,0,443
EvalMinimax(d=3),black,9f07d2b8,40,1,94
EvalMinimax(d=3),black,9f07d2b8,40,2,18
EvalMinimax(d=3),black,9f07d2b8,40,3,1
EvalMinimax(d=3),black,9f07d2b8,41,0,594
EvalMinimax(d=3),black,9f07d2b8,41,1,140
EvalMinimax(d=3),black,9f07d2b8,41,2,20
EvalMinimax(d=3),black,9f07d2b8,41,3,1
EvalMinimax(d=3),black,9f07d2b8,42,0,449
EvalMinimax(d=3),black,9f07d2b8,42,1,100
EvalMinimax(d=3),black,9f07d2b8,42,2,18
EvalMinimax(d=3),black,9f07d2b8,42,3,1
EvalMinimax(d=3),black,9f07d2b8,43,0,616
EvalMinimax(d=3),black,9f07d2b8,43,1,140
EvalMinimax(d=3),black,9f07d2b8,43,2,20
EvalMinimax(d=3),black,9f07d2b8,43,3,1
EvalMinimax(d=3),black,9f07d2b8,44,0,467
EvalMinimax(d=3),black,9f07d2b8,44,1,117
EvalMinimax(d=3),black,9f07d2b8,44,2,18
EvalMinimax(d=3),black,9f07d2b8,44,3,1
EvalMinimax(d=3),black,9f07d2b8,45,0,616
EvalMinimax(d=3),black,9f07d2b8,45,1,143
EvalMinimax(d=3),black,9f07d2b8,45,2,20
EvalMinimax(d=3),black,9f07d2b8,45,3,1
EvalMinimax(d=3),black,9f07d2b8,46,0,482
EvalMinimax(d=3),black,9f07d2b8,46,1,121
EvalMinimax(d=3),black,9f07d2b8,46,2,18
EvalMinimax(d=3),black,9f07d2b8,46,3,1
EvalMinimax(d=3),black,9f07d2b8,47,0,961
EvalMinimax(d=3),black,9f07d2b8,47,1,165
EvalMinimax(d=3),black,9f07d2b8,47,2,23
EvalMinimax(d=3),black,9f07d2b8,47,3,1
EvalMinimax(d=3),black,9f07d2b8,48,0,2160
EvalMinimax(d=3),black,9f07d2b8,48,1,273
EvalMinimax(d=3),black,9f07d2b8,48,2,18
EvalMinimax(d=3),black,9f07d2b8,48,3,1
EvalMinimax(d=3),black,9f07d2b8,49,0,853
EvalMinimax(d=3),black,9f07d2b8,49,1,194
EvalMinimax(d=3),black,9f07d2b8,49,2,22
EvalMinimax(d=3),black,9f07d2b8,49,3,1
EvalMinimax(d=3),black,9f07d2b8,50,0,664
EvalMinimax(d=3),black,9f07d2b8,50,1,160
EvalMinimax(d=3),black,9f07d2b8,50,2,22
EvalMinimax(d=3),black,9f07d2b8,50,3,1
EvalMinimax(d=3),black,9f07d2b8,51,0,655
EvalMinimax(d=3),black,9f07d2b8,51,1,140
EvalMinimax(d=3),black,9f07d2b8,51,2,21
EvalMinimax(d=3),black,9f07d2b8,51,3,1
EvalMinimax(d=3),black,9f07d2b8,52,0,1023
EvalMinimax(d=3),black,9f07d2b8,52,1,197
EvalMinimax(d=3),black,9f07d2b8,52,2,23
EvalMinimax(d=3),black,9f07d2b8,52,3,1
EvalMinimax(d=3),black,9f07d2b8,53,0,619
EvalMinimax(d=3),black,9f07d2b8,53,1,143
EvalMinimax(d=3),black,9f07d2b8,53,2,21
EvalMinimax(d=3),black,9f07d2b8,53,3,1
EvalMinimax(d=3),black,9f07d2b8,54,0,1249
EvalMinimax(d=3),black,9f07d2b8,54,1,302
EvalMinimax(d=3),black,9f07d2b8,54,2,22
EvalMinimax(d=3),black,9f07d2b8,54,3,1
EvalMinimax(d=3),black,9f07d2b8,55,0,625
EvalMinimax(d=3),black,9f07d2b8,55,1,99
EvalMinimax(d=3),black,9f07d2b8,55,2,25
EvalMinimax(d=3),black,9f07d2b8,55,3,1
