agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,b0cc3410,1,0,2096
EvalMinimax(d=3),white,b0cc3410,1,1,154
EvalMinimax(d=3),white,b0cc3410,1,2,20
EvalMinimax(d=3),white,b0cc3410,1,3,1
EvalMinimax(d=3),white,b0cc3410,2,0,1276
EvalMinimax(d=3),white,b0cc3410,2,1,136
EvalMinimax(d=3),white,b0cc3410,2,2,21
EvalMinimax(d=3),white,b0cc3410,2,3,1
EvalMinimax(d=3),white,b0cc3410,3,0,1109
EvalMinimax(d=3),white,b0cc3410,3,1,96
EvalMinimax(d=3),white,b0cc3410,3,2,19
EvalMinimax(d=3),white,b0cc3410,3,3,1
EvalMinimax(d=3),white,b0cc3410,4,0,2151
EvalMinimax(d=3),white,b0cc3410,4,1,295
EvalMinimax(d=3),white,b0cc3410,4,2,24
EvalMinimax(d=3),white,b0cc3410,4,3,1
EvalMinimax(d=3),white,b0cc3410,5,0,1935
EvalMinimax(d=3),white,b0cc3410,5,1,253
EvalMinimax(d=3),white,b0cc3410,5,2,26
EvalMinimax(d=3),white,b0cc3410,5,3,1
EvalMinimax(d=3),white,b0cc3410,6,0,1353
EvalMinimax(d=3),white,b0cc3410,6,1,182
EvalMinimax(d=3),white,b0cc3410,6,2,25
EvalMinimax(d=3),white,b0cc3410,6,3,1
EvalMinimax(d=3),white,b0cc3410,7,0,1670
EvalMinimax(d=3),white,b0cc3410,7,1,205
EvalMinimax(d=3),white,b0cc3410,7,2,24
EvalMinimax(d=3),white,b0cc3410,7,3,1
EvalMinimax(d=3),white,b0cc3410,8,0,1326
EvalMinimax(d=3),white,b0cc3410,8,1,161
EvalMinimax(d=3),white,b0cc3410,8,2,26
EvalMinimax(d=3),white,b0cc3410,8,3,1
EvalMinimax(d=3),white,b0cc3410,9,0,1989
EvalMinimax(d=3),white,b0cc3410,9,1,324
EvalMinimax(d=3),white,b0cc3410,9,2,28
EvalMinimax(d=3),white,b0cc3410,9,3,1
EvalMinimax(d=3),white,b0cc3410,10,0,2073
EvalMinimax(d=3),white,b0cc3410,10,1,291
EvalMinimax(d=3),white,b0cc3410,10,2,30
EvalMinimax(d=3),white,b0cc3410,10,3,1
EvalMinimax(d=3),white,b0cc3410,11,0,838
EvalMinimax(d=3),white,b0cc3410,11,1,122
EvalMinimax(d=3),white,b0cc3410,11,2,27
EvalMinimax(d=3),white,b0cc3410,11,3,1
EvalMinimax(d=3),white,b0cc3410,12,0,1157
EvalMinimax(d=3),white,b0cc3410,12,1,130
EvalMinimax(d=3),white,b0cc3410,12,2,25
EvalMinimax(d=3),white,b0cc3410,12,3,1
EvalMinimax(d=3),white,b0cc3410,13,0,1130
EvalMinimax(d=3),white,b0cc3410,13,1,122
EvalMinimax(d=3),white,b0cc3410,13,2,25
EvalMinimax(d=3),white,b0cc3410,13,3,1
EvalMinimax(d=3),white,b0cc3410,14,0,1618
EvalMinimax(d=3),white,b0cc3410,14,1,116
EvalMinimax(d=3),white,b0cc3410,14,2,27
EvalMinimax(d=3),white,b0cc3410,14,3,1
EvalMinimax(d=3),white,b0cc3410,15,0,1414
EvalMinimax(d=3),white,b0cc3410,15,1,150
EvalMinimax(d=3),white,b0cc3410,15,2,30
EvalMinimax(d=3),white,b0cc3410,15,3,1
EvalMinimax(d=3),white,b0cc3410,16,0,1482
EvalMinimax(d=3),white,b0cc3410,16,1,133
EvalMinimax(d=3),white,b0cc3410,16,2,28
EvalMinimax(d=3),white,b0cc3410,16,3,1
EvalMinimax(d=3),white,b0cc3410,17,0,1427
EvalMinimax(d=3),white,b0cc3410,17,1,126
EvalMinimax(d=3),white,b0cc3410,17,2,28
EvalMinimax(d=3),white,b0cc3410,17,3,1
EvalMinimax(d=3),white,b0cc3410,18,0,1542
EvalMinimax(d=3),white,b0cc3410,18,1,180
EvalMinimax(d=3),white,b0cc3410,18,2,25
EvalMinimax(d=3),white,b0cc3410,18,3,1
EvalMinimax(d=3),white,b0cc3410,19,0,1545
EvalMinimax(d=3),white,b0cc3410,19,1,256
EvalMinimax(d=3),white,b0cc3410,19,2,25
EvalMinimax(d=3),white,b0cc3410,19,3,1
EvalMinimax(d=3),white,b0cc3410,20,0,541
EvalMinimax(d=3),white,b0cc3410,20,1,58
EvalMinimax(d=3),white,b0cc3410,20,2,26
EvalMinimax(d=3),white,b0cc3410,20,3,1
EvalMinimax(d=3),white,b0cc3410,21,0,130
EvalMinimax(d=3),white,b0cc3410,21,1,33
EvalMinimax(d=3),white,b0cc3410,21,2,1
EvalMinimax(d=3),white,b0cc3410,21,3,1
EvalMinimax(d=3),white,b0cc3410,22,0,1529
EvalMinimax(d=3),white,b0cc3410,22,1,206
EvalMinimax(d=3),white,b0cc3410,22,2,25
EvalMinimax(d=3),white,b0cc3410,22,3,1
EvalMinimax(d=3),white,b0cc3410,23,0,963
EvalMinimax(d=3),white,b0cc3410,23,1,90
EvalMinimax(d=3),white,b0cc3410,23,2,29
EvalMinimax(d=3),white,b0cc3410,23,3,1
EvalMinimax(d=3),white,b0cc3410,24,0,1856
EvalMinimax(d=3),white,b0cc3410,24,1,158
EvalMinimax(d=3),white,b0cc3410,24,2,34
EvalMinimax(d=3),white,b0cc3410,24,3,1
EvalMinimax(d=3),white,b0cc3410,25,0,963
EvalMinimax(d=3),white,b0cc3410,25,1,90
EvalMinimax(d=3),white,b0cc3410,25,2,29
EvalMinimax(d=3),white,b0cc3410,25,3,1
EvalMinimax(d=3),white,b0cc3410,26,0,358
EvalMinimax(d=3),white,b0cc3410,26,1,62
