agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),black,bf830215,1,0,3159
EvalMinimax(d=3),black,bf830215,1,1,326
EvalMinimax(d=3),black,bf830215,1,2,20
EvalMinimax(d=3),black,bf830215,1,3,1
EvalMinimax(d=3),black,bf830215,2,0,1249
EvalMinimax(d=3),black,bf830215,2,1,244
EvalMinimax(d=3),black,bf830215,2,2,21
EvalMinimax(d=3),black,bf830215,2,3,1
EvalMinimax(d=3),black,bf830215,3,0,2297
EvalMinimax(d=3),black,bf830215,3,1,305
EvalMinimax(d=3),black,bf830215,3,2,20
EvalMinimax(d=3),black,bf830215,3,3,1
EvalMinimax(d=3),black,bf830215,4,0,2652
EvalMinimax(d=3),black,bf830215,4,1,305
EvalMinimax(d=3),black,bf830215,4,2,21
EvalMinimax(d=3),black,bf830215,4,3,1
EvalMinimax(d=3),black,bf830215,5,0,1680
EvalMinimax(d=3),black,bf830215,5,1,204
EvalMinimax(d=3),black,bf830215,5,2,22
EvalMinimax(d=3),black,bf830215,5,3,1
EvalMinimax(d=3),black,bf830215,6,0,1510
EvalMinimax(d=3),black,bf830215,6,1,259
EvalMinimax(d=3),black,bf830215,6,2,26
EvalMinimax(d=3),black,bf830215,6,3,1
EvalMinimax(d=3),black,bf830215,7,0,1471
EvalMinimax(d=3),black,bf830215,7,1,212
EvalMinimax(d=3),black,bf830215,7,2,27
EvalMinimax(d=3),black,bf830215,7,3,1
EvalMinimax(d=3),black,bf830215,8,0,1970
EvalMinimax(d=3),black,bf830215,8,1,389
EvalMinimax(d=3),black,bf830215,8,2,28
EvalMinimax(d=3),black,bf830215,8,3,1
EvalMinimax(d=3),black,bf830215,9,0,1985
EvalMinimax(d=3),black,bf830215,9,1,391
EvalMinimax(d=3),black,bf830215,9,2,28
EvalMinimax(d=3),black,bf830215,9,3,1
EvalMinimax(d=3),black,bf830215,10,0,2305
EvalMinimax(d=3),black,bf830215,10,1,303
EvalMinimax(d=3),black,bf830215,10,2,35
EvalMinimax(d=3),black,bf830215,10,3,1
EvalMinimax(d=3),black,bf830215,11,0,1875
EvalMinimax(d=3),black,bf830215,11,1,222
EvalMinimax(d=3),black,bf830215,11,2,31
EvalMinimax(d=3),black,bf830215,11,3,1
EvalMinimax(d=3),black,bf830215,12,0,2001
EvalMinimax(d=3),black,bf830215,12,1,226
EvalMinimax(d=3),black,bf830215,12,2,32
EvalMinimax(d=3),black,bf830215,12,3,1
EvalMinimax(d=3),black,bf830215,13,0,1154
EvalMinimax(d=3),black,bf830215,13,1,101
EvalMinimax(d=3),black,bf830215,13,2,32
EvalMinimax(d=3),black,bf830215,13,3,1
EvalMinimax(d=3),black,bf830215,14,0,2466
EvalMinimax(d=3),black,bf830215,14,1,295
EvalMinimax(d=3),black,bf830215,14,2,33
EvalMinimax(d=3),black,bf830215,14,3,1
EvalMinimax(d=3),black,bf830215,15,0,995
EvalMinimax(d=3),black,bf830215,15,1,186
EvalMinimax(d=3),black,bf830215,15,2,27
EvalMinimax(d=3),black,bf830215,15,3,1
EvalMinimax(d=3),black,bf830215,16,0,1324
EvalMinimax(d=3),black,bf830215,16,1,168
EvalMinimax(d=3),black,bf830215,16,2,32
EvalMinimax(d=3),black,bf830215,16,3,1
EvalMinimax(d=3),black,bf830215,17,0,2044
EvalMinimax(d=3),black,bf830215,17,1,138
EvalMinimax(d=3),black,bf830215,17,2,35
EvalMinimax(d=3),black,bf830215,17,3,1
EvalMinimax(d=3),black,bf830215,18,0,2461
EvalMinimax(d=3),black,bf830215,18,1,111
EvalMinimax(d=3),black,bf830215,18,2,42
EvalMinimax(d=3),black,bf830215,18,3,1
EvalMinimax(d=3),black,bf830215,19,0,1892
EvalMinimax(d=3),black,bf830215,19,1,176
EvalMinimax(d=3),black,bf830215,19,2,32
EvalMinimax(d=3),black,bf830215,19,3,1
EvalMinimax(d=3),black,bf830215,20,0,1158
EvalMinimax(d=3),black,bf830215,20,1,142
EvalMinimax(d=3),black,bf830215,20,2,32
EvalMinimax(d=3),black,bf830215,20,3,1
EvalMinimax(d=3),black,bf830215,21,0,1648
EvalMinimax(d=3),black,bf830215,21,1,175
EvalMinimax(d=3),black,bf830215,21,2,30
EvalMinimax(d=3),black,bf830215,21,3,1
EvalMinimax(d=3),black,bf830215,22,0,1952
EvalMinimax(d=3),black,bf830215,22,1,196
EvalMinimax(d=3),black,bf830215,22,2,33
EvalMinimax(d=3),black,bf830215,22,3,1
EvalMinimax(d=3),black,bf830215,23,0,590
EvalMinimax(d=3),black,bf830215,23,1,129
EvalMinimax(d=3),black,bf830215,23,2,28
EvalMinimax(d=3),black,bf830215,23,3,1
EvalMinimax(d=3),black,bf830215,24,0,766
EvalMinimax(d=3),black,bf830215,24,1,114
EvalMinimax(d=3),black,bf830215,24,2,25
EvalMinimax(d=3),black,bf830215,24,3,1
EvalMinimax(d=3),black,bf830215,25,0,1353
EvalMinimax(d=3),black,bf830215,25,1,236
EvalMinimax(d=3),black,bf830215,25,2,24
EvalMinimax(d=3),black,bf830215,25,3,1
EvalMinimax(d=3),black,bf830215,26,0,1832
EvalMinimax(d=3),black,bf830215,26,1,211
EvalMinimax(d=3),black,bf830215,26,2,29
EvalMinimax(d=3),black,bf830215,26,3,1
EvalMinimax(d=3),black,bf830215,27,0,2429
EvalMinimax(d=3),black,bf830215,27,1,263
EvalMinimax(d=3),black,bf830215,27,2,27
EvalMinimax(d=3),black,bf830215,27,3,1
EvalMinimax(d=3),black,bf830215,28,0,2657
EvalMinimax(d=3),black,bf830215,28,1,280
EvalMinimax(d=3),black,bf830215,28,2,29
EvalMinimax(d=3),black,bf830215,28,3,1
EvalMinimax(d=3),black,bf830215,29,0,2152
EvalMinimax(d=3),black,bf830215,29,1,146
EvalMinimax(d=3),black,bf830215,29,2,29
EvalMinimax(d=3),black,bf830215,29,3,1
EvalMinimax(d=3),black,bf830215,30,0,1909
EvalMinimax(d=3),black,bf830215,30,1,154
EvalMinimax(d=3),black,bf830215,30,2,26
EvalMinimax(d=3),black,bf830215,30,3,1
EvalMinimax(d=3),black,bf830215,31,0,1428
EvalMinimax(d=3),black,bf830215,31,1,275
EvalMinimax(d=3),black,bf830215,31,2,29
EvalMinimax(d=3),black,bf830215,31,3,1
EvalMinimax(d=3),black,bf830215,32,0,2189
EvalMinimax(d=3),black,bf830215,32,1,272
EvalMinimax(d=3),black,bf830215,32,2,25
EvalMinimax(d=3),black,bf830215,32,3,1
EvalMinimax(d=3),black,bf830215,33,0,1623
EvalMinimax(d=3),black,bf830215,33,1,186
EvalMinimax(d=3),black,bf830215,33,2,23
EvalMinimax(d=3),black,bf830215,33,3,1
EvalMinimax(d=3),black,bf830215,34,0,1339
EvalMinimax(d=3),black,bf830215,34,1,225
EvalMinimax(d=3),black,bf830215,34,2,26
EvalMinimax(d=3),black,bf830215,34,3,1
EvalMinimax(d=3),black,bf830215,35,0,2117
