agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,c5ee173b,1,0,2096
EvalMinimax(d=3),white,c5ee173b,1,1,154
EvalMinimax(d=3),white,c5ee173b,1,2,20
EvalMinimax(d=3),white,c5ee173b,1,3,1
EvalMinimax(d=3),white,c5ee173b,2,0,2965
EvalMinimax(d=3),white,c5ee173b,2,1,280
EvalMinimax(d=3),white,c5ee173b,2,2,19
EvalMinimax(d=3),white,c5ee173b,2,3,1
EvalMinimax(d=3),white,c5ee173b,3,0,1482
EvalMinimax(d=3),white,c5ee173b,3,1,163
EvalMinimax(d=3),white,c5ee173b,3,2,20
EvalMinimax(d=3),white,c5ee173b,3,3,1
EvalMinimax(d=3),white,c5ee173b,4,0,2137
EvalMinimax(d=3),white,c5ee173b,4,1,356
EvalMinimax(d=3),white,c5ee173b,4,2,26
EvalMinimax(d=3),white,c5ee173b,4,3,1
EvalMinimax(d=3),white,c5ee173b,5,0,2365
EvalMinimax(d=3),white,c5ee173b,5,1,315
EvalMinimax(d=3),white,c5ee173b,5,2,27
EvalMinimax(d=3),white,c5ee173b,5,3,1
EvalMinimax(d=3),white,c5ee173b,6,0,2065
EvalMinimax(d=3),white,c5ee173b,6,1,261
EvalMinimax(d=3),white,c5ee173b,6,2,24
EvalMinimax(d=3),white,c5ee173b,6,3,1
EvalMinimax(d=3),white,c5ee173b,7,0,1802
EvalMinimax(d=3),white,c5ee173b,7,1,248
EvalMinimax(d=3),white,c5ee173b,7,2,26
EvalMinimax(d=3),white,c5ee173b,7,3,1
EvalMinimax(d=3),white,c5ee173b,8,0,1753
EvalMinimax(d=3),white,c5ee173b,8,1,187
EvalMinimax(d=3),white,c5ee173b,8,2,28
EvalMinimax(d=3),white,c5ee173b,8,3,1
EvalMinimax(d=3),white,c5ee173b,9,0,1766
EvalMinimax(d=3),white,c5ee173b,9,1,169
EvalMinimax(d=3),white,c5ee173b,9,2,30
EvalMinimax(d=3),white,c5ee173b,9,3,1
EvalMinimax(d=3),white,c5ee173b,10,0,1533
EvalMinimax(d=3),white,c5ee173b,10,1,108
EvalMinimax(d=3),white,c5ee173b,10,2,29
EvalMinimax(d=3),white,c5ee173b,10,3,1
EvalMinimax(d=3),white,c5ee173b,11,0,1766
EvalMinimax(d=3),white,c5ee173b,11,1,169
EvalMinimax(d=3),white,c5ee173b,11,2,30
EvalMinimax(d=3),white,c5ee173b,11,3,1
EvalMinimax(d=3),white,c5ee173b,12,0,1896
EvalMinimax(d=3),white,c5ee173b,12,1,166
EvalMinimax(d=3),white,c5ee173b,12,2,31
EvalMinimax(d=3),white,c5ee173b,12,3,1
EvalMinimax(d=3),white,c5ee173b,13,0,1916
EvalMinimax(d=3),white,c5ee173b,13,1,168
EvalMinimax(d=3),white,c5ee173b,13,2,31
EvalMinimax(d=3),white,c5ee173b,13,3,1
EvalMinimax(d=3),white,c5ee173b,14,0,2736
EvalMinimax(d=3),white,c5ee173b,14,1,233
EvalMinimax(d=3),white,c5ee173b,14,2,36
EvalMinimax(d=3),white,c5ee173b,14,3,1
EvalMinimax(d=3),white,c5ee173b,15,0,1880
EvalMinimax(d=3),white,c5ee173b,15,1,154
EvalMinimax(d=3),white,c5ee173b,15,2,34
EvalMinimax(d=3),white,c5ee173b,15,3,1
EvalMinimax(d=3),white,c5ee173b,16,0,1163
EvalMinimax(d=3),white,c5ee173b,16,1,88
EvalMinimax(d=3),white,c5ee173b,16,2,37
EvalMinimax(d=3),white,c5ee173b,16,3,1
EvalMinimax(d=3),white,c5ee173b,17,0,2139
EvalMinimax(d=3),white,c5ee173b,17,1,231
EvalMinimax(d=3),white,c5ee173b,17,2,31
EvalMinimax(d=3),white,c5ee173b,17,3,1
EvalMinimax(d=3),white,c5ee173b,18,0,2246
EvalMinimax(d=3),white,c5ee173b,18,1,285
EvalMinimax(d=3),white,c5ee173b,18,2,29
EvalMinimax(d=3),white,c5ee173b,18,3,1
EvalMinimax(d=3),white,c5ee173b,19,0,1980
EvalMinimax(d=3),white,c5ee173b,19,1,315
EvalMinimax(d=3),white,c5ee173b,19,2,31
EvalMinimax(d=3),white,c5ee173b,19,3,1
EvalMinimax(d=3),white,c5ee173b,20,0,2246
EvalMinimax(d=3),white,c5ee173b,20,1,285
EvalMinimax(d=3),white,c5ee173b,20,2,29
EvalMinimax(d=3),white,c5ee173b,20,3,1
EvalMinimax(d=3),white,c5ee173b,21,0,1064
EvalMinimax(d=3),white,c5ee173b,21,1,65
EvalMinimax(d=3),white,c5ee173b,21,2,32
EvalMinimax(d=3),white,c5ee173b,21,3,1
EvalMinimax(d=3),white,c5ee173b,22,0,2276
EvalMinimax(d=3),white,c5ee173b,22,1,308
EvalMinimax(d=3),white,c5ee173b,22,2,34
EvalMinimax(d=3),white,c5ee173b,22,3,1
EvalMinimax(d=3),white,c5ee173b,23,0,2246
EvalMinimax(d=3),white,c5ee173b,23,1,318
EvalMinimax(d=3),white,c5ee173b,23,2,32
EvalMinimax(d=3),white,c5ee173b,23,3,1
EvalMinimax(d=3),white,c5ee173b,24,0,2387
EvalMinimax(d=3),white,c5ee173b,24,1,159
EvalMinimax(d=3),white,c5ee173b,24,2,35
EvalMinimax(d=3),white,c5ee173b,24,3,1
EvalMinimax(d=3),white,c5ee173b,25,0,2609
EvalMinimax(d=3),white,c5ee173b,25,1,161
EvalMinimax(d=3),white,c5ee173b,25,2,36
EvalMinimax(d=3),white,c5ee173b,25,3,1
EvalMinimax(d=3),white,c5ee173b,26,0,2328
EvalMinimax(d=3),white,c5ee173b,26,1,228
EvalMinimax(d=3),white,c5ee173b,26,2,31
EvalMinimax(d=3),white,c5ee173b,26,3,1
EvalMinimax(d=3),white,c5ee173b,27,0,2641
EvalMinimax(d=3),white,c5ee173b,27,1,269
EvalMinimax(d=3),white,c5ee173b,27,2,33
EvalMinimax(d=3),white,c5ee173b,27,3,1
EvalMinimax(d=3),white,c5ee173b,28,0,3507
EvalMinimax(d=3),white,c5ee173b,28,1,380
EvalMinimax(d=3),white,c5ee173b,28,2,34
EvalMinimax(d=3),white,c5ee173b,28,3,1
EvalMinimax(d=3),white,c5ee173b,29,0,2836
EvalMinimax(d=3),white,c5ee173b,29,1,315
EvalMinimax(d=3),white,c5ee173b,29,2,29
EvalMinimax(d=3),white,c5ee173b,29,3,1
EvalMinimax(d=3),white,c5ee173b,30,0,1508
EvalMinimax(d=3),white,c5ee173b,30,1,82
EvalMinimax(d=3),white,c5ee173b,30,2,31
EvalMinimax(d=3),white,c5ee173b,30,3,1
EvalMinimax(d=3),white,c5ee173b,31,0,3302
EvalMinimax(d=3),white,c5ee173b,31,1,331
EvalMinimax(d=3),white,c5ee173b,31,2,40
EvalMinimax(d=3),white,c5ee173b,31,3,1
EvalMinimax(d=3),white,c5ee173b,32,0,2269
EvalMinimax(d=3),white,c5ee173b,32,1,82
EvalMinimax(d=3),white,c5ee173b,32,2,46
EvalMinimax(d=3),white,c5ee173b,32,3,1
EvalMinimax(d=3),white,c5ee173b,33,0,2397
EvalMinimax(d=3),white,c5ee173b,33,1,88
EvalMinimax(d=3),white,c5ee173b,33,2,45
EvalMinimax(d=3),white,c5ee173b,33,3,1
EvalMinimax(d=3),white,c5ee173b,34,0,818
EvalMinimax(d=3),white,c5ee173b,34,1,86
EvalMinimax(d=3),white,c5ee173b,34,2,37
EvalMinimax(d=3),white,c5ee173b,34,3,1
EvalMinimax(d=3),white,c5ee173b,35,0,1923
EvalMinimax(d=3),white,c5ee173b,35,1,200
EvalMinimax(d=3),white,c5ee173b,35,2,34
EvalMinimax(d=3),white,c5ee173b,35,3,1
EvalMinimax(d=3),white,c5ee173b,36,0,1074
EvalMinimax(d=3),white,c5ee173b,36,1,75
EvalMinimax(d=3),white,c5ee173b,36,2,30
EvalMinimax(d=3),white,c5ee173b,36,3,1
EvalMinimax(d=3),white,c5ee173b,37,0,1303
EvalMinimax(d=3),white,c5ee173b,37,1,142
EvalMinimax(d=3),white,c5ee173b,37,2,36
EvalMinimax(d=3),white,c5ee173b,37,3,1
EvalMinimax(d=3),white,c5ee173b,38,0,111
EvalMinimax(d=3),white,c5ee173b,38,1,54
EvalMinimax(d=3),white,c5ee173b,38,2,5
EvalMinimax(d=3),white,c5ee173b,38,3,1
EvalMinimax(d=3),white,c5ee173b,39,0,1187
EvalMinimax(d=3),white,c5ee173b,39,1,131
EvalMinimax(d=3),white,c5ee173b,39,2,29
EvalMinimax(d=3),white,c5ee173b,39,3,1
EvalMinimax(d=3),white,c5ee173b,40,0,2624
EvalMinimax(d=3),white,c5ee173b,40,1,274
EvalMinimax(d=3),white,c5ee173b,40,2,30
EvalMinimax(d=3),white,c5ee173b,40,3,1
EvalMinimax(d=3),white,c5ee173b,41,0,1186
EvalMinimax(d=3),white,c5ee173b,41,1,45
EvalMinimax(d=3),white,c5ee173b,41,2,35
EvalMinimax(d=3),white,c5ee173b,41,3,1
EvalMinimax(d=3),white,c5ee173b,42,0,1140
EvalMinimax(d=3),white,c5ee173b,42,1,40
EvalMinimax(d=3),white,c5ee173b,42,2,35
EvalMinimax(d=3),white,c5ee173b,42,3,1
EvalMinimax(d=3),white,c5ee173b,43,0,1366
EvalMinimax(d=3),white,c5ee173b,43,1,73
EvalMinimax(d=3),white,c5ee173b,43,2,40
EvalMinimax(d=3),white,c5ee173b,43,3,1
EvalMinimax(d=3),white,c5ee173b,44,0,1094
EvalMinimax(d=3),white,c5ee173b,44,1,49
EvalMinimax(d=3),white,c5ee173b,44,2,36
EvalMinimax(d=3),white,c5ee173b,44,3,1
EvalMinimax(d=3),white,c5ee173b,45,0,1072
EvalMinimax(d=3),white,c5ee173b,45,1,112
EvalMinimax(d=3),white,c5ee173b,45,2,35
EvalMinimax(d=3),white,c5ee173b,45,3,1
EvalMinimax(d=3),white,c5ee173b,46,0,1595
EvalMinimax(d=3),white,c5ee173b,46,1,106
EvalMinimax(d=3),white,c5ee173b,46,2,38
EvalMinimax(d=3),white,c5ee173b,46,3,1
EvalMinimax(d=3),white,c5ee173b,47,0,869
EvalMinimax(d=3),white,c5ee173b,47,1,91
EvalMinimax(d=3),white,c5ee173b,47,2,35
EvalMinimax(d=3),white,c5ee173b,47,3,1
EvalMinimax(d=3),white,c5ee173b,48,0,1278
EvalMinimax(d=3),white,c5ee173b,48,1,93
EvalMinimax(d=3),white,c5ee173b,48,2,36
EvalMinimax(d=3),white,c5ee173b,48,3,1
EvalMinimax(d=3),white,c5ee173b,49,0,1331
EvalMinimax(d=3),white,c5ee173b,49,1,125
EvalMinimax(d=3),white,c5ee173b,49,2,38
EvalMinimax(d=3),white,c5ee173b,49,3,1
EvalMinimax(d=3),white,c5ee173b,50,0,1582
EvalMinimax(d=3),white,c5ee173b,50,1,110
EvalMinimax(d=3),white,c5ee173b,50,2,31
EvalMinimax(d=3),white,c5ee173b,50,3,1
EvalMinimax(d=3),white,c5ee173b,51,0,1328
EvalMinimax(d=3),white,c5ee173b,51,1,110
EvalMinimax(d=3),white,c5ee173b,51,2,29
EvalMinimax(d=3),white,c5ee173b,51,3,1
EvalMinimax(d=3),white,c5ee173b,52,0,1393
EvalMinimax(d=3),white,c5ee173b,52,1,106
EvalMinimax(d=3),white,c5ee173b,52,2,30
EvalMinimax(d=3),white,c5ee173b,52,3,1
EvalMinimax(d=3),white,c5ee173b,53,0,1302
EvalMinimax(d=3),white,c5ee173b,53,1,96
EvalMinimax(d=3),white,c5ee173b,53,2,29
EvalMinimax(d=3),white,c5ee173b,53,3,1
EvalMinimax(d=3),white,c5ee173b,54,0,654
EvalMinimax(d=3),white,c5ee173b,54,1,78
EvalMinimax(d=3),white,c5ee173b,54,2,26
EvalMinimax(d=3),white,c5ee173b,54,3,1
EvalMinimax(d=3),white,c5ee173b,55,0,1090
EvalMinimax(d=3),white,c5ee173b,55,1,101
EvalMinimax(d=3),white,c5ee173b,55,2,33
EvalMinimax(d=3),white,c5ee173b,55,3,1
EvalMinimax(d=3),white,c5ee173b,56,0,998
EvalMinimax(d=3),white,c5ee173b,56,1,113
EvalMinimax(d=3),white,c5ee173b,56,2,31
EvalMinimax(d=3),white,c5ee173b,56,3,1
EvalMinimax(d=3),white,c5ee173b,57,0,1088
EvalMinimax(d=3),white,c5ee173b,57,1,102
EvalMinimax(d=3),white,c5ee173b,57,2,33
EvalMinimax(d=3),white,c5ee173b,57,3,1
EvalMinimax(d=3),white,c5ee173b,58,0,1372
EvalMinimax(d=3),white,c5ee173b,58,1,75
EvalMinimax(d=3),white,c5ee173b,58,2,31
EvalMinimax(d=3),white,c5ee173b,58,3,1
EvalMinimax(d=3),white,c5ee173b,59,0,1468
EvalMinimax(d=3),white,c5ee173b,59,1,140
EvalMinimax(d=3),white,c5ee173b,59,2,29
EvalMinimax(d=3),white,c5ee173b,59,3,1
EvalMinimax(d=3),white,c5ee173b,60,0,200
EvalMinimax(d=3),white,c5ee173b,60,1,25
EvalMinimax(d=3),white,c5ee173b,60,2,7
EvalMinimax(d=3),white,c5ee173b,60,3,1
EvalMinimax(d=3),white,c5ee173b,61,0,1203
EvalMinimax(d=3),white,c5ee173b,61,1,67
EvalMinimax(d=3),white,c5ee173b,61,2,31
EvalMinimax(d=3),white,c5ee173b,61,3,1
EvalMinimax(d=3),white,c5ee173b,62,0,1015
EvalMinimax(d=3),white,c5ee173b,62,1,48
EvalMinimax(d=3),white,c5ee173b,62,2,31
EvalMinimax(d=3),white,c5ee173b,62,3,1
EvalMinimax(d=3),white,c5ee173b,63,0,1898
EvalMinimax(d=3),white,c5ee173b,63,1,77
EvalMinimax(d=3),white,c5ee173b,63,2,34
EvalMinimax(d=3),white,c5ee173b,63,3,1
EvalMinimax(d=3),white,c5ee173b,64,0,1185
EvalMinimax(d=3),white,c5ee173b,64,1,57
EvalMinimax(d=3),white,c5ee173b,64,2,38
EvalMinimax(d=3),white,c5ee173b,64,3,1
EvalMinimax(d=3),white,c5ee173b,65,0,1060
EvalMinimax(d=3),white,c5ee173b,65,1,44
EvalMinimax(d=3),white,c5ee173b,65,2,34
EvalMinimax(d=3),white,c5ee173b,65,3,1
EvalMinimax(d=3),white,c5ee173b,66,0,1165
EvalMinimax(d=3),white,c5ee173b,66,1,58
