agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,d61141ff,1,0,2096
EvalMinimax(d=3),white,d61141ff,1,1,154
EvalMinimax(d=3),white,d61141ff,1,2,20
EvalMinimax(d=3),white,d61141ff,1,3,1
EvalMinimax(d=3),white,d61141ff,2,0,1145
EvalMinimax(d=3),white,d61141ff,2,1,102
EvalMinimax(d=3),white,d61141ff,2,2,21
EvalMinimax(d=3),white,d61141ff,2,3,1
EvalMinimax(d=3),white,d61141ff,3,0,1258
EvalMinimax(d=3),white,d61141ff,3,1,187
EvalMinimax(d=3),white,d61141ff,3,2,21
EvalMinimax(d=3),white,d61141ff,3,3,1
EvalMinimax(d=3),white,d61141ff,4,0,1200
EvalMinimax(d=3),white,d61141ff,4,1,196
EvalMinimax(d=3),white,d61141ff,4,2,20
EvalMinimax(d=3),white,d61141ff,4,3,1
EvalMinimax(d=3),white,d61141ff,5,0,860
EvalMinimax(d=3),white,d61141ff,5,1,173
EvalMinimax(d=3),white,d61141ff,5,2,20
EvalMinimax(d=3),white,d61141ff,5,3,1
EvalMinimax(d=3),white,d61141ff,6,0,2437
EvalMinimax(d=3),white,d61141ff,6,1,257
EvalMinimax(d=3),white,d61141ff,6,2,27
EvalMinimax(d=3),white,d61141ff,6,3,1
EvalMinimax(d=3),white,d61141ff,7,0,1954
EvalMinimax(d=3),white,d61141ff,7,1,241
EvalMinimax(d=3),white,d61141ff,7,2,25
EvalMinimax(d=3),white,d61141ff,7,3,1
EvalMinimax(d=3),white,d61141ff,8,0,1582
EvalMinimax(d=3),white,d61141ff,8,1,234
EvalMinimax(d=3),white,d61141ff,8,2,24
EvalMinimax(d=3),white,d61141ff,8,3,1
EvalMinimax(d=3),white,d61141ff,9,0,1049
EvalMinimax(d=3),white,d61141ff,9,1,121
EvalMinimax(d=3),white,d61141ff,9,2,22
EvalMinimax(d=3),white,d61141ff,9,3,1
EvalMinimax(d=3),white,d61141ff,10,0,1328
EvalMinimax(d=3),white,d61141ff,10,1,138
EvalMinimax(d=3),white,d61141ff,10,2,26
EvalMinimax(d=3),white,d61141ff,10,3,1
EvalMinimax(d=3),white,d61141ff,11,0,837
EvalMinimax(d=3),white,d61141ff,11,1,127
EvalMinimax(d=3),white,d61141ff,11,2,25
EvalMinimax(d=3),white,d61141ff,11,3,1
EvalMinimax(d=3),white,d61141ff,12,0,1255
EvalMinimax(d=3),white,d61141ff,12,1,131
EvalMinimax(d=3),white,d61141ff,12,2,23
EvalMinimax(d=3),white,d61141ff,12,3,1
EvalMinimax(d=3),white,d61141ff,13,0,1264
EvalMinimax(d=3),white,d61141ff,13,1,140
EvalMinimax(d=3),white,d61141ff,13,2,23
EvalMinimax(d=3),white,d61141ff,13,3,1
EvalMinimax(d=3),white,d61141ff,14,0,994
EvalMinimax(d=3),white,d61141ff,14,1,89
EvalMinimax(d=3),white,d61141ff,14,2,22
EvalMinimax(d=3),white,d61141ff,14,3,1
EvalMinimax(d=3),white,d61141ff,15,0,914
EvalMinimax(d=3),white,d61141ff,15,1,89
