agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),black,e5ad8b5e,1,0,3159
EvalMinimax(d=3),black,e5ad8b5e,1,1,326
EvalMinimax(d=3),black,e5ad8b5e,1,2,20
EvalMinimax(d=3),black,e5ad8b5e,1,3,1
EvalMinimax(d=3),black,e5ad8b5e,2,0,2601
EvalMinimax(d=3),black,e5ad8b5e,2,1,354
EvalMinimax(d=3),black,e5ad8b5e,2,2,19
EvalMinimax(d=3),black,e5ad8b5e,2,3,1
EvalMinimax(d=3),black,e5ad8b5e,3,0,2885
EvalMinimax(d=3),black,e5ad8b5e,3,1,432
EvalMinimax(d=3),black,e5ad8b5e,3,2,18
EvalMinimax(d=3),black,e5ad8b5e,3,3,1
EvalMinimax(d=3),black,e5ad8b5e,4,0,1406
EvalMinimax(d=3),black,e5ad8b5e,4,1,235
EvalMinimax(d=3),black,e5ad8b5e,4,2,20
EvalMinimax(d=3),black,e5ad8b5e,4,3,1
EvalMinimax(d=3),black,e5ad8b5e,5,0,1887
EvalMinimax(d=3),black,e5ad8b5e,5,1,315
EvalMinimax(d=3),black,e5ad8b5e,5,2,27
EvalMinimax(d=3),black,e5ad8b5e,5,3,1
EvalMinimax(d=3),black,e5ad8b5e,6,0,3254
EvalMinimax(d=3),black,e5ad8b5e,6,1,542
EvalMinimax(d=3),black,e5ad8b5e,6,2,31
EvalMinimax(d=3),black,e5ad8b5e,6,3,1
EvalMinimax(d=3),black,e5ad8b5e,7,0,2451
EvalMinimax(d=3),black,e5ad8b5e,7,1,376
EvalMinimax(d=3),black,e5ad8b5e,7,2,32
EvalMinimax(d=3),black,e5ad8b5e,7,3,1
EvalMinimax(d=3),black,e5ad8b5e,8,0,2545
EvalMinimax(d=3),black,e5ad8b5e,8,1,305
EvalMinimax(d=3),black,e5ad8b5e,8,2,34
EvalMinimax(d=3),black,e5ad8b5e,8,3,1
EvalMinimax(d=3),black,e5ad8b5e,9,0,2653
EvalMinimax(d=3),black,e5ad8b5e,9,1,291
EvalMinimax(d=3),black,e5ad8b5e,9,2,36
EvalMinimax(d=3),black,e5ad8b5e,9,3,1
EvalMinimax(d=3),black,e5ad8b5e,10,0,2209
EvalMinimax(d=3),black,e5ad8b5e,10,1,244
EvalMinimax(d=3),black,e5ad8b5e,10,2,32
EvalMinimax(d=3),black,e5ad8b5e,10,3,1
EvalMinimax(d=3),black,e5ad8b5e,11,0,2838
EvalMinimax(d=3),black,e5ad8b5e,11,1,241
EvalMinimax(d=3),black,e5ad8b5e,11,2,40
EvalMinimax(d=3),black,e5ad8b5e,11,3,1
EvalMinimax(d=3),black,e5ad8b5e,12,0,1336
EvalMinimax(d=3),black,e5ad8b5e,12,1,65
EvalMinimax(d=3),black,e5ad8b5e,12,2,39
EvalMinimax(d=3),black,e5ad8b5e,12,3,1
EvalMinimax(d=3),black,e5ad8b5e,13,0,1019
EvalMinimax(d=3),black,e5ad8b5e,13,1,67
EvalMinimax(d=3),black,e5ad8b5e,13,2,32
EvalMinimax(d=3),black,e5ad8b5e,13,3,1
EvalMinimax(d=3),black,e5ad8b5e,14,0,1409
EvalMinimax(d=3),black,e5ad8b5e,14,1,178
