agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),black,e665f295,1,0,2944
EvalMinimax(d=3),black,e665f295,1,1,295
EvalMinimax(d=3),black,e665f295,1,2,20
EvalMinimax(d=3),black,e665f295,1,3,1
EvalMinimax(d=3),black,e665f295,2,0,1804
EvalMinimax(d=3),black,e665f295,2,1,414
EvalMinimax(d=3),black,e665f295,2,2,22
EvalMinimax(d=3),black,e665f295,2,3,1
EvalMinimax(d=3),black,e665f295,3,0,1273
EvalMinimax(d=3),black,e665f295,3,1,249
EvalMinimax(d=3),black,e665f295,3,2,24
EvalMinimax(d=3),black,e665f295,3,3,1
EvalMinimax(d=3),black,e665f295,4,0,229
EvalMinimax(d=3),black,e665f295,4,1,67
EvalMinimax(d=3),black,e665f295,4,2,2
EvalMinimax(d=3),black,e665f295,4,3,1
EvalMinimax(d=3),black,e665f295,5,0,1629
EvalMinimax(d=3),black,e665f295,5,1,282
EvalMinimax(d=3),black,e665f295,5,2,25
EvalMinimax(d=3),black,e665f295,5,3,1
EvalMinimax(d=3),black,e665f295,6,0,3018
EvalMinimax(d=3),black,e665f295,6,1,417
EvalMinimax(d=3),black,e665f295,6,2,31
EvalMinimax(d=3),black,e665f295,6,3,1
EvalMinimax(d=3),black,e665f295,7,0,2832
EvalMinimax(d=3),black,e665f295,7,1,404
EvalMinimax(d=3),black,e665f295,7,2,31
EvalMinimax(d=3),black,e665f295,7,3,1
EvalMinimax(d=3),black,e665f295,8,0,2360
EvalMinimax(d=3),black,e665f295,8,1,302
EvalMinimax(d=3),black,e665f295,8,2,31
EvalMinimax(d=3),black,e665f295,8,3,1
EvalMinimax(d=3),black,e665f295,9,0,2140
EvalMinimax(d=3),black,e665f295,9,1,297
EvalMinimax(d=3),black,e665f295,9,2,30
EvalMinimax(d=3),black,e665f295,9,3,1
EvalMinimax(d=3),black,e665f295,10,0,2418
EvalMinimax(d=3),black,e665f295,10,1,270
EvalMinimax(d=3),black,e665f295,10,2,32
EvalMinimax(d=3),black,e665f295,10,3,1
EvalMinimax(d=3),black,e665f295,11,0,1564
EvalMinimax(d=3),black,e665f295,11,1,85
EvalMinimax(d=3),black,e665f295,11,2,32
EvalMinimax(d=3),black,e665f295,11,3,1
EvalMinimax(d=3),black,e665f295,12,0,2394
EvalMinimax(d=3),black,e665f295,12,1,300
EvalMinimax(d=3),black,e665f295,12,2,30
EvalMinimax(d=3),black,e665f295,12,3,1
EvalMinimax(d=3),black,e665f295,13,0,992
EvalMinimax(d=3),black,e665f295,13,1,192
EvalMinimax(d=3),black,e665f295,13,2,29
EvalMinimax(d=3),black,e665f295,13,3,1
EvalMinimax(d=3),black,e665f295,14,0,1046
EvalMinimax(d=3),black,e665f295,14,1,193
EvalMinimax(d=3),black,e665f295,14,2,30
EvalMinimax(d=3),black,e665f295,14,3,1
EvalMinimax(d=3),black,e665f295,15,0,992
EvalMinimax(d=3),black,e665f295,15,1,192
EvalMinimax(d=3),black,e665f295,15,2,29
EvalMinimax(d=3),black,e665f295,15,3,1
EvalMinimax(d=3),black,e665f295,16,0,1046
EvalMinimax(d=3),black,e665f295,16,1,193
EvalMinimax(d=3),black,e665f295,16,2,30
EvalMinimax(d=3),black,e665f295,16,3,1
EvalMinimax(d=3),black,e665f295,17,0,991
EvalMinimax(d=3),black,e665f295,17,1,192
EvalMinimax(d=3),black,e665f295,17,2,29
EvalMinimax(d=3),black,e665f295,17,3,1
EvalMinimax(d=3),black,e665f295,18,0,1034
EvalMinimax(d=3),black,e665f295,18,1,183
EvalMinimax(d=3),black,e665f295,18,2,30
EvalMinimax(d=3),black,e665f295,18,3,1
EvalMinimax(d=3),black,e665f295,19,0,981
EvalMinimax(d=3),black,e665f295,19,1,182
EvalMinimax(d=3),black,e665f295,19,2,29
EvalMinimax(d=3),black,e665f295,19,3,1
EvalMinimax(d=3),black,e665f295,20,0,1034
EvalMinimax(d=3),black,e665f295,20,1,183
EvalMinimax(d=3),black,e665f295,20,2,30
EvalMinimax(d=3),black,e665f295,20,3,1
EvalMinimax(d=3),black,e665f295,21,0,1057
EvalMinimax(d=3),black,e665f295,21,1,136
EvalMinimax(d=3),black,e665f295,21,2,31
EvalMinimax(d=3),black,e665f295,21,3,1
EvalMinimax(d=3),black,e665f295,22,0,1683
EvalMinimax(d=3),black,e665f295,22,1,225
EvalMinimax(d=3),black,e665f295,22,2,41
EvalMinimax(d=3),black,e665f295,22,3,1
EvalMinimax(d=3),black,e665f295,23,0,1075
EvalMinimax(d=3),black,e665f295,23,1,159
EvalMinimax(d=3),black,e665f295,23,2,31
EvalMinimax(d=3),black,e665f295,23,3,1
EvalMinimax(d=3),black,e665f295,24,0,1271
EvalMinimax(d=3),black,e665f295,24,1,107
EvalMinimax(d=3),black,e665f295,24,2,35
EvalMinimax(d=3),black,e665f295,24,3,1
EvalMinimax(d=3),black,e665f295,25,0,1135
EvalMinimax(d=3),black,e665f295,25,1,142
EvalMinimax(d=3),black,e665f295,25,2,28
EvalMinimax(d=3),black,e665f295,25,3,1
EvalMinimax(d=3),black,e665f295,26,0,1118
EvalMinimax(d=3),black,e665f295,26,1,83
EvalMinimax(d=3),black,e665f295,26,2,28
EvalMinimax(d=3),black,e665f295,26,3,1
EvalMinimax(d=3),black,e665f295,27,0,1271
EvalMinimax(d=3),black,e665f295,27,1,100
EvalMinimax(d=3),black,e665f295,27,2,30
EvalMinimax(d=3),black,e665f295,27,3,1
EvalMinimax(d=3),black,e665f295,28,0,485
EvalMinimax(d=3),black,e665f295,28,1,65
EvalMinimax(d=3),black,e665f295,28,2,31
EvalMinimax(d=3),black,e665f295,28,3,1
EvalMinimax(d=3),black,e665f295,29,0,1190
EvalMinimax(d=3),black,e665f295,29,1,82
EvalMinimax(d=3),black,e665f295,29,2,28
EvalMinimax(d=3),black,e665f295,29,3,1
EvalMinimax(d=3),black,e665f295,30,0,937
EvalMinimax(d=3),black,e665f295,30,1,71
EvalMinimax(d=3),black,e665f295,30,2,23
EvalMinimax(d=3),black,e665f295,30,3,1
EvalMinimax(d=3),black,e665f295,31,0,381
EvalMinimax(d=3),black,e665f295,31,1,72
EvalMinimax(d=3),black,e665f295,31,2,18
EvalMinimax(d=3),black,e665f295,31,3,1
EvalMinimax(d=3),black,e665f295,32,0,1161
EvalMinimax(d=3),black,e665f295,32,1,101
EvalMinimax(d=3),black,e665f295,32,2,25
EvalMinimax(d=3),black,e665f295,32,3,1
EvalMinimax(d=3),black,e665f295,33,0,995
EvalMinimax(d=3),black,e665f295,33,1,150
EvalMinimax(d=3),black,e665f295,33,2,21
EvalMinimax(d=3),black,e665f295,33,3,1
EvalMinimax(d=3),black,e665f295,34,0,581
EvalMinimax(d=3),black,e665f295,34,1,119
EvalMinimax(d=3),black,e665f295,34,2,19
EvalMinimax(d=3),black,e665f295,34,3,1
EvalMinimax(d=3),black,e665f295,35,0,1237
EvalMinimax(d=3),black,e665f295,35,1,244
EvalMinimax(d=3),black,e665f295,35,2,21
EvalMinimax(d=3),black,e665f295,35,3,1
EvalMinimax(d=3),black,e665f295,36,0,1516
EvalMinimax(d=3),black,e665f295,36,1,212
EvalMinimax(d=3),black,e665f295,36,2,24
EvalMinimax(d=3),black,e665f295,36,3,1
EvalMinimax(d=3),black,e665f295,37,0,1110
EvalMinimax(d=3),black,e665f295,37,1,131
EvalMinimax(d=3),black,e665f295,37,2,30
EvalMinimax(d=3),black,e665f295,37,3,1
EvalMinimax(d=3),black,e665f295,38,0,1157
EvalMinimax(d=3),black,e665f295,38,1,123
EvalMinimax(d=3),black,e665f295,38,2,34
EvalMinimax(d=3),black,e665f295,38,3,1
EvalMinimax(d=3),black,e665f295,39,0,1210
EvalMinimax(d=3),black,e665f295,39,1,141
EvalMinimax(d=3),black,e665f295,39,2,28
EvalMinimax(d=3),black,e665f295,39,3,1
EvalMinimax(d=3),black,e665f295,40,0,1125
EvalMinimax(d=3),black,e665f295,40,1,108
EvalMinimax(d=3),black,e665f295,40,2,34
EvalMinimax(d=3),black,e665f295,40,3,1
