agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=3),white,f5f1d7c3,1,0,2096
EvalMinimax(d=3),white,f5f1d7c3,1,1,154
EvalMinimax(d=3),white,f5f1d7c3,1,2,20
EvalMinimax(d=3),white,f5f1d7c3,1,3,1
EvalMinimax(d=3),white,f5f1d7c3,2,0,2054
EvalMinimax(d=3),white,f5f1d7c3,2,1,159
EvalMinimax(d=3),white,f5f1d7c3,2,2,20
EvalMinimax(d=3),white,f5f1d7c3,2,3,1
EvalMinimax(d=3),white,f5f1d7c3,3,0,2088
EvalMinimax(d=3),white,f5f1d7c3,3,1,219
EvalMinimax(d=3),white,f5f1d7c3,3,2,18
EvalMinimax(d=3),white,f5f1d7c3,3,3,1
EvalMinimax(d=3),white,f5f1d7c3,4,0,1450
EvalMinimax(d=3),white,f5f1d7c3,4,1,147
EvalMinimax(d=3),white,f5f1d7c3,4,2,20
EvalMinimax(d=3),white,f5f1d7c3,4,3,1
EvalMinimax(d=3),white,f5f1d7c3,5,0,1963
EvalMinimax(d=3),white,f5f1d7c3,5,1,342
EvalMinimax(d=3),white,f5f1d7c3,5,2,26
EvalMinimax(d=3),white,f5f1d7c3,5,3,1
EvalMinimax(d=3),white,f5f1d7c3,6,0,2053
EvalMinimax(d=3),white,f5f1d7c3,6,1,393
EvalMinimax(d=3),white,f5f1d7c3,6,2,26
EvalMinimax(d=3),white,f5f1d7c3,6,3,1
EvalMinimax(d=3),white,f5f1d7c3,7,0,2044
EvalMinimax(d=3),white,f5f1d7c3,7,1,415
EvalMinimax(d=3),white,f5f1d7c3,7,2,28
EvalMinimax(d=3),white,f5f1d7c3,7,3,1
EvalMinimax(d=3),white,f5f1d7c3,8,0,1788
EvalMinimax(d=3),white,f5f1d7c3,8,1,292
EvalMinimax(d=3),white,f5f1d7c3,8,2,27
EvalMinimax(d=3),white,f5f1d7c3,8,3,1
EvalMinimax(d=3),white,f5f1d7c3,9,0,960
EvalMinimax(d=3),white,f5f1d7c3,9,1,142
EvalMinimax(d=3),white,f5f1d7c3,9,2,27
EvalMinimax(d=3),white,f5f1d7c3,9,3,1
EvalMinimax(d=3),white,f5f1d7c3,10,0,874
EvalMinimax(d=3),white,f5f1d7c3,10,1,144
EvalMinimax(d=3),white,f5f1d7c3,10,2,29
EvalMinimax(d=3),white,f5f1d7c3,10,3,1
EvalMinimax(d=3),white,f5f1d7c3,11,0,1000
EvalMinimax(d=3),white,f5f1d7c3,11,1,176
EvalMinimax(d=3),white,f5f1d7c3,11,2,29
EvalMinimax(d=3),white,f5f1d7c3,11,3,1
EvalMinimax(d=3),white,f5f1d7c3,12,0,2805
EvalMinimax(d=3),white,f5f1d7c3,12,1,219
EvalMinimax(d=3),white,f5f1d7c3,12,2,37
EvalMinimax(d=3),white,f5f1d7c3,12,3,1
EvalMinimax(d=3),white,f5f1d7c3,13,0,2023
EvalMinimax(d=3),white,f5f1d7c3,13,1,357
EvalMinimax(d=3),white,f5f1d7c3,13,2,32
EvalMinimax(d=3),white,f5f1d7c3,13,3,1
EvalMinimax(d=3),white,f5f1d7c3,14,0,2506
EvalMinimax(d=3),white,f5f1d7c3,14,1,421
EvalMinimax(d=3),white,f5f1d7c3,14,2,37
EvalMinimax(d=3),white,f5f1d7c3,14,3,1
EvalMinimax(d=3),white,f5f1d7c3,15,0,2473
EvalMinimax(d=3),white,f5f1d7c3,15,1,419
EvalMinimax(d=3),white,f5f1d7c3,15,2,37
EvalMinimax(d=3),white,f5f1d7c3,15,3,1
EvalMinimax(d=3),white,f5f1d7c3,16,0,3015
EvalMinimax(d=3),white,f5f1d7c3,16,1,477
EvalMinimax(d=3),white,f5f1d7c3,16,2,36
EvalMinimax(d=3),white,f5f1d7c3,16,3,1
EvalMinimax(d=3),white,f5f1d7c3,17,0,567
EvalMinimax(d=3),white,f5f1d7c3,17,1,164
EvalMinimax(d=3),white,f5f1d7c3,17,2,31
EvalMinimax(d=3),white,f5f1d7c3,17,3,1
EvalMinimax(d=3),white,f5f1d7c3,18,0,1505
EvalMinimax(d=3),white,f5f1d7c3,18,1,167
