agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=2),black,5b31366a,1,-1,9
QSearchMinimax(d=2),black,5b31366a,1,0,123
QSearchMinimax(d=2),black,5b31366a,1,1,20
QSearchMinimax(d=2),black,5b31366a,1,2,1
QSearchMinimax(d=2),black,5b31366a,2,-1,246
QSearchMinimax(d=2),black,5b31366a,2,0,209
QSearchMinimax(d=2),black,5b31366a,2,1,30
QSearchMinimax(d=2),black,5b31366a,2,2,1
QSearchMinimax(d=2),black,5b31366a,3,-1,170
QSearchMinimax(d=2),black,5b31366a,3,0,207
QSearchMinimax(d=2),black,5b31366a,3,1,39
QSearchMinimax(d=2),black,5b31366a,3,2,1
QSearchMinimax(d=2),black,5b31366a,4,-1,339
QSearchMinimax(d=2),black,5b31366a,4,0,207
QSearchMinimax(d=2),black,5b31366a,4,1,35
QSearchMinimax(d=2),black,5b31366a,4,2,1
QSearchMinimax(d=2),black,5b31366a,5,-1,340
QSearchMinimax(d=2),black,5b31366a,5,0,187
QSearchMinimax(d=2),black,5b31366a,5,1,35
QSearchMinimax(d=2),black,5b31366a,5,2,1
QSearchMinimax(d=2),black,5b31366a,6,-1,339
QSearchMinimax(d=2),black,5b31366a,6,0,196
QSearchMinimax(d=2),black,5b31366a,6,1,33
QSearchMinimax(d=2),black,5b31366a,6,2,1
QSearchMinimax(d=2),black,5b31366a,7,-1,399
QSearchMinimax(d=2),black,5b31366a,7,0,189
QSearchMinimax(d=2),black,5b31366a,7,1,34
QSearchMinimax(d=2),black,5b31366a,7,2,1
QSearchMinimax(d=2),black,5b31366a,8,-1,333
QSearchMinimax(d=2),black,5b31366a,8,0,206
QSearchMinimax(d=2),black,5b31366a,8,1,34
QSearchMinimax(d=2),black,5b31366a,8,2,1
QSearchMinimax(d=2),black,5b31366a,9,-1,308
QSearchMinimax(d=2),black,5b31366a,9,0,167
QSearchMinimax(d=2),black,5b31366a,9,1,37
QSearchMinimax(d=2),black,5b31366a,9,2,1
QSearchMinimax(d=2),black,5b31366a,10,-1,268
QSearchMinimax(d=2),black,5b31366a,10,0,140
QSearchMinimax(d=2),black,5b31366a,10,1,43
QSearchMinimax(d=2),black,5b31366a,10,2,1
QSearchMinimax(d=2),black,5b31366a,11,-1,473
QSearchMinimax(d=2),black,5b31366a,11,0,293
QSearchMinimax(d=2),black,5b31366a,11,1,41
QSearchMinimax(d=2),black,5b31366a,11,2,1
QSearchMinimax(d=2),black,5b31366a,12,-1,278
QSearchMinimax(d=2),black,5b31366a,12,0,155
QSearchMinimax(d=2),black,5b31366a,12,1,36
QSearchMinimax(d=2),black,5b31366a,12,2,1
QSearchMinimax(d=2),black,5b31366a,13,-1,342
QSearchMinimax(d=2),black,5b31366a,13,0,192
QSearchMinimax(d=2),black,5b31366a,13,1,38
QSearchMinimax(d=2),black,5b31366a,13,2,1
QSearchMinimax(d=2),black,5b31366a,14,-1,279
QSearchMinimax(d=2),black,5b31366a,14,0,197
QSearchMinimax(d=2),black,5b31366a,14,1,32
QSearchMinimax(d=2),black,5b31366a,14,2,1
