agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=2),white,8c9ba06f,1,-1,9
QSearchMinimax(d=2),white,8c9ba06f,1,0,104
QSearchMinimax(d=2),white,8c9ba06f,1,1,20
QSearchMinimax(d=2),white,8c9ba06f,1,2,1
QSearchMinimax(d=2),white,8c9ba06f,2,-1,73
QSearchMinimax(d=2),white,8c9ba06f,2,0,127
QSearchMinimax(d=2),white,8c9ba06f,2,1,30
QSearchMinimax(d=2),white,8c9ba06f,2,2,1
QSearchMinimax(d=2),white,8c9ba06f,3,-1,123
QSearchMinimax(d=2),white,8c9ba06f,3,0,207
QSearchMinimax(d=2),white,8c9ba06f,3,1,33
QSearchMinimax(d=2),white,8c9ba06f,3,2,1
QSearchMinimax(d=2),white,8c9ba06f,4,-1,295
QSearchMinimax(d=2),white,8c9ba06f,4,0,247
QSearchMinimax(d=2),white,8c9ba06f,4,1,35
QSearchMinimax(d=2),white,8c9ba06f,4,2,1
QSearchMinimax(d=2),white,8c9ba06f,5,-1,260
QSearchMinimax(d=2),white,8c9ba06f,5,0,225
QSearchMinimax(d=2),white,8c9ba06f,5,1,34
QSearchMinimax(d=2),white,8c9ba06f,5,2,1
QSearchMinimax(d=2),white,8c9ba06f,6,-1,573
QSearchMinimax(d=2),white,8c9ba06f,6,0,485
QSearchMinimax(d=2),white,8c9ba06f,6,1,33
QSearchMinimax(d=2),white,8c9ba06f,6,2,1
QSearchMinimax(d=2),white,8c9ba06f,7,-1,534
QSearchMinimax(d=2),white,8c9ba06f,7,0,456
QSearchMinimax(d=2),white,8c9ba06f,7,1,32
QSearchMinimax(d=2),white,8c9ba06f,7,2,1
QSearchMinimax(d=2),white,8c9ba06f,8,-1,305
QSearchMinimax(d=2),white,8c9ba06f,8,0,265
QSearchMinimax(d=2),white,8c9ba06f,8,1,32
QSearchMinimax(d=2),white,8c9ba06f,8,2,1
QSearchMinimax(d=2),white,8c9ba06f,9,-1,313
QSearchMinimax(d=2),white,8c9ba06f,9,0,286
QSearchMinimax(d=2),white,8c9ba06f,9,1,33
QSearchMinimax(d=2),white,8c9ba06f,9,2,1
QSearchMinimax(d=2),white,8c9ba06f,10,-1,479
QSearchMinimax(d=2),white,8c9ba06f,10,0,362
QSearchMinimax(d=2),white,8c9ba06f,10,1,34
QSearchMinimax(d=2),white,8c9ba06f,10,2,1
QSearchMinimax(d=2),white,8c9ba06f,11,-1,470
QSearchMinimax(d=2),white,8c9ba06f,11,0,254
QSearchMinimax(d=2),white,8c9ba06f,11,1,37
QSearchMinimax(d=2),white,8c9ba06f,11,2,1
QSearchMinimax(d=2),white,8c9ba06f,12,-1,335
QSearchMinimax(d=2),white,8c9ba06f,12,0,278
QSearchMinimax(d=2),white,8c9ba06f,12,1,35
QSearchMinimax(d=2),white,8c9ba06f,12,2,1
QSearchMinimax(d=2),white,8c9ba06f,13,-1,337
