agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=2),white,9f07d2b8,1,-1,9
QSearchMinimax(d=2),white,9f07d2b8,1,0,104
QSearchMinimax(d=2),white,9f07d2b8,1,1,20
QSearchMinimax(d=2),white,9f07d2b8,1,2,1
QSearchMinimax(d=2),white,9f07d2b8,2,-1,83
QSearchMinimax(d=2),white,9f07d2b8,2,0,129
QSearchMinimax(d=2),white,9f07d2b8,2,1,30
QSearchMinimax(d=2),white,9f07d2b8,2,2,1
QSearchMinimax(d=2),white,9f07d2b8,3,-1,305
QSearchMinimax(d=2),white,9f07d2b8,3,0,233
QSearchMinimax(d=2),white,9f07d2b8,3,1,32
QSearchMinimax(d=2),white,9f07d2b8,3,2,1
QSearchMinimax(d=2),white,9f07d2b8,4,-1,297
QSearchMinimax(d=2),white,9f07d2b8,4,0,265
QSearchMinimax(d=2),white,9f07d2b8,4,1,27
QSearchMinimax(d=2),white,9f07d2b8,4,2,1
QSearchMinimax(d=2),white,9f07d2b8,5,-1,455
QSearchMinimax(d=2),white,9f07d2b8,5,0,270
QSearchMinimax(d=2),white,9f07d2b8,5,1,26
QSearchMinimax(d=2),white,9f07d2b8,5,2,1
QSearchMinimax(d=2),white,9f07d2b8,6,-1,505
QSearchMinimax(d=2),white,9f07d2b8,6,0,303
QSearchMinimax(d=2),white,9f07d2b8,6,1,25
QSearchMinimax(d=2),white,9f07d2b8,6,2,1
QSearchMinimax(d=2),white,9f07d2b8,7,-1,346
QSearchMinimax(d=2),white,9f07d2b8,7,0,207
QSearchMinimax(d=2),white,9f07d2b8,7,1,27
QSearchMinimax(d=2),white,9f07d2b8,7,2,1
QSearchMinimax(d=2),white,9f07d2b8,8,-1,823
QSearchMinimax(d=2),white,9f07d2b8,8,0,331
QSearchMinimax(d=2),white,9f07d2b8,8,1,37
QSearchMinimax(d=2),white,9f07d2b8,8,2,1
QSearchMinimax(d=2),white,9f07d2b8,9,-1,715
QSearchMinimax(d=2),white,9f07d2b8,9,0,287
QSearchMinimax(d=2),white,9f07d2b8,9,1,34
QSearchMinimax(d=2),white,9f07d2b8,9,2,1
QSearchMinimax(d=2),white,9f07d2b8,10,-1,580
QSearchMinimax(d=2),white,9f07d2b8,10,0,251
QSearchMinimax(d=2),white,9f07d2b8,10,1,37
QSearchMinimax(d=2),white,9f07d2b8,10,2,1
QSearchMinimax(d=2),white,9f07d2b8,11,-1,324
QSearchMinimax(d=2),white,9f07d2b8,11,0,164
QSearchMinimax(d=2),white,9f07d2b8,11,1,40
QSearchMinimax(d=2),white,9f07d2b8,11,2,1
QSearchMinimax(d=2),white,9f07d2b8,12,-1,367
QSearchMinimax(d=2),white,9f07d2b8,12,0,183
QSearchMinimax(d=2),white,9f07d2b8,12,1,39
QSearchMinimax(d=2),white,9f07d2b8,12,2,1
QSearchMinimax(d=2),white,9f07d2b8,13,-1,538
QSearchMinimax(d=2),white,9f07d2b8,13,0,231
QSearchMinimax(d=2),white,9f07d2b8,13,1,40
QSearchMinimax(d=2),white,9f07d2b8,13,2,1
QSearchMinimax(d=2),white,9f07d2b8,14,-1,825
QSearchMinimax(d=2),white,9f07d2b8,14,0,300
QSearchMinimax(d=2),white,9f07d2b8,14,1,40
QSearchMinimax(d=2),white,9f07d2b8,14,2,1
QSearchMinimax(d=2),white,9f07d2b8,15,-1,597
QSearchMinimax(d=2),white,9f07d2b8,15,0,252
QSearchMinimax(d=2),white,9f07d2b8,15,1,38
QSearchMinimax(d=2),white,9f07d2b8,15,2,1
QSearchMinimax(d=2),white,9f07d2b8,16,-1,744
