agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=2),black,b0cc3410,1,-1,58
QSearchMinimax(d=2),black,b0cc3410,1,0,114
QSearchMinimax(d=2),black,b0cc3410,1,1,20
QSearchMinimax(d=2),black,b0cc3410,1,2,1
QSearchMinimax(d=2),black,b0cc3410,2,-1,174
QSearchMinimax(d=2),black,b0cc3410,2,0,169
QSearchMinimax(d=2),black,b0cc3410,2,1,29
QSearchMinimax(d=2),black,b0cc3410,2,2,1
QSearchMinimax(d=2),black,b0cc3410,3,-1,352
QSearchMinimax(d=2),black,b0cc3410,3,0,310
QSearchMinimax(d=2),black,b0cc3410,3,1,25
QSearchMinimax(d=2),black,b0cc3410,3,2,1
QSearchMinimax(d=2),black,b0cc3410,4,-1,391
QSearchMinimax(d=2),black,b0cc3410,4,0,331
QSearchMinimax(d=2),black,b0cc3410,4,1,26
QSearchMinimax(d=2),black,b0cc3410,4,2,1
QSearchMinimax(d=2),black,b0cc3410,5,-1,419
QSearchMinimax(d=2),black,b0cc3410,5,0,343
QSearchMinimax(d=2),black,b0cc3410,5,1,25
QSearchMinimax(d=2),black,b0cc3410,5,2,1
QSearchMinimax(d=2),black,b0cc3410,6,-1,455
QSearchMinimax(d=2),black,b0cc3410,6,0,370
QSearchMinimax(d=2),black,b0cc3410,6,1,24
QSearchMinimax(d=2),black,b0cc3410,6,2,1
QSearchMinimax(d=2),black,b0cc3410,7,-1,334
QSearchMinimax(d=2),black,b0cc3410,7,0,227
QSearchMinimax(d=2),black,b0cc3410,7,1,25
QSearchMinimax(d=2),black,b0cc3410,7,2,1
QSearchMinimax(d=2),black,b0cc3410,8,-1,236
QSearchMinimax(d=2),black,b0cc3410,8,0,177
QSearchMinimax(d=2),black,b0cc3410,8,1,24
QSearchMinimax(d=2),black,b0cc3410,8,2,1
QSearchMinimax(d=2),black,b0cc3410,9,-1,390
QSearchMinimax(d=2),black,b0cc3410,9,0,243
QSearchMinimax(d=2),black,b0cc3410,9,1,24
QSearchMinimax(d=2),black,b0cc3410,9,2,1
QSearchMinimax(d=2),black,b0cc3410,10,-1,258
QSearchMinimax(d=2),black,b0cc3410,10,0,155
QSearchMinimax(d=2),black,b0cc3410,10,1,22
QSearchMinimax(d=2),black,b0cc3410,10,2,1
QSearchMinimax(d=2),black,b0cc3410,11,-1,170
QSearchMinimax(d=2),black,b0cc3410,11,0,99
QSearchMinimax(d=2),black,b0cc3410,11,1,22
QSearchMinimax(d=2),black,b0cc3410,11,2,1
QSearchMinimax(d=2),black,b0cc3410,12,-1,199
QSearchMinimax(d=2),black,b0cc3410,12,0,110
QSearchMinimax(d=2),black,b0cc3410,12,1,22
QSearchMinimax(d=2),black,b0cc3410,12,2,1
QSearchMinimax(d=2),black,b0cc3410,13,-1,227
QSearchMinimax(d=2),black,b0cc3410,13,0,155
QSearchMinimax(d=2),black,b0cc3410,13,1,24
QSearchMinimax(d=2),black,b0cc3410,13,2,1
QSearchMinimax(d=2),black,b0cc3410,14,-1,276
QSearchMinimax(d=2),black,b0cc3410,14,0,191
QSearchMinimax(d=2),black,b0cc3410,14,1,22
QSearchMinimax(d=2),black,b0cc3410,14,2,1
QSearchMinimax(d=2),black,b0cc3410,15,-1,252
QSearchMinimax(d=2),black,b0cc3410,15,0,185
QSearchMinimax(d=2),black,b0cc3410,15,1,22
QSearchMinimax(d=2),black,b0cc3410,15,2,1
QSearchMinimax(d=2),black,b0cc3410,16,-1,336
QSearchMinimax(d=2),black,b0cc3410,16,0,251
QSearchMinimax(d=2),black,b0cc3410,16,1,24
QSearchMinimax(d=2),black,b0cc3410,16,2,1
QSearchMinimax(d=2),black,b0cc3410,17,-1,292
QSearchMinimax(d=2),black,b0cc3410,17,0,218
QSearchMinimax(d=2),black,b0cc3410,17,1,21
QSearchMinimax(d=2),black,b0cc3410,17,2,1
QSearchMinimax(d=2),black,b0cc3410,18,-1,331
QSearchMinimax(d=2),black,b0cc3410,18,0,227
QSearchMinimax(d=2),black,b0cc3410,18,1,22
QSearchMinimax(d=2),black,b0cc3410,18,2,1
QSearchMinimax(d=2),black,b0cc3410,19,-1,283
QSearchMinimax(d=2),black,b0cc3410,19,0,178
QSearchMinimax(d=2),black,b0cc3410,19,1,23
QSearchMinimax(d=2),black,b0cc3410,19,2,1
QSearchMinimax(d=2),black,b0cc3410,20,-1,378
QSearchMinimax(d=2),black,b0cc3410,20,0,216
QSearchMinimax(d=2),black,b0cc3410,20,1,29
QSearchMinimax(d=2),black,b0cc3410,20,2,1
QSearchMinimax(d=2),black,b0cc3410,21,-1,202
QSearchMinimax(d=2),black,b0cc3410,21,0,144
QSearchMinimax(d=2),black,b0cc3410,21,1,33
QSearchMinimax(d=2),black,b0cc3410,21,2,1
QSearchMinimax(d=2),black,b0cc3410,22,-1,392
QSearchMinimax(d=2),black,b0cc3410,22,0,251
QSearchMinimax(d=2),black,b0cc3410,22,1,25
QSearchMinimax(d=2),black,b0cc3410,22,2,1
QSearchMinimax(d=2),black,b0cc3410,23,-1,199
QSearchMinimax(d=2),black,b0cc3410,23,0,122
QSearchMinimax(d=2),black,b0cc3410,23,1,27
QSearchMinimax(d=2),black,b0cc3410,23,2,1
QSearchMinimax(d=2),black,b0cc3410,24,-1,203
QSearchMinimax(d=2),black,b0cc3410,24,0,144
QSearchMinimax(d=2),black,b0cc3410,24,1,27
QSearchMinimax(d=2),black,b0cc3410,24,2,1
QSearchMinimax(d=2),black,b0cc3410,25,-1,207
QSearchMinimax(d=2),black,b0cc3410,25,0,154
QSearchMinimax(d=2),black,b0cc3410,25,1,30
QSearchMinimax(d=2),black,b0cc3410,25,2,1
QSearchMinimax(d=2),black,b0cc3410,26,-1,43
QSearchMinimax(d=2),black,b0cc3410,26,0,36
QSearchMinimax(d=2),black,b0cc3410,26,1,3
QSearchMinimax(d=2),black,b0cc3410,26,2,1
QSearchMinimax(d=2),black,b0cc3410,27,-1,246
QSearchMinimax(d=2),black,b0cc3410,27,0,169
QSearchMinimax(d=2),black,b0cc3410,27,1,27
QSearchMinimax(d=2),black,b0cc3410,27,2,1
QSearchMinimax(d=2),black,b0cc3410,28,-1,245
QSearchMinimax(d=2),black,b0cc3410,28,0,165
