agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=2),black,c5ee173b,1,-1,9
QSearchMinimax(d=2),black,c5ee173b,1,0,108
QSearchMinimax(d=2),black,c5ee173b,1,1,20
QSearchMinimax(d=2),black,c5ee173b,1,2,1
QSearchMinimax(d=2),black,c5ee173b,2,-1,78
QSearchMinimax(d=2),black,c5ee173b,2,0,141
QSearchMinimax(d=2),black,c5ee173b,2,1,27
QSearchMinimax(d=2),black,c5ee173b,2,2,1
QSearchMinimax(d=2),black,c5ee173b,3,-1,366
QSearchMinimax(d=2),black,c5ee173b,3,0,338
QSearchMinimax(d=2),black,c5ee173b,3,1,31
QSearchMinimax(d=2),black,c5ee173b,3,2,1
QSearchMinimax(d=2),black,c5ee173b,4,-1,135
QSearchMinimax(d=2),black,c5ee173b,4,0,141
QSearchMinimax(d=2),black,c5ee173b,4,1,29
QSearchMinimax(d=2),black,c5ee173b,4,2,1
QSearchMinimax(d=2),black,c5ee173b,5,-1,243
QSearchMinimax(d=2),black,c5ee173b,5,0,186
QSearchMinimax(d=2),black,c5ee173b,5,1,25
QSearchMinimax(d=2),black,c5ee173b,5,2,1
QSearchMinimax(d=2),black,c5ee173b,6,-1,229
QSearchMinimax(d=2),black,c5ee173b,6,0,153
QSearchMinimax(d=2),black,c5ee173b,6,1,24
QSearchMinimax(d=2),black,c5ee173b,6,2,1
QSearchMinimax(d=2),black,c5ee173b,7,-1,341
QSearchMinimax(d=2),black,c5ee173b,7,0,240
QSearchMinimax(d=2),black,c5ee173b,7,1,25
QSearchMinimax(d=2),black,c5ee173b,7,2,1
QSearchMinimax(d=2),black,c5ee173b,8,-1,286
QSearchMinimax(d=2),black,c5ee173b,8,0,211
QSearchMinimax(d=2),black,c5ee173b,8,1,25
QSearchMinimax(d=2),black,c5ee173b,8,2,1
QSearchMinimax(d=2),black,c5ee173b,9,-1,296
QSearchMinimax(d=2),black,c5ee173b,9,0,219
QSearchMinimax(d=2),black,c5ee173b,9,1,25
QSearchMinimax(d=2),black,c5ee173b,9,2,1
QSearchMinimax(d=2),black,c5ee173b,10,-1,350
QSearchMinimax(d=2),black,c5ee173b,10,0,270
QSearchMinimax(d=2),black,c5ee173b,10,1,24
QSearchMinimax(d=2),black,c5ee173b,10,2,1
QSearchMinimax(d=2),black,c5ee173b,11,-1,287
QSearchMinimax(d=2),black,c5ee173b,11,0,220
QSearchMinimax(d=2),black,c5ee173b,11,1,25
QSearchMinimax(d=2),black,c5ee173b,11,2,1
QSearchMinimax(d=2),black,c5ee173b,12,-1,322
QSearchMinimax(d=2),black,c5ee173b,12,0,250
QSearchMinimax(d=2),black,c5ee173b,12,1,23
QSearchMinimax(d=2),black,c5ee173b,12,2,1
QSearchMinimax(d=2),black,c5ee173b,13,-1,140
QSearchMinimax(d=2),black,c5ee173b,13,0,96
QSearchMinimax(d=2),black,c5ee173b,13,1,23
QSearchMinimax(d=2),black,c5ee173b,13,2,1
