agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=2),white,e5ad8b5e,1,-1,9
QSearchMinimax(d=2),white,e5ad8b5e,1,0,104
QSearchMinimax(d=2),white,e5ad8b5e,1,1,20
QSearchMinimax(d=2),white,e5ad8b5e,1,2,1
QSearchMinimax(d=2),white,e5ad8b5e,2,-1,36
QSearchMinimax(d=2),white,e5ad8b5e,2,0,50
QSearchMinimax(d=2),white,e5ad8b5e,2,1,30
QSearchMinimax(d=2),white,e5ad8b5e,2,2,1
QSearchMinimax(d=2),white,e5ad8b5e,3,-1,400
QSearchMinimax(d=2),white,e5ad8b5e,3,0,192
QSearchMinimax(d=2),white,e5ad8b5e,3,1,37
QSearchMinimax(d=2),white,e5ad8b5e,3,2,1
QSearchMinimax(d=2),white,e5ad8b5e,4,-1,614
QSearchMinimax(d=2),white,e5ad8b5e,4,0,293
QSearchMinimax(d=2),white,e5ad8b5e,4,1,35
QSearchMinimax(d=2),white,e5ad8b5e,4,2,1
QSearchMinimax(d=2),white,e5ad8b5e,5,-1,377
QSearchMinimax(d=2),white,e5ad8b5e,5,0,139
QSearchMinimax(d=2),white,e5ad8b5e,5,1,33
QSearchMinimax(d=2),white,e5ad8b5e,5,2,1
QSearchMinimax(d=2),white,e5ad8b5e,6,-1,1106
QSearchMinimax(d=2),white,e5ad8b5e,6,0,544
QSearchMinimax(d=2),white,e5ad8b5e,6,1,39
QSearchMinimax(d=2),white,e5ad8b5e,6,2,1
QSearchMinimax(d=2),white,e5ad8b5e,7,-1,358
QSearchMinimax(d=2),white,e5ad8b5e,7,0,226
QSearchMinimax(d=2),white,e5ad8b5e,7,1,37
QSearchMinimax(d=2),white,e5ad8b5e,7,2,1
QSearchMinimax(d=2),white,e5ad8b5e,8,-1,212
QSearchMinimax(d=2),white,e5ad8b5e,8,0,137
QSearchMinimax(d=2),white,e5ad8b5e,8,1,29
QSearchMinimax(d=2),white,e5ad8b5e,8,2,1
QSearchMinimax(d=2),white,e5ad8b5e,9,-1,411
QSearchMinimax(d=2),white,e5ad8b5e,9,0,283
QSearchMinimax(d=2),white,e5ad8b5e,9,1,27
QSearchMinimax(d=2),white,e5ad8b5e,9,2,1
QSearchMinimax(d=2),white,e5ad8b5e,10,-1,454
QSearchMinimax(d=2),white,e5ad8b5e,10,0,309
QSearchMinimax(d=2),white,e5ad8b5e,10,1,27
QSearchMinimax(d=2),white,e5ad8b5e,10,2,1
QSearchMinimax(d=2),white,e5ad8b5e,11,-1,236
QSearchMinimax(d=2),white,e5ad8b5e,11,0,215
QSearchMinimax(d=2),white,e5ad8b5e,11,1,22
QSearchMinimax(d=2),white,e5ad8b5e,11,2,1
QSearchMinimax(d=2),white,e5ad8b5e,12,-1,224
QSearchMinimax(d=2),white,e5ad8b5e,12,0,207
QSearchMinimax(d=2),white,e5ad8b5e,12,1,23
QSearchMinimax(d=2),white,e5ad8b5e,12,2,1
QSearchMinimax(d=2),white,e5ad8b5e,13,-1,172
QSearchMinimax(d=2),white,e5ad8b5e,13,0,123
QSearchMinimax(d=2),white,e5ad8b5e,13,1,27
QSearchMinimax(d=2),white,e5ad8b5e,13,2,1
QSearchMinimax(d=2),white,e5ad8b5e,14,-1,408
QSearchMinimax(d=2),white,e5ad8b5e,14,0,109
QSearchMinimax(d=2),white,e5ad8b5e,14,1,33
QSearchMinimax(d=2),white,e5ad8b5e,14,2,1
QSearchMinimax(d=2),white,e5ad8b5e,15,-1,576
QSearchMinimax(d=2),white,e5ad8b5e,15,0,251
QSearchMinimax(d=2),white,e5ad8b5e,15,1,35
QSearchMinimax(d=2),white,e5ad8b5e,15,2,1
QSearchMinimax(d=2),white,e5ad8b5e,16,-1,601
QSearchMinimax(d=2),white,e5ad8b5e,16,0,221
QSearchMinimax(d=2),white,e5ad8b5e,16,1,34
QSearchMinimax(d=2),white,e5ad8b5e,16,2,1
QSearchMinimax(d=2),white,e5ad8b5e,17,-1,262
QSearchMinimax(d=2),white,e5ad8b5e,17,0,188
QSearchMinimax(d=2),white,e5ad8b5e,17,1,32
QSearchMinimax(d=2),white,e5ad8b5e,17,2,1
QSearchMinimax(d=2),white,e5ad8b5e,18,-1,343
QSearchMinimax(d=2),white,e5ad8b5e,18,0,213
QSearchMinimax(d=2),white,e5ad8b5e,18,1,31
QSearchMinimax(d=2),white,e5ad8b5e,18,2,1
QSearchMinimax(d=2),white,e5ad8b5e,19,-1,39
QSearchMinimax(d=2),white,e5ad8b5e,19,0,36
QSearchMinimax(d=2),white,e5ad8b5e,19,1,1
QSearchMinimax(d=2),white,e5ad8b5e,19,2,1
QSearchMinimax(d=2),white,e5ad8b5e,20,-1,66
QSearchMinimax(d=2),white,e5ad8b5e,20,0,42
QSearchMinimax(d=2),white,e5ad8b5e,20,1,2
QSearchMinimax(d=2),white,e5ad8b5e,20,2,1
QSearchMinimax(d=2),white,e5ad8b5e,21,-1,406
QSearchMinimax(d=2),white,e5ad8b5e,21,0,206
QSearchMinimax(d=2),white,e5ad8b5e,21,1,31
QSearchMinimax(d=2),white,e5ad8b5e,21,2,1
QSearchMinimax(d=2),white,e5ad8b5e,22,-1,121
QSearchMinimax(d=2),white,e5ad8b5e,22,0,80
QSearchMinimax(d=2),white,e5ad8b5e,22,1,4
QSearchMinimax(d=2),white,e5ad8b5e,22,2,1
QSearchMinimax(d=2),white,e5ad8b5e,23,-1,73
QSearchMinimax(d=2),white,e5ad8b5e,23,0,44
QSearchMinimax(d=2),white,e5ad8b5e,23,1,2
QSearchMinimax(d=2),white,e5ad8b5e,23,2,1
QSearchMinimax(d=2),white,e5ad8b5e,24,-1,137
QSearchMinimax(d=2),white,e5ad8b5e,24,0,113
QSearchMinimax(d=2),white,e5ad8b5e,24,1,4
QSearchMinimax(d=2),white,e5ad8b5e,24,2,1
QSearchMinimax(d=2),white,e5ad8b5e,25,-1,484
QSearchMinimax(d=2),white,e5ad8b5e,25,0,224
QSearchMinimax(d=2),white,e5ad8b5e,25,1,34
QSearchMinimax(d=2),white,e5ad8b5e,25,2,1
QSearchMinimax(d=2),white,e5ad8b5e,26,-1,508
QSearchMinimax(d=2),white,e5ad8b5e,26,0,379
QSearchMinimax(d=2),white,e5ad8b5e,26,1,25
QSearchMinimax(d=2),white,e5ad8b5e,26,2,1
QSearchMinimax(d=2),white,e5ad8b5e,27,-1,331
QSearchMinimax(d=2),white,e5ad8b5e,27,0,268
QSearchMinimax(d=2),white,e5ad8b5e,27,1,19
QSearchMinimax(d=2),white,e5ad8b5e,27,2,1
QSearchMinimax(d=2),white,e5ad8b5e,28,-1,299
QSearchMinimax(d=2),white,e5ad8b5e,28,0,254
QSearchMinimax(d=2),white,e5ad8b5e,28,1,19
