agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=2),black,f5f1d7c3,1,-1,14
QSearchMinimax(d=2),black,f5f1d7c3,1,0,123
QSearchMinimax(d=2),black,f5f1d7c3,1,1,20
QSearchMinimax(d=2),black,f5f1d7c3,1,2,1
QSearchMinimax(d=2),black,f5f1d7c3,2,-1,60
QSearchMinimax(d=2),black,f5f1d7c3,2,0,102
QSearchMinimax(d=2),black,f5f1d7c3,2,1,21
QSearchMinimax(d=2),black,f5f1d7c3,2,2,1
QSearchMinimax(d=2),black,f5f1d7c3,3,-1,244
QSearchMinimax(d=2),black,f5f1d7c3,3,0,207
QSearchMinimax(d=2),black,f5f1d7c3,3,1,30
QSearchMinimax(d=2),black,f5f1d7c3,3,2,1
QSearchMinimax(d=2),black,f5f1d7c3,4,-1,439
QSearchMinimax(d=2),black,f5f1d7c3,4,0,322
QSearchMinimax(d=2),black,f5f1d7c3,4,1,29
QSearchMinimax(d=2),black,f5f1d7c3,4,2,1
QSearchMinimax(d=2),black,f5f1d7c3,5,-1,468
QSearchMinimax(d=2),black,f5f1d7c3,5,0,344
QSearchMinimax(d=2),black,f5f1d7c3,5,1,30
QSearchMinimax(d=2),black,f5f1d7c3,5,2,1
QSearchMinimax(d=2),black,f5f1d7c3,6,-1,461
QSearchMinimax(d=2),black,f5f1d7c3,6,0,305
QSearchMinimax(d=2),black,f5f1d7c3,6,1,29
QSearchMinimax(d=2),black,f5f1d7c3,6,2,1
QSearchMinimax(d=2),black,f5f1d7c3,7,-1,537
QSearchMinimax(d=2),black,f5f1d7c3,7,0,227
QSearchMinimax(d=2),black,f5f1d7c3,7,1,33
QSearchMinimax(d=2),black,f5f1d7c3,7,2,1
QSearchMinimax(d=2),black,f5f1d7c3,8,-1,725
QSearchMinimax(d=2),black,f5f1d7c3,8,0,330
QSearchMinimax(d=2),black,f5f1d7c3,8,1,35
QSearchMinimax(d=2),black,f5f1d7c3,8,2,1
QSearchMinimax(d=2),black,f5f1d7c3,9,-1,577
QSearchMinimax(d=2),black,f5f1d7c3,9,0,279
QSearchMinimax(d=2),black,f5f1d7c3,9,1,35
QSearchMinimax(d=2),black,f5f1d7c3,9,2,1
QSearchMinimax(d=2),black,f5f1d7c3,10,-1,217
QSearchMinimax(d=2),black,f5f1d7c3,10,0,93
QSearchMinimax(d=2),black,f5f1d7c3,10,1,39
QSearchMinimax(d=2),black,f5f1d7c3,10,2,1
QSearchMinimax(d=2),black,f5f1d7c3,11,-1,179
QSearchMinimax(d=2),black,f5f1d7c3,11,0,178
