agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=2),black,5383ea37,1,0,105
EvalMinimax(d=2),black,5383ea37,1,1,20
EvalMinimax(d=2),black,5383ea37,1,2,1
EvalMinimax(d=2),black,5383ea37,2,0,243
EvalMinimax(d=2),black,5383ea37,2,1,30
EvalMinimax(d=2),black,5383ea37,2,2,1
EvalMinimax(d=2),black,5383ea37,3,0,261
EvalMinimax(d=2),black,5383ea37,3,1,34
EvalMinimax(d=2),black,5383ea37,3,2,1
EvalMinimax(d=2),black,5383ea37,4,0,285
EvalMinimax(d=2),black,5383ea37,4,1,32
EvalMinimax(d=2),black,5383ea37,4,2,1
EvalMinimax(d=2),black,5383ea37,5,0,268
EvalMinimax(d=2),black,5383ea37,5,1,33
EvalMinimax(d=2),black,5383ea37,5,2,1
EvalMinimax(d=2),black,5383ea37,6,0,198
EvalMinimax(d=2),black,5383ea37,6,1,34
EvalMinimax(d=2),black,5383ea37,6,2,1
EvalMinimax(d=2),black,5383ea37,7,0,159
EvalMinimax(d=2),black,5383ea37,7,1,35
EvalMinimax(d=2),black,5383ea37,7,2,1
EvalMinimax(d=2),black,5383ea37,8,0,62
EvalMinimax(d=2),black,5383ea37,8,1,38
EvalMinimax(d=2),black,5383ea37,8,2,1
EvalMinimax(d=2),black,5383ea37,9,0,68
EvalMinimax(d=2),black,5383ea37,9,1,39
EvalMinimax(d=2),black,5383ea37,9,2,1
EvalMinimax(d=2),black,5383ea37,10,0,67
EvalMinimax(d=2),black,5383ea37,10,1,40
EvalMinimax(d=2),black,5383ea37,10,2,1
EvalMinimax(d=2),black,5383ea37,11,0,110
EvalMinimax(d=2),black,5383ea37,11,1,43
EvalMinimax(d=2),black,5383ea37,11,2,1
EvalMinimax(d=2),black,5383ea37,12,0,192
EvalMinimax(d=2),black,5383ea37,12,1,48
EvalMinimax(d=2),black,5383ea37,12,2,1
EvalMinimax(d=2),black,5383ea37,13,0,123
EvalMinimax(d=2),black,5383ea37,13,1,43
EvalMinimax(d=2),black,5383ea37,13,2,1
EvalMinimax(d=2),black,5383ea37,14,0,114
EvalMinimax(d=2),black,5383ea37,14,1,43
EvalMinimax(d=2),black,5383ea37,14,2,1
EvalMinimax(d=2),black,5383ea37,15,0,41
EvalMinimax(d=2),black,5383ea37,15,1,5
EvalMinimax(d=2),black,5383ea37,15,2,1
EvalMinimax(d=2),black,5383ea37,16,0,115
EvalMinimax(d=2),black,5383ea37,16,1,38
EvalMinimax(d=2),black,5383ea37,16,2,1
EvalMinimax(d=2),black,5383ea37,17,0,148
EvalMinimax(d=2),black,5383ea37,17,1,37
EvalMinimax(d=2),black,5383ea37,17,2,1
EvalMinimax(d=2),black,5383ea37,18,0,111
EvalMinimax(d=2),black,5383ea37,18,1,38
EvalMinimax(d=2),black,5383ea37,18,2,1
EvalMinimax(d=2),black,5383ea37,19,0,110
EvalMinimax(d=2),black,5383ea37,19,1,38
EvalMinimax(d=2),black,5383ea37,19,2,1
EvalMinimax(d=2),black,5383ea37,20,0,74
EvalMinimax(d=2),black,5383ea37,20,1,39
EvalMinimax(d=2),black,5383ea37,20,2,1
EvalMinimax(d=2),black,5383ea37,21,0,36
EvalMinimax(d=2),black,5383ea37,21,1,3
EvalMinimax(d=2),black,5383ea37,21,2,1
EvalMinimax(d=2),black,5383ea37,22,0,40
EvalMinimax(d=2),black,5383ea37,22,1,5
EvalMinimax(d=2),black,5383ea37,22,2,1
EvalMinimax(d=2),black,5383ea37,23,0,36
EvalMinimax(d=2),black,5383ea37,23,1,3
EvalMinimax(d=2),black,5383ea37,23,2,1
EvalMinimax(d=2),black,5383ea37,24,0,38
EvalMinimax(d=2),black,5383ea37,24,1,2
EvalMinimax(d=2),black,5383ea37,24,2,1
EvalMinimax(d=2),black,5383ea37,25,0,176
EvalMinimax(d=2),black,5383ea37,25,1,30
EvalMinimax(d=2),black,5383ea37,25,2,1
EvalMinimax(d=2),black,5383ea37,26,0,37
EvalMinimax(d=2),black,5383ea37,26,1,3
EvalMinimax(d=2),black,5383ea37,26,2,1
EvalMinimax(d=2),black,5383ea37,27,0,126
EvalMinimax(d=2),black,5383ea37,27,1,31
EvalMinimax(d=2),black,5383ea37,27,2,1
EvalMinimax(d=2),black,5383ea37,28,0,65
EvalMinimax(d=2),black,5383ea37,28,1,29
EvalMinimax(d=2),black,5383ea37,28,2,1
EvalMinimax(d=2),black,5383ea37,29,0,186
EvalMinimax(d=2),black,5383ea37,29,1,23
EvalMinimax(d=2),black,5383ea37,29,2,1
EvalMinimax(d=2),black,5383ea37,30,0,129
EvalMinimax(d=2),black,5383ea37,30,1,23
EvalMinimax(d=2),black,5383ea37,30,2,1
EvalMinimax(d=2),black,5383ea37,31,0,106
EvalMinimax(d=2),black,5383ea37,31,1,34
EvalMinimax(d=2),black,5383ea37,31,2,1
EvalMinimax(d=2),black,5383ea37,32,0,129
EvalMinimax(d=2),black,5383ea37,32,1,23
EvalMinimax(d=2),black,5383ea37,32,2,1
EvalMinimax(d=2),black,5383ea37,33,0,97
EvalMinimax(d=2),black,5383ea37,33,1,29
EvalMinimax(d=2),black,5383ea37,33,2,1
EvalMinimax(d=2),black,5383ea37,34,0,140
EvalMinimax(d=2),black,5383ea37,34,1,29
EvalMinimax(d=2),black,5383ea37,34,2,1
EvalMinimax(d=2),black,5383ea37,35,0,123
