agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=2),black,6b4420cc,1,0,122
EvalMinimax(d=2),black,6b4420cc,1,1,20
EvalMinimax(d=2),black,6b4420cc,1,2,1
EvalMinimax(d=2),black,6b4420cc,2,0,169
EvalMinimax(d=2),black,6b4420cc,2,1,27
EvalMinimax(d=2),black,6b4420cc,2,2,1
EvalMinimax(d=2),black,6b4420cc,3,0,238
EvalMinimax(d=2),black,6b4420cc,3,1,33
EvalMinimax(d=2),black,6b4420cc,3,2,1
EvalMinimax(d=2),black,6b4420cc,4,0,64
EvalMinimax(d=2),black,6b4420cc,4,1,35
EvalMinimax(d=2),black,6b4420cc,4,2,1
EvalMinimax(d=2),black,6b4420cc,5,0,64
EvalMinimax(d=2),black,6b4420cc,5,1,35
EvalMinimax(d=2),black,6b4420cc,5,2,1
EvalMinimax(d=2),black,6b4420cc,6,0,63
EvalMinimax(d=2),black,6b4420cc,6,1,34
EvalMinimax(d=2),black,6b4420cc,6,2,1
EvalMinimax(d=2),black,6b4420cc,7,0,121
EvalMinimax(d=2),black,6b4420cc,7,1,32
EvalMinimax(d=2),black,6b4420cc,7,2,1
EvalMinimax(d=2),black,6b4420cc,8,0,266
EvalMinimax(d=2),black,6b4420cc,8,1,29
EvalMinimax(d=2),black,6b4420cc,8,2,1
EvalMinimax(d=2),black,6b4420cc,9,0,250
EvalMinimax(d=2),black,6b4420cc,9,1,30
EvalMinimax(d=2),black,6b4420cc,9,2,1
EvalMinimax(d=2),black,6b4420cc,10,0,148
EvalMinimax(d=2),black,6b4420cc,10,1,28
EvalMinimax(d=2),black,6b4420cc,10,2,1
EvalMinimax(d=2),black,6b4420cc,11,0,63
EvalMinimax(d=2),black,6b4420cc,11,1,31
EvalMinimax(d=2),black,6b4420cc,11,2,1
EvalMinimax(d=2),black,6b4420cc,12,0,34
EvalMinimax(d=2),black,6b4420cc,12,1,5
EvalMinimax(d=2),black,6b4420cc,12,2,1
EvalMinimax(d=2),black,6b4420cc,13,0,81
EvalMinimax(d=2),black,6b4420cc,13,1,34
EvalMinimax(d=2),black,6b4420cc,13,2,1
EvalMinimax(d=2),black,6b4420cc,14,0,70
EvalMinimax(d=2),black,6b4420cc,14,1,10
EvalMinimax(d=2),black,6b4420cc,14,2,1
EvalMinimax(d=2),black,6b4420cc,15,0,67
EvalMinimax(d=2),black,6b4420cc,15,1,3
EvalMinimax(d=2),black,6b4420cc,15,2,1
EvalMinimax(d=2),black,6b4420cc,16,0,37
EvalMinimax(d=2),black,6b4420cc,16,1,2
EvalMinimax(d=2),black,6b4420cc,16,2,1
EvalMinimax(d=2),black,6b4420cc,17,0,54
EvalMinimax(d=2),black,6b4420cc,17,1,26
EvalMinimax(d=2),black,6b4420cc,17,2,1
EvalMinimax(d=2),black,6b4420cc,18,0,36
EvalMinimax(d=2),black,6b4420cc,18,1,5
EvalMinimax(d=2),black,6b4420cc,18,2,1
EvalMinimax(d=2),black,6b4420cc,19,0,34
EvalMinimax(d=2),black,6b4420cc,19,1,4
EvalMinimax(d=2),black,6b4420cc,19,2,1
EvalMinimax(d=2),black,6b4420cc,20,0,34
EvalMinimax(d=2),black,6b4420cc,20,1,1
EvalMinimax(d=2),black,6b4420cc,20,2,1
EvalMinimax(d=2),black,6b4420cc,21,0,37
EvalMinimax(d=2),black,6b4420cc,21,1,22
EvalMinimax(d=2),black,6b4420cc,21,2,1
EvalMinimax(d=2),black,6b4420cc,22,0,104
EvalMinimax(d=2),black,6b4420cc,22,1,23
EvalMinimax(d=2),black,6b4420cc,22,2,1
EvalMinimax(d=2),black,6b4420cc,23,0,51
EvalMinimax(d=2),black,6b4420cc,23,1,5
EvalMinimax(d=2),black,6b4420cc,23,2,1
EvalMinimax(d=2),black,6b4420cc,24,0,72
EvalMinimax(d=2),black,6b4420cc,24,1,26
EvalMinimax(d=2),black,6b4420cc,24,2,1
EvalMinimax(d=2),black,6b4420cc,25,0,78
EvalMinimax(d=2),black,6b4420cc,25,1,24
EvalMinimax(d=2),black,6b4420cc,25,2,1
EvalMinimax(d=2),black,6b4420cc,26,0,27
EvalMinimax(d=2),black,6b4420cc,26,1,25
EvalMinimax(d=2),black,6b4420cc,26,2,1
EvalMinimax(d=2),black,6b4420cc,27,0,71
EvalMinimax(d=2),black,6b4420cc,27,1,32
EvalMinimax(d=2),black,6b4420cc,27,2,1
EvalMinimax(d=2),black,6b4420cc,28,0,88
EvalMinimax(d=2),black,6b4420cc,28,1,29
EvalMinimax(d=2),black,6b4420cc,28,2,1
EvalMinimax(d=2),black,6b4420cc,29,0,71
EvalMinimax(d=2),black,6b4420cc,29,1,32
EvalMinimax(d=2),black,6b4420cc,29,2,1
EvalMinimax(d=2),black,6b4420cc,30,0,71
EvalMinimax(d=2),black,6b4420cc,30,1,29
EvalMinimax(d=2),black,6b4420cc,30,2,1
EvalMinimax(d=2),black,6b4420cc,31,0,48
EvalMinimax(d=2),black,6b4420cc,31,1,26
EvalMinimax(d=2),black,6b4420cc,31,2,1
EvalMinimax(d=2),black,6b4420cc,32,0,82
EvalMinimax(d=2),black,6b4420cc,32,1,26
EvalMinimax(d=2),black,6b4420cc,32,2,1
EvalMinimax(d=2),black,6b4420cc,33,0,107
EvalMinimax(d=2),black,6b4420cc,33,1,27
EvalMinimax(d=2),black,6b4420cc,33,2,1
EvalMinimax(d=2),black,6b4420cc,34,0,25
EvalMinimax(d=2),black,6b4420cc,34,1,6
EvalMinimax(d=2),black,6b4420cc,34,2,1
EvalMinimax(d=2),black,6b4420cc,35,0,63
EvalMinimax(d=2),black,6b4420cc,35,1,38
EvalMinimax(d=2),black,6b4420cc,35,2,1
EvalMinimax(d=2),black,6b4420cc,36,0,82
EvalMinimax(d=2),black,6b4420cc,36,1,34
EvalMinimax(d=2),black,6b4420cc,36,2,1
EvalMinimax(d=2),black,6b4420cc,37,0,57
EvalMinimax(d=2),black,6b4420cc,37,1,32
EvalMinimax(d=2),black,6b4420cc,37,2,1
EvalMinimax(d=2),black,6b4420cc,38,0,53
EvalMinimax(d=2),black,6b4420cc,38,1,42
EvalMinimax(d=2),black,6b4420cc,38,2,1
EvalMinimax(d=2),black,6b4420cc,39,0,177
EvalMinimax(d=2),black,6b4420cc,39,1,38
EvalMinimax(d=2),black,6b4420cc,39,2,1
EvalMinimax(d=2),black,6b4420cc,40,0,43
EvalMinimax(d=2),black,6b4420cc,40,1,32
EvalMinimax(d=2),black,6b4420cc,40,2,1
EvalMinimax(d=2),black,6b4420cc,41,0,60
EvalMinimax(d=2),black,6b4420cc,41,1,34
EvalMinimax(d=2),black,6b4420cc,41,2,1
EvalMinimax(d=2),black,6b4420cc,42,0,77
EvalMinimax(d=2),black,6b4420cc,42,1,33
EvalMinimax(d=2),black,6b4420cc,42,2,1
EvalMinimax(d=2),black,6b4420cc,43,0,33
EvalMinimax(d=2),black,6b4420cc,43,1,21
EvalMinimax(d=2),black,6b4420cc,43,2,1
EvalMinimax(d=2),black,6b4420cc,44,0,27
EvalMinimax(d=2),black,6b4420cc,44,1,19
EvalMinimax(d=2),black,6b4420cc,44,2,1
EvalMinimax(d=2),black,6b4420cc,45,0,31
EvalMinimax(d=2),black,6b4420cc,45,1,29
EvalMinimax(d=2),black,6b4420cc,45,2,1
EvalMinimax(d=2),black,6b4420cc,46,0,35
EvalMinimax(d=2),black,6b4420cc,46,1,30
EvalMinimax(d=2),black,6b4420cc,46,2,1
EvalMinimax(d=2),black,6b4420cc,47,0,31
EvalMinimax(d=2),black,6b4420cc,47,1,29
EvalMinimax(d=2),black,6b4420cc,47,2,1
EvalMinimax(d=2),black,6b4420cc,48,0,24
EvalMinimax(d=2),black,6b4420cc,48,1,21
EvalMinimax(d=2),black,6b4420cc,48,2,1
EvalMinimax(d=2),black,6b4420cc,49,0,24
EvalMinimax(d=2),black,6b4420cc,49,1,25
EvalMinimax(d=2),black,6b4420cc,49,2,1
