agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=2),white,9fc428ad,1,0,103
EvalMinimax(d=2),white,9fc428ad,1,1,20
EvalMinimax(d=2),white,9fc428ad,1,2,1
EvalMinimax(d=2),white,9fc428ad,2,0,193
EvalMinimax(d=2),white,9fc428ad,2,1,30
EvalMinimax(d=2),white,9fc428ad,2,2,1
EvalMinimax(d=2),white,9fc428ad,3,0,242
EvalMinimax(d=2),white,9fc428ad,3,1,34
EvalMinimax(d=2),white,9fc428ad,3,2,1
EvalMinimax(d=2),white,9fc428ad,4,0,223
EvalMinimax(d=2),white,9fc428ad,4,1,34
EvalMinimax(d=2),white,9fc428ad,4,2,1
EvalMinimax(d=2),white,9fc428ad,5,0,96
EvalMinimax(d=2),white,9fc428ad,5,1,37
EvalMinimax(d=2),white,9fc428ad,5,2,1
EvalMinimax(d=2),white,9fc428ad,6,0,222
EvalMinimax(d=2),white,9fc428ad,6,1,34
EvalMinimax(d=2),white,9fc428ad,6,2,1
EvalMinimax(d=2),white,9fc428ad,7,0,199
EvalMinimax(d=2),white,9fc428ad,7,1,32
EvalMinimax(d=2),white,9fc428ad,7,2,1
EvalMinimax(d=2),white,9fc428ad,8,0,176
EvalMinimax(d=2),white,9fc428ad,8,1,33
EvalMinimax(d=2),white,9fc428ad,8,2,1
EvalMinimax(d=2),white,9fc428ad,9,0,271
EvalMinimax(d=2),white,9fc428ad,9,1,34
EvalMinimax(d=2),white,9fc428ad,9,2,1
EvalMinimax(d=2),white,9fc428ad,10,0,227
EvalMinimax(d=2),white,9fc428ad,10,1,34
EvalMinimax(d=2),white,9fc428ad,10,2,1
EvalMinimax(d=2),white,9fc428ad,11,0,359
EvalMinimax(d=2),white,9fc428ad,11,1,35
EvalMinimax(d=2),white,9fc428ad,11,2,1
EvalMinimax(d=2),white,9fc428ad,12,0,195
EvalMinimax(d=2),white,9fc428ad,12,1,34
EvalMinimax(d=2),white,9fc428ad,12,2,1
EvalMinimax(d=2),white,9fc428ad,13,0,183
EvalMinimax(d=2),white,9fc428ad,13,1,34
EvalMinimax(d=2),white,9fc428ad,13,2,1
EvalMinimax(d=2),white,9fc428ad,14,0,66
EvalMinimax(d=2),white,9fc428ad,14,1,30
EvalMinimax(d=2),white,9fc428ad,14,2,1
EvalMinimax(d=2),white,9fc428ad,15,0,63
EvalMinimax(d=2),white,9fc428ad,15,1,31
EvalMinimax(d=2),white,9fc428ad,15,2,1
EvalMinimax(d=2),white,9fc428ad,16,0,75
EvalMinimax(d=2),white,9fc428ad,16,1,31
EvalMinimax(d=2),white,9fc428ad,16,2,1
EvalMinimax(d=2),white,9fc428ad,17,0,72
EvalMinimax(d=2),white,9fc428ad,17,1,37
EvalMinimax(d=2),white,9fc428ad,17,2,1
EvalMinimax(d=2),white,9fc428ad,18,0,220
EvalMinimax(d=2),white,9fc428ad,18,1,42
EvalMinimax(d=2),white,9fc428ad,18,2,1
EvalMinimax(d=2),white,9fc428ad,19,0,204
EvalMinimax(d=2),white,9fc428ad,19,1,52
EvalMinimax(d=2),white,9fc428ad,19,2,1
EvalMinimax(d=2),white,9fc428ad,20,0,109
EvalMinimax(d=2),white,9fc428ad,20,1,50
EvalMinimax(d=2),white,9fc428ad,20,2,1
EvalMinimax(d=2),white,9fc428ad,21,0,91
EvalMinimax(d=2),white,9fc428ad,21,1,52
EvalMinimax(d=2),white,9fc428ad,21,2,1
EvalMinimax(d=2),white,9fc428ad,22,0,107
EvalMinimax(d=2),white,9fc428ad,22,1,54
EvalMinimax(d=2),white,9fc428ad,22,2,1
EvalMinimax(d=2),white,9fc428ad,23,0,88
EvalMinimax(d=2),white,9fc428ad,23,1,56
EvalMinimax(d=2),white,9fc428ad,23,2,1
