agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=2),white,c5386152,1,0,103
EvalMinimax(d=2),white,c5386152,1,1,20
EvalMinimax(d=2),white,c5386152,1,2,1
EvalMinimax(d=2),white,c5386152,2,0,175
EvalMinimax(d=2),white,c5386152,2,1,30
EvalMinimax(d=2),white,c5386152,2,2,1
EvalMinimax(d=2),white,c5386152,3,0,172
EvalMinimax(d=2),white,c5386152,3,1,34
EvalMinimax(d=2),white,c5386152,3,2,1
EvalMinimax(d=2),white,c5386152,4,0,233
EvalMinimax(d=2),white,c5386152,4,1,34
EvalMinimax(d=2),white,c5386152,4,2,1
EvalMinimax(d=2),white,c5386152,5,0,317
EvalMinimax(d=2),white,c5386152,5,1,35
EvalMinimax(d=2),white,c5386152,5,2,1
EvalMinimax(d=2),white,c5386152,6,0,284
EvalMinimax(d=2),white,c5386152,6,1,36
EvalMinimax(d=2),white,c5386152,6,2,1
EvalMinimax(d=2),white,c5386152,7,0,75
EvalMinimax(d=2),white,c5386152,7,1,33
EvalMinimax(d=2),white,c5386152,7,2,1
EvalMinimax(d=2),white,c5386152,8,0,285
EvalMinimax(d=2),white,c5386152,8,1,34
EvalMinimax(d=2),white,c5386152,8,2,1
EvalMinimax(d=2),white,c5386152,9,0,304
EvalMinimax(d=2),white,c5386152,9,1,38
EvalMinimax(d=2),white,c5386152,9,2,1
EvalMinimax(d=2),white,c5386152,10,0,210
EvalMinimax(d=2),white,c5386152,10,1,39
EvalMinimax(d=2),white,c5386152,10,2,1
EvalMinimax(d=2),white,c5386152,11,0,293
EvalMinimax(d=2),white,c5386152,11,1,40
EvalMinimax(d=2),white,c5386152,11,2,1
EvalMinimax(d=2),white,c5386152,12,0,127
EvalMinimax(d=2),white,c5386152,12,1,42
EvalMinimax(d=2),white,c5386152,12,2,1
EvalMinimax(d=2),white,c5386152,13,0,28
EvalMinimax(d=2),white,c5386152,13,1,5
EvalMinimax(d=2),white,c5386152,13,2,1
EvalMinimax(d=2),white,c5386152,14,0,92
EvalMinimax(d=2),white,c5386152,14,1,41
EvalMinimax(d=2),white,c5386152,14,2,1
EvalMinimax(d=2),white,c5386152,15,0,65
EvalMinimax(d=2),white,c5386152,15,1,43
EvalMinimax(d=2),white,c5386152,15,2,1
EvalMinimax(d=2),white,c5386152,16,0,69
EvalMinimax(d=2),white,c5386152,16,1,45
EvalMinimax(d=2),white,c5386152,16,2,1
EvalMinimax(d=2),white,c5386152,17,0,92
EvalMinimax(d=2),white,c5386152,17,1,46
EvalMinimax(d=2),white,c5386152,17,2,1
EvalMinimax(d=2),white,c5386152,18,0,66
EvalMinimax(d=2),white,c5386152,18,1,46
EvalMinimax(d=2),white,c5386152,18,2,1
EvalMinimax(d=2),white,c5386152,19,0,107
EvalMinimax(d=2),white,c5386152,19,1,47
EvalMinimax(d=2),white,c5386152,19,2,1
EvalMinimax(d=2),white,c5386152,20,0,70
EvalMinimax(d=2),white,c5386152,20,1,42
EvalMinimax(d=2),white,c5386152,20,2,1
EvalMinimax(d=2),white,c5386152,21,0,102
EvalMinimax(d=2),white,c5386152,21,1,36
EvalMinimax(d=2),white,c5386152,21,2,1
EvalMinimax(d=2),white,c5386152,22,0,95
EvalMinimax(d=2),white,c5386152,22,1,30
EvalMinimax(d=2),white,c5386152,22,2,1
EvalMinimax(d=2),white,c5386152,23,0,39
EvalMinimax(d=2),white,c5386152,23,1,34
EvalMinimax(d=2),white,c5386152,23,2,1
EvalMinimax(d=2),white,c5386152,24,0,88
EvalMinimax(d=2),white,c5386152,24,1,40
EvalMinimax(d=2),white,c5386152,24,2,1
EvalMinimax(d=2),white,c5386152,25,0,55
EvalMinimax(d=2),white,c5386152,25,1,38
EvalMinimax(d=2),white,c5386152,25,2,1
EvalMinimax(d=2),white,c5386152,26,0,52
EvalMinimax(d=2),white,c5386152,26,1,37
EvalMinimax(d=2),white,c5386152,26,2,1
EvalMinimax(d=2),white,c5386152,27,0,44
EvalMinimax(d=2),white,c5386152,27,1,34
EvalMinimax(d=2),white,c5386152,27,2,1
EvalMinimax(d=2),white,c5386152,28,0,41
EvalMinimax(d=2),white,c5386152,28,1,38
EvalMinimax(d=2),white,c5386152,28,2,1
EvalMinimax(d=2),white,c5386152,29,0,61
EvalMinimax(d=2),white,c5386152,29,1,44
EvalMinimax(d=2),white,c5386152,29,2,1
EvalMinimax(d=2),white,c5386152,30,0,54
EvalMinimax(d=2),white,c5386152,30,1,38
EvalMinimax(d=2),white,c5386152,30,2,1
EvalMinimax(d=2),white,c5386152,31,0,52
EvalMinimax(d=2),white,c5386152,31,1,37
EvalMinimax(d=2),white,c5386152,31,2,1
EvalMinimax(d=2),white,c5386152,32,0,45
EvalMinimax(d=2),white,c5386152,32,1,44
EvalMinimax(d=2),white,c5386152,32,2,1
EvalMinimax(d=2),white,c5386152,33,0,45
EvalMinimax(d=2),white,c5386152,33,1,45
EvalMinimax(d=2),white,c5386152,33,2,1
