agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=2),white,c88be685,1,0,103
EvalMinimax(d=2),white,c88be685,1,1,20
EvalMinimax(d=2),white,c88be685,1,2,1
EvalMinimax(d=2),white,c88be685,2,0,193
EvalMinimax(d=2),white,c88be685,2,1,30
EvalMinimax(d=2),white,c88be685,2,2,1
EvalMinimax(d=2),white,c88be685,3,0,233
EvalMinimax(d=2),white,c88be685,3,1,34
EvalMinimax(d=2),white,c88be685,3,2,1
EvalMinimax(d=2),white,c88be685,4,0,232
EvalMinimax(d=2),white,c88be685,4,1,39
EvalMinimax(d=2),white,c88be685,4,2,1
EvalMinimax(d=2),white,c88be685,5,0,226
EvalMinimax(d=2),white,c88be685,5,1,40
EvalMinimax(d=2),white,c88be685,5,2,1
EvalMinimax(d=2),white,c88be685,6,0,66
EvalMinimax(d=2),white,c88be685,6,1,42
EvalMinimax(d=2),white,c88be685,6,2,1
EvalMinimax(d=2),white,c88be685,7,0,163
EvalMinimax(d=2),white,c88be685,7,1,41
EvalMinimax(d=2),white,c88be685,7,2,1
EvalMinimax(d=2),white,c88be685,8,0,66
EvalMinimax(d=2),white,c88be685,8,1,43
EvalMinimax(d=2),white,c88be685,8,2,1
EvalMinimax(d=2),white,c88be685,9,0,70
EvalMinimax(d=2),white,c88be685,9,1,40
EvalMinimax(d=2),white,c88be685,9,2,1
EvalMinimax(d=2),white,c88be685,10,0,88
EvalMinimax(d=2),white,c88be685,10,1,40
EvalMinimax(d=2),white,c88be685,10,2,1
EvalMinimax(d=2),white,c88be685,11,0,44
EvalMinimax(d=2),white,c88be685,11,1,43
EvalMinimax(d=2),white,c88be685,11,2,1
EvalMinimax(d=2),white,c88be685,12,0,83
EvalMinimax(d=2),white,c88be685,12,1,45
EvalMinimax(d=2),white,c88be685,12,2,1
EvalMinimax(d=2),white,c88be685,13,0,117
EvalMinimax(d=2),white,c88be685,13,1,49
EvalMinimax(d=2),white,c88be685,13,2,1
EvalMinimax(d=2),white,c88be685,14,0,119
EvalMinimax(d=2),white,c88be685,14,1,6
EvalMinimax(d=2),white,c88be685,14,2,1
EvalMinimax(d=2),white,c88be685,15,0,42
EvalMinimax(d=2),white,c88be685,15,1,3
EvalMinimax(d=2),white,c88be685,15,2,1
EvalMinimax(d=2),white,c88be685,16,0,36
EvalMinimax(d=2),white,c88be685,16,1,2
EvalMinimax(d=2),white,c88be685,16,2,1
EvalMinimax(d=2),white,c88be685,17,0,37
EvalMinimax(d=2),white,c88be685,17,1,2
EvalMinimax(d=2),white,c88be685,17,2,1
EvalMinimax(d=2),white,c88be685,18,0,72
EvalMinimax(d=2),white,c88be685,18,1,3
EvalMinimax(d=2),white,c88be685,18,2,1
EvalMinimax(d=2),white,c88be685,19,0,105
EvalMinimax(d=2),white,c88be685,19,1,31
EvalMinimax(d=2),white,c88be685,19,2,1
EvalMinimax(d=2),white,c88be685,20,0,55
EvalMinimax(d=2),white,c88be685,20,1,29
EvalMinimax(d=2),white,c88be685,20,2,1
EvalMinimax(d=2),white,c88be685,21,0,65
EvalMinimax(d=2),white,c88be685,21,1,35
EvalMinimax(d=2),white,c88be685,21,2,1
EvalMinimax(d=2),white,c88be685,22,0,62
EvalMinimax(d=2),white,c88be685,22,1,35
EvalMinimax(d=2),white,c88be685,22,2,1
EvalMinimax(d=2),white,c88be685,23,0,39
EvalMinimax(d=2),white,c88be685,23,1,6
EvalMinimax(d=2),white,c88be685,23,2,1
EvalMinimax(d=2),white,c88be685,24,0,79
EvalMinimax(d=2),white,c88be685,24,1,41
EvalMinimax(d=2),white,c88be685,24,2,1
EvalMinimax(d=2),white,c88be685,25,0,34
EvalMinimax(d=2),white,c88be685,25,1,4
EvalMinimax(d=2),white,c88be685,25,2,1
EvalMinimax(d=2),white,c88be685,26,0,39
EvalMinimax(d=2),white,c88be685,26,1,27
EvalMinimax(d=2),white,c88be685,26,2,1
EvalMinimax(d=2),white,c88be685,27,0,37
EvalMinimax(d=2),white,c88be685,27,1,23
EvalMinimax(d=2),white,c88be685,27,2,1
EvalMinimax(d=2),white,c88be685,28,0,29
EvalMinimax(d=2),white,c88be685,28,1,2
EvalMinimax(d=2),white,c88be685,28,2,1
EvalMinimax(d=2),white,c88be685,29,0,45
EvalMinimax(d=2),white,c88be685,29,1,19
EvalMinimax(d=2),white,c88be685,29,2,1
EvalMinimax(d=2),white,c88be685,30,0,98
EvalMinimax(d=2),white,c88be685,30,1,14
EvalMinimax(d=2),white,c88be685,30,2,1
EvalMinimax(d=2),white,c88be685,31,0,126
EvalMinimax(d=2),white,c88be685,31,1,26
EvalMinimax(d=2),white,c88be685,31,2,1
EvalMinimax(d=2),white,c88be685,32,0,69
EvalMinimax(d=2),white,c88be685,32,1,3
EvalMinimax(d=2),white,c88be685,32,2,1
EvalMinimax(d=2),white,c88be685,33,0,91
EvalMinimax(d=2),white,c88be685,33,1,20
EvalMinimax(d=2),white,c88be685,33,2,1
EvalMinimax(d=2),white,c88be685,34,0,24
EvalMinimax(d=2),white,c88be685,34,1,20
EvalMinimax(d=2),white,c88be685,34,2,1
EvalMinimax(d=2),white,c88be685,35,0,127
EvalMinimax(d=2),white,c88be685,35,1,19
