agent_name,agent_color,game_id,move_number,depth,search_calls
EvalMinimax(d=2),black,ef292bef,1,0,122
EvalMinimax(d=2),black,ef292bef,1,1,20
EvalMinimax(d=2),black,ef292bef,1,2,1
EvalMinimax(d=2),black,ef292bef,2,0,151
EvalMinimax(d=2),black,ef292bef,2,1,30
EvalMinimax(d=2),black,ef292bef,2,2,1
EvalMinimax(d=2),black,ef292bef,3,0,114
EvalMinimax(d=2),black,ef292bef,3,1,33
EvalMinimax(d=2),black,ef292bef,3,2,1
EvalMinimax(d=2),black,ef292bef,4,0,224
EvalMinimax(d=2),black,ef292bef,4,1,29
EvalMinimax(d=2),black,ef292bef,4,2,1
EvalMinimax(d=2),black,ef292bef,5,0,131
EvalMinimax(d=2),black,ef292bef,5,1,30
EvalMinimax(d=2),black,ef292bef,5,2,1
EvalMinimax(d=2),black,ef292bef,6,0,64
EvalMinimax(d=2),black,ef292bef,6,1,34
EvalMinimax(d=2),black,ef292bef,6,2,1
EvalMinimax(d=2),black,ef292bef,7,0,66
EvalMinimax(d=2),black,ef292bef,7,1,34
EvalMinimax(d=2),black,ef292bef,7,2,1
EvalMinimax(d=2),black,ef292bef,8,0,47
EvalMinimax(d=2),black,ef292bef,8,1,7
EvalMinimax(d=2),black,ef292bef,8,2,1
EvalMinimax(d=2),black,ef292bef,9,0,60
EvalMinimax(d=2),black,ef292bef,9,1,35
EvalMinimax(d=2),black,ef292bef,9,2,1
EvalMinimax(d=2),black,ef292bef,10,0,161
EvalMinimax(d=2),black,ef292bef,10,1,33
EvalMinimax(d=2),black,ef292bef,10,2,1
EvalMinimax(d=2),black,ef292bef,11,0,55
EvalMinimax(d=2),black,ef292bef,11,1,28
EvalMinimax(d=2),black,ef292bef,11,2,1
EvalMinimax(d=2),black,ef292bef,12,0,93
EvalMinimax(d=2),black,ef292bef,12,1,37
EvalMinimax(d=2),black,ef292bef,12,2,1
EvalMinimax(d=2),black,ef292bef,13,0,101
EvalMinimax(d=2),black,ef292bef,13,1,34
EvalMinimax(d=2),black,ef292bef,13,2,1
EvalMinimax(d=2),black,ef292bef,14,0,118
EvalMinimax(d=2),black,ef292bef,14,1,35
EvalMinimax(d=2),black,ef292bef,14,2,1
EvalMinimax(d=2),black,ef292bef,15,0,79
EvalMinimax(d=2),black,ef292bef,15,1,35
EvalMinimax(d=2),black,ef292bef,15,2,1
EvalMinimax(d=2),black,ef292bef,16,0,48
EvalMinimax(d=2),black,ef292bef,16,1,43
EvalMinimax(d=2),black,ef292bef,16,2,1
EvalMinimax(d=2),black,ef292bef,17,0,349
EvalMinimax(d=2),black,ef292bef,17,1,28
EvalMinimax(d=2),black,ef292bef,17,2,1
EvalMinimax(d=2),black,ef292bef,18,0,194
EvalMinimax(d=2),black,ef292bef,18,1,27
EvalMinimax(d=2),black,ef292bef,18,2,1
EvalMinimax(d=2),black,ef292bef,19,0,113
EvalMinimax(d=2),black,ef292bef,19,1,35
EvalMinimax(d=2),black,ef292bef,19,2,1
EvalMinimax(d=2),black,ef292bef,20,0,92
EvalMinimax(d=2),black,ef292bef,20,1,34
EvalMinimax(d=2),black,ef292bef,20,2,1
EvalMinimax(d=2),black,ef292bef,21,0,78
EvalMinimax(d=2),black,ef292bef,21,1,33
EvalMinimax(d=2),black,ef292bef,21,2,1
EvalMinimax(d=2),black,ef292bef,22,0,82
EvalMinimax(d=2),black,ef292bef,22,1,35
EvalMinimax(d=2),black,ef292bef,22,2,1
EvalMinimax(d=2),black,ef292bef,23,0,80
EvalMinimax(d=2),black,ef292bef,23,1,36
EvalMinimax(d=2),black,ef292bef,23,2,1
EvalMinimax(d=2),black,ef292bef,24,0,83
EvalMinimax(d=2),black,ef292bef,24,1,37
EvalMinimax(d=2),black,ef292bef,24,2,1
EvalMinimax(d=2),black,ef292bef,25,0,92
EvalMinimax(d=2),black,ef292bef,25,1,35
EvalMinimax(d=2),black,ef292bef,25,2,1
EvalMinimax(d=2),black,ef292bef,26,0,96
EvalMinimax(d=2),black,ef292bef,26,1,34
EvalMinimax(d=2),black,ef292bef,26,2,1
EvalMinimax(d=2),black,ef292bef,27,0,132
EvalMinimax(d=2),black,ef292bef,27,1,35
EvalMinimax(d=2),black,ef292bef,27,2,1
EvalMinimax(d=2),black,ef292bef,28,0,139
EvalMinimax(d=2),black,ef292bef,28,1,36
EvalMinimax(d=2),black,ef292bef,28,2,1
EvalMinimax(d=2),black,ef292bef,29,0,84
EvalMinimax(d=2),black,ef292bef,29,1,37
EvalMinimax(d=2),black,ef292bef,29,2,1
EvalMinimax(d=2),black,ef292bef,30,0,86
EvalMinimax(d=2),black,ef292bef,30,1,41
EvalMinimax(d=2),black,ef292bef,30,2,1
EvalMinimax(d=2),black,ef292bef,31,0,67
EvalMinimax(d=2),black,ef292bef,31,1,39
EvalMinimax(d=2),black,ef292bef,31,2,1
EvalMinimax(d=2),black,ef292bef,32,0,78
EvalMinimax(d=2),black,ef292bef,32,1,39
EvalMinimax(d=2),black,ef292bef,32,2,1
EvalMinimax(d=2),black,ef292bef,33,0,47
EvalMinimax(d=2),black,ef292bef,33,1,40
EvalMinimax(d=2),black,ef292bef,33,2,1
EvalMinimax(d=2),black,ef292bef,34,0,67
EvalMinimax(d=2),black,ef292bef,34,1,41
EvalMinimax(d=2),black,ef292bef,34,2,1
EvalMinimax(d=2),black,ef292bef,35,0,86
EvalMinimax(d=2),black,ef292bef,35,1,34
EvalMinimax(d=2),black,ef292bef,35,2,1
EvalMinimax(d=2),black,ef292bef,36,0,67
EvalMinimax(d=2),black,ef292bef,36,1,32
EvalMinimax(d=2),black,ef292bef,36,2,1
EvalMinimax(d=2),black,ef292bef,37,0,73
EvalMinimax(d=2),black,ef292bef,37,1,38
EvalMinimax(d=2),black,ef292bef,37,2,1
EvalMinimax(d=2),black,ef292bef,38,0,105
EvalMinimax(d=2),black,ef292bef,38,1,3
EvalMinimax(d=2),black,ef292bef,38,2,1
EvalMinimax(d=2),black,ef292bef,39,0,87
EvalMinimax(d=2),black,ef292bef,39,1,4
EvalMinimax(d=2),black,ef292bef,39,2,1
EvalMinimax(d=2),black,ef292bef,40,0,42
EvalMinimax(d=2),black,ef292bef,40,1,4
EvalMinimax(d=2),black,ef292bef,40,2,1
EvalMinimax(d=2),black,ef292bef,41,0,79
EvalMinimax(d=2),black,ef292bef,41,1,36
EvalMinimax(d=2),black,ef292bef,41,2,1
EvalMinimax(d=2),black,ef292bef,42,0,110
EvalMinimax(d=2),black,ef292bef,42,1,39
EvalMinimax(d=2),black,ef292bef,42,2,1
EvalMinimax(d=2),black,ef292bef,43,0,79
EvalMinimax(d=2),black,ef292bef,43,1,7
EvalMinimax(d=2),black,ef292bef,43,2,1
EvalMinimax(d=2),black,ef292bef,44,0,72
EvalMinimax(d=2),black,ef292bef,44,1,39
EvalMinimax(d=2),black,ef292bef,44,2,1
EvalMinimax(d=2),black,ef292bef,45,0,78
EvalMinimax(d=2),black,ef292bef,45,1,39
EvalMinimax(d=2),black,ef292bef,45,2,1
EvalMinimax(d=2),black,ef292bef,46,0,185
EvalMinimax(d=2),black,ef292bef,46,1,38
EvalMinimax(d=2),black,ef292bef,46,2,1
EvalMinimax(d=2),black,ef292bef,47,0,73
EvalMinimax(d=2),black,ef292bef,47,1,41
EvalMinimax(d=2),black,ef292bef,47,2,1
EvalMinimax(d=2),black,ef292bef,48,0,161
EvalMinimax(d=2),black,ef292bef,48,1,41
EvalMinimax(d=2),black,ef292bef,48,2,1
EvalMinimax(d=2),black,ef292bef,49,0,33
EvalMinimax(d=2),black,ef292bef,49,1,5
EvalMinimax(d=2),black,ef292bef,49,2,1
EvalMinimax(d=2),black,ef292bef,50,0,23
EvalMinimax(d=2),black,ef292bef,50,1,4
EvalMinimax(d=2),black,ef292bef,50,2,1
EvalMinimax(d=2),black,ef292bef,51,0,46
EvalMinimax(d=2),black,ef292bef,51,1,6
EvalMinimax(d=2),black,ef292bef,51,2,1
EvalMinimax(d=2),black,ef292bef,52,0,45
EvalMinimax(d=2),black,ef292bef,52,1,33
EvalMinimax(d=2),black,ef292bef,52,2,1
EvalMinimax(d=2),black,ef292bef,53,0,57
EvalMinimax(d=2),black,ef292bef,53,1,6
EvalMinimax(d=2),black,ef292bef,53,2,1
EvalMinimax(d=2),black,ef292bef,54,0,81
EvalMinimax(d=2),black,ef292bef,54,1,31
EvalMinimax(d=2),black,ef292bef,54,2,1
EvalMinimax(d=2),black,ef292bef,55,0,61
EvalMinimax(d=2),black,ef292bef,55,1,34
EvalMinimax(d=2),black,ef292bef,55,2,1
EvalMinimax(d=2),black,ef292bef,56,0,51
EvalMinimax(d=2),black,ef292bef,56,1,31
EvalMinimax(d=2),black,ef292bef,56,2,1
EvalMinimax(d=2),black,ef292bef,57,0,57
EvalMinimax(d=2),black,ef292bef,57,1,35
EvalMinimax(d=2),black,ef292bef,57,2,1
EvalMinimax(d=2),black,ef292bef,58,0,63
EvalMinimax(d=2),black,ef292bef,58,1,38
EvalMinimax(d=2),black,ef292bef,58,2,1
EvalMinimax(d=2),black,ef292bef,59,0,36
EvalMinimax(d=2),black,ef292bef,59,1,34
EvalMinimax(d=2),black,ef292bef,59,2,1
EvalMinimax(d=2),black,ef292bef,60,0,52
EvalMinimax(d=2),black,ef292bef,60,1,40
EvalMinimax(d=2),black,ef292bef,60,2,1
EvalMinimax(d=2),black,ef292bef,61,0,63
EvalMinimax(d=2),black,ef292bef,61,1,42
EvalMinimax(d=2),black,ef292bef,61,2,1
EvalMinimax(d=2),black,ef292bef,62,0,53
EvalMinimax(d=2),black,ef292bef,62,1,39
EvalMinimax(d=2),black,ef292bef,62,2,1
EvalMinimax(d=2),black,ef292bef,63,0,49
EvalMinimax(d=2),black,ef292bef,63,1,40
EvalMinimax(d=2),black,ef292bef,63,2,1
EvalMinimax(d=2),black,ef292bef,64,0,83
EvalMinimax(d=2),black,ef292bef,64,1,40
EvalMinimax(d=2),black,ef292bef,64,2,1
EvalMinimax(d=2),black,ef292bef,65,0,115
EvalMinimax(d=2),black,ef292bef,65,1,41
EvalMinimax(d=2),black,ef292bef,65,2,1
EvalMinimax(d=2),black,ef292bef,66,0,92
EvalMinimax(d=2),black,ef292bef,66,1,37
EvalMinimax(d=2),black,ef292bef,66,2,1
EvalMinimax(d=2),black,ef292bef,67,0,23
EvalMinimax(d=2),black,ef292bef,67,1,5
EvalMinimax(d=2),black,ef292bef,67,2,1
EvalMinimax(d=2),black,ef292bef,68,0,45
EvalMinimax(d=2),black,ef292bef,68,1,42
EvalMinimax(d=2),black,ef292bef,68,2,1
EvalMinimax(d=2),black,ef292bef,69,0,46
EvalMinimax(d=2),black,ef292bef,69,1,39
EvalMinimax(d=2),black,ef292bef,69,2,1
