agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=2),black,1797ffa5,1,-3,41
QSearchMinimax(d=2),black,1797ffa5,1,-2,25
QSearchMinimax(d=2),black,1797ffa5,1,-1,44
QSearchMinimax(d=2),black,1797ffa5,1,0,279
QSearchMinimax(d=2),black,1797ffa5,1,1,20
QSearchMinimax(d=2),black,1797ffa5,1,2,1
QSearchMinimax(d=2),black,1797ffa5,2,-3,22
QSearchMinimax(d=2),black,1797ffa5,2,-2,53
QSearchMinimax(d=2),black,1797ffa5,2,-1,55
QSearchMinimax(d=2),black,1797ffa5,2,0,276
QSearchMinimax(d=2),black,1797ffa5,2,1,21
QSearchMinimax(d=2),black,1797ffa5,2,2,1
QSearchMinimax(d=2),black,1797ffa5,3,-3,29
QSearchMinimax(d=2),black,1797ffa5,3,-2,71
QSearchMinimax(d=2),black,1797ffa5,3,-1,63
QSearchMinimax(d=2),black,1797ffa5,3,0,280
QSearchMinimax(d=2),black,1797ffa5,3,1,22
QSearchMinimax(d=2),black,1797ffa5,3,2,1
QSearchMinimax(d=2),black,1797ffa5,4,-3,168
QSearchMinimax(d=2),black,1797ffa5,4,-2,178
QSearchMinimax(d=2),black,1797ffa5,4,-1,99
QSearchMinimax(d=2),black,1797ffa5,4,0,230
QSearchMinimax(d=2),black,1797ffa5,4,1,23
QSearchMinimax(d=2),black,1797ffa5,4,2,1
QSearchMinimax(d=2),black,1797ffa5,5,-3,142
QSearchMinimax(d=2),black,1797ffa5,5,-2,159
QSearchMinimax(d=2),black,1797ffa5,5,-1,77
QSearchMinimax(d=2),black,1797ffa5,5,0,209
QSearchMinimax(d=2),black,1797ffa5,5,1,24
QSearchMinimax(d=2),black,1797ffa5,5,2,1
QSearchMinimax(d=2),black,1797ffa5,6,-3,527
QSearchMinimax(d=2),black,1797ffa5,6,-2,398
QSearchMinimax(d=2),black,1797ffa5,6,-1,183
QSearchMinimax(d=2),black,1797ffa5,6,0,303
QSearchMinimax(d=2),black,1797ffa5,6,1,23
QSearchMinimax(d=2),black,1797ffa5,6,2,1
QSearchMinimax(d=2),black,1797ffa5,7,-3,144
QSearchMinimax(d=2),black,1797ffa5,7,-2,77
QSearchMinimax(d=2),black,1797ffa5,7,-1,103
QSearchMinimax(d=2),black,1797ffa5,7,0,79
QSearchMinimax(d=2),black,1797ffa5,7,1,24
QSearchMinimax(d=2),black,1797ffa5,7,2,1
QSearchMinimax(d=2),black,1797ffa5,8,-3,191
QSearchMinimax(d=2),black,1797ffa5,8,-2,208
QSearchMinimax(d=2),black,1797ffa5,8,-1,175
QSearchMinimax(d=2),black,1797ffa5,8,0,272
QSearchMinimax(d=2),black,1797ffa5,8,1,27
QSearchMinimax(d=2),black,1797ffa5,8,2,1
QSearchMinimax(d=2),black,1797ffa5,9,-3,128
QSearchMinimax(d=2),black,1797ffa5,9,-2,137
QSearchMinimax(d=2),black,1797ffa5,9,-1,151
QSearchMinimax(d=2),black,1797ffa5,9,0,274
QSearchMinimax(d=2),black,1797ffa5,9,1,28
QSearchMinimax(d=2),black,1797ffa5,9,2,1
QSearchMinimax(d=2),black,1797ffa5,10,-3,341
QSearchMinimax(d=2),black,1797ffa5,10,-2,204
QSearchMinimax(d=2),black,1797ffa5,10,-1,241
QSearchMinimax(d=2),black,1797ffa5,10,0,109
QSearchMinimax(d=2),black,1797ffa5,10,1,26
QSearchMinimax(d=2),black,1797ffa5,10,2,1
QSearchMinimax(d=2),black,1797ffa5,11,-3,133
QSearchMinimax(d=2),black,1797ffa5,11,-2,154
QSearchMinimax(d=2),black,1797ffa5,11,-1,209
QSearchMinimax(d=2),black,1797ffa5,11,0,508
QSearchMinimax(d=2),black,1797ffa5,11,1,32
QSearchMinimax(d=2),black,1797ffa5,11,2,1
QSearchMinimax(d=2),black,1797ffa5,12,-3,43
QSearchMinimax(d=2),black,1797ffa5,12,-2,80
QSearchMinimax(d=2),black,1797ffa5,12,-1,153
QSearchMinimax(d=2),black,1797ffa5,12,0,457
QSearchMinimax(d=2),black,1797ffa5,12,1,32
QSearchMinimax(d=2),black,1797ffa5,12,2,1
QSearchMinimax(d=2),black,1797ffa5,13,-3,55
QSearchMinimax(d=2),black,1797ffa5,13,-2,92
QSearchMinimax(d=2),black,1797ffa5,13,-1,178
QSearchMinimax(d=2),black,1797ffa5,13,0,558
QSearchMinimax(d=2),black,1797ffa5,13,1,35
QSearchMinimax(d=2),black,1797ffa5,13,2,1
QSearchMinimax(d=2),black,1797ffa5,14,-3,235
QSearchMinimax(d=2),black,1797ffa5,14,-2,168
QSearchMinimax(d=2),black,1797ffa5,14,-1,161
QSearchMinimax(d=2),black,1797ffa5,14,0,255
QSearchMinimax(d=2),black,1797ffa5,14,1,32
QSearchMinimax(d=2),black,1797ffa5,14,2,1
QSearchMinimax(d=2),black,1797ffa5,15,-3,298
QSearchMinimax(d=2),black,1797ffa5,15,-2,201
QSearchMinimax(d=2),black,1797ffa5,15,-1,180
QSearchMinimax(d=2),black,1797ffa5,15,0,161
QSearchMinimax(d=2),black,1797ffa5,15,1,26
QSearchMinimax(d=2),black,1797ffa5,15,2,1
QSearchMinimax(d=2),black,1797ffa5,16,-3,612
QSearchMinimax(d=2),black,1797ffa5,16,-2,524
QSearchMinimax(d=2),black,1797ffa5,16,-1,323
QSearchMinimax(d=2),black,1797ffa5,16,0,464
QSearchMinimax(d=2),black,1797ffa5,16,1,31
QSearchMinimax(d=2),black,1797ffa5,16,2,1
QSearchMinimax(d=2),black,1797ffa5,17,-3,513
QSearchMinimax(d=2),black,1797ffa5,17,-2,437
QSearchMinimax(d=2),black,1797ffa5,17,-1,296
QSearchMinimax(d=2),black,1797ffa5,17,0,307
QSearchMinimax(d=2),black,1797ffa5,17,1,30
QSearchMinimax(d=2),black,1797ffa5,17,2,1
QSearchMinimax(d=2),black,1797ffa5,18,-3,70
QSearchMinimax(d=2),black,1797ffa5,18,-2,100
QSearchMinimax(d=2),black,1797ffa5,18,-1,136
QSearchMinimax(d=2),black,1797ffa5,18,0,140
QSearchMinimax(d=2),black,1797ffa5,18,1,32
QSearchMinimax(d=2),black,1797ffa5,18,2,1
QSearchMinimax(d=2),black,1797ffa5,19,-3,483
QSearchMinimax(d=2),black,1797ffa5,19,-2,462
QSearchMinimax(d=2),black,1797ffa5,19,-1,337
QSearchMinimax(d=2),black,1797ffa5,19,0,475
QSearchMinimax(d=2),black,1797ffa5,19,1,29
QSearchMinimax(d=2),black,1797ffa5,19,2,1
QSearchMinimax(d=2),black,1797ffa5,20,-3,706
QSearchMinimax(d=2),black,1797ffa5,20,-2,740
QSearchMinimax(d=2),black,1797ffa5,20,-1,397
QSearchMinimax(d=2),black,1797ffa5,20,0,511
QSearchMinimax(d=2),black,1797ffa5,20,1,28
QSearchMinimax(d=2),black,1797ffa5,20,2,1
QSearchMinimax(d=2),black,1797ffa5,21,-3,1000
QSearchMinimax(d=2),black,1797ffa5,21,-2,999
QSearchMinimax(d=2),black,1797ffa5,21,-1,397
QSearchMinimax(d=2),black,1797ffa5,21,0,477
QSearchMinimax(d=2),black,1797ffa5,21,1,27
QSearchMinimax(d=2),black,1797ffa5,21,2,1
QSearchMinimax(d=2),black,1797ffa5,22,-3,721
QSearchMinimax(d=2),black,1797ffa5,22,-2,325
QSearchMinimax(d=2),black,1797ffa5,22,-1,249
QSearchMinimax(d=2),black,1797ffa5,22,0,132
QSearchMinimax(d=2),black,1797ffa5,22,1,30
QSearchMinimax(d=2),black,1797ffa5,22,2,1
QSearchMinimax(d=2),black,1797ffa5,23,-3,934
QSearchMinimax(d=2),black,1797ffa5,23,-2,699
QSearchMinimax(d=2),black,1797ffa5,23,-1,375
QSearchMinimax(d=2),black,1797ffa5,23,0,534
QSearchMinimax(d=2),black,1797ffa5,23,1,29
QSearchMinimax(d=2),black,1797ffa5,23,2,1
QSearchMinimax(d=2),black,1797ffa5,24,-3,899
QSearchMinimax(d=2),black,1797ffa5,24,-2,702
QSearchMinimax(d=2),black,1797ffa5,24,-1,357
QSearchMinimax(d=2),black,1797ffa5,24,0,561
QSearchMinimax(d=2),black,1797ffa5,24,1,27
QSearchMinimax(d=2),black,1797ffa5,24,2,1
QSearchMinimax(d=2),black,1797ffa5,25,-3,721
QSearchMinimax(d=2),black,1797ffa5,25,-2,564
QSearchMinimax(d=2),black,1797ffa5,25,-1,296
QSearchMinimax(d=2),black,1797ffa5,25,0,474
QSearchMinimax(d=2),black,1797ffa5,25,1,24
QSearchMinimax(d=2),black,1797ffa5,25,2,1
QSearchMinimax(d=2),black,1797ffa5,26,-3,649
QSearchMinimax(d=2),black,1797ffa5,26,-2,577
QSearchMinimax(d=2),black,1797ffa5,26,-1,296
QSearchMinimax(d=2),black,1797ffa5,26,0,364
QSearchMinimax(d=2),black,1797ffa5,26,1,27
QSearchMinimax(d=2),black,1797ffa5,26,2,1
QSearchMinimax(d=2),black,1797ffa5,27,-3,620
QSearchMinimax(d=2),black,1797ffa5,27,-2,419
QSearchMinimax(d=2),black,1797ffa5,27,-1,254
QSearchMinimax(d=2),black,1797ffa5,27,0,189
QSearchMinimax(d=2),black,1797ffa5,27,1,27
QSearchMinimax(d=2),black,1797ffa5,27,2,1
QSearchMinimax(d=2),black,1797ffa5,28,-3,696
