agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=2),black,2f25ecd5,1,-3,22
QSearchMinimax(d=2),black,2f25ecd5,1,-2,18
QSearchMinimax(d=2),black,2f25ecd5,1,-1,47
QSearchMinimax(d=2),black,2f25ecd5,1,0,314
QSearchMinimax(d=2),black,2f25ecd5,1,1,20
QSearchMinimax(d=2),black,2f25ecd5,1,2,1
QSearchMinimax(d=2),black,2f25ecd5,2,-3,22
QSearchMinimax(d=2),black,2f25ecd5,2,-2,66
QSearchMinimax(d=2),black,2f25ecd5,2,-1,62
QSearchMinimax(d=2),black,2f25ecd5,2,0,278
QSearchMinimax(d=2),black,2f25ecd5,2,1,21
QSearchMinimax(d=2),black,2f25ecd5,2,2,1
QSearchMinimax(d=2),black,2f25ecd5,3,-3,20
QSearchMinimax(d=2),black,2f25ecd5,3,-2,40
QSearchMinimax(d=2),black,2f25ecd5,3,-1,33
QSearchMinimax(d=2),black,2f25ecd5,3,0,170
QSearchMinimax(d=2),black,2f25ecd5,3,1,22
QSearchMinimax(d=2),black,2f25ecd5,3,2,1
QSearchMinimax(d=2),black,2f25ecd5,4,-3,32
QSearchMinimax(d=2),black,2f25ecd5,4,-2,62
QSearchMinimax(d=2),black,2f25ecd5,4,-1,67
QSearchMinimax(d=2),black,2f25ecd5,4,0,310
QSearchMinimax(d=2),black,2f25ecd5,4,1,21
QSearchMinimax(d=2),black,2f25ecd5,4,2,1
QSearchMinimax(d=2),black,2f25ecd5,5,-3,108
QSearchMinimax(d=2),black,2f25ecd5,5,-2,101
QSearchMinimax(d=2),black,2f25ecd5,5,-1,140
QSearchMinimax(d=2),black,2f25ecd5,5,0,283
QSearchMinimax(d=2),black,2f25ecd5,5,1,20
QSearchMinimax(d=2),black,2f25ecd5,5,2,1
QSearchMinimax(d=2),black,2f25ecd5,6,-3,706
QSearchMinimax(d=2),black,2f25ecd5,6,-2,455
QSearchMinimax(d=2),black,2f25ecd5,6,-1,422
QSearchMinimax(d=2),black,2f25ecd5,6,0,335
QSearchMinimax(d=2),black,2f25ecd5,6,1,29
QSearchMinimax(d=2),black,2f25ecd5,6,2,1
QSearchMinimax(d=2),black,2f25ecd5,7,-3,710
QSearchMinimax(d=2),black,2f25ecd5,7,-2,490
QSearchMinimax(d=2),black,2f25ecd5,7,-1,469
QSearchMinimax(d=2),black,2f25ecd5,7,0,254
QSearchMinimax(d=2),black,2f25ecd5,7,1,30
QSearchMinimax(d=2),black,2f25ecd5,7,2,1
QSearchMinimax(d=2),black,2f25ecd5,8,-3,799
QSearchMinimax(d=2),black,2f25ecd5,8,-2,361
QSearchMinimax(d=2),black,2f25ecd5,8,-1,354
QSearchMinimax(d=2),black,2f25ecd5,8,0,141
QSearchMinimax(d=2),black,2f25ecd5,8,1,30
QSearchMinimax(d=2),black,2f25ecd5,8,2,1
QSearchMinimax(d=2),black,2f25ecd5,9,-3,906
QSearchMinimax(d=2),black,2f25ecd5,9,-2,198
QSearchMinimax(d=2),black,2f25ecd5,9,-1,245
QSearchMinimax(d=2),black,2f25ecd5,9,0,42
QSearchMinimax(d=2),black,2f25ecd5,9,1,40
QSearchMinimax(d=2),black,2f25ecd5,9,2,1
QSearchMinimax(d=2),black,2f25ecd5,10,-3,833
QSearchMinimax(d=2),black,2f25ecd5,10,-2,286
QSearchMinimax(d=2),black,2f25ecd5,10,-1,285
QSearchMinimax(d=2),black,2f25ecd5,10,0,85
QSearchMinimax(d=2),black,2f25ecd5,10,1,37
QSearchMinimax(d=2),black,2f25ecd5,10,2,1
QSearchMinimax(d=2),black,2f25ecd5,11,-3,1852
QSearchMinimax(d=2),black,2f25ecd5,11,-2,723
QSearchMinimax(d=2),black,2f25ecd5,11,-1,599
QSearchMinimax(d=2),black,2f25ecd5,11,0,171
QSearchMinimax(d=2),black,2f25ecd5,11,1,42
QSearchMinimax(d=2),black,2f25ecd5,11,2,1
QSearchMinimax(d=2),black,2f25ecd5,12,-3,758
QSearchMinimax(d=2),black,2f25ecd5,12,-2,304
QSearchMinimax(d=2),black,2f25ecd5,12,-1,285
QSearchMinimax(d=2),black,2f25ecd5,12,0,95
QSearchMinimax(d=2),black,2f25ecd5,12,1,41
QSearchMinimax(d=2),black,2f25ecd5,12,2,1
QSearchMinimax(d=2),black,2f25ecd5,13,-3,2551
QSearchMinimax(d=2),black,2f25ecd5,13,-2,1206
QSearchMinimax(d=2),black,2f25ecd5,13,-1,974
QSearchMinimax(d=2),black,2f25ecd5,13,0,358
QSearchMinimax(d=2),black,2f25ecd5,13,1,45
QSearchMinimax(d=2),black,2f25ecd5,13,2,1
QSearchMinimax(d=2),black,2f25ecd5,14,-3,2572
QSearchMinimax(d=2),black,2f25ecd5,14,-2,1266
QSearchMinimax(d=2),black,2f25ecd5,14,-1,1049
QSearchMinimax(d=2),black,2f25ecd5,14,0,455
QSearchMinimax(d=2),black,2f25ecd5,14,1,38
QSearchMinimax(d=2),black,2f25ecd5,14,2,1
QSearchMinimax(d=2),black,2f25ecd5,15,-3,1263
QSearchMinimax(d=2),black,2f25ecd5,15,-2,760
QSearchMinimax(d=2),black,2f25ecd5,15,-1,349
QSearchMinimax(d=2),black,2f25ecd5,15,0,191
QSearchMinimax(d=2),black,2f25ecd5,15,1,38
QSearchMinimax(d=2),black,2f25ecd5,15,2,1
QSearchMinimax(d=2),black,2f25ecd5,16,-3,2234
QSearchMinimax(d=2),black,2f25ecd5,16,-2,1137
QSearchMinimax(d=2),black,2f25ecd5,16,-1,708
QSearchMinimax(d=2),black,2f25ecd5,16,0,353
QSearchMinimax(d=2),black,2f25ecd5,16,1,33
QSearchMinimax(d=2),black,2f25ecd5,16,2,1
QSearchMinimax(d=2),black,2f25ecd5,17,-3,2006
QSearchMinimax(d=2),black,2f25ecd5,17,-2,828
QSearchMinimax(d=2),black,2f25ecd5,17,-1,609
QSearchMinimax(d=2),black,2f25ecd5,17,0,265
QSearchMinimax(d=2),black,2f25ecd5,17,1,33
QSearchMinimax(d=2),black,2f25ecd5,17,2,1
QSearchMinimax(d=2),black,2f25ecd5,18,-3,1463
QSearchMinimax(d=2),black,2f25ecd5,18,-2,1130
QSearchMinimax(d=2),black,2f25ecd5,18,-1,684
QSearchMinimax(d=2),black,2f25ecd5,18,0,500
QSearchMinimax(d=2),black,2f25ecd5,18,1,27
QSearchMinimax(d=2),black,2f25ecd5,18,2,1
QSearchMinimax(d=2),black,2f25ecd5,19,-3,774
QSearchMinimax(d=2),black,2f25ecd5,19,-2,685
QSearchMinimax(d=2),black,2f25ecd5,19,-1,312
QSearchMinimax(d=2),black,2f25ecd5,19,0,248
QSearchMinimax(d=2),black,2f25ecd5,19,1,31
QSearchMinimax(d=2),black,2f25ecd5,19,2,1
QSearchMinimax(d=2),black,2f25ecd5,20,-3,1145
QSearchMinimax(d=2),black,2f25ecd5,20,-2,968
QSearchMinimax(d=2),black,2f25ecd5,20,-1,539
QSearchMinimax(d=2),black,2f25ecd5,20,0,351
QSearchMinimax(d=2),black,2f25ecd5,20,1,36
QSearchMinimax(d=2),black,2f25ecd5,20,2,1
QSearchMinimax(d=2),black,2f25ecd5,21,-3,1273
QSearchMinimax(d=2),black,2f25ecd5,21,-2,1035
QSearchMinimax(d=2),black,2f25ecd5,21,-1,571
QSearchMinimax(d=2),black,2f25ecd5,21,0,393
QSearchMinimax(d=2),black,2f25ecd5,21,1,34
QSearchMinimax(d=2),black,2f25ecd5,21,2,1
QSearchMinimax(d=2),black,2f25ecd5,22,-3,1015
QSearchMinimax(d=2),black,2f25ecd5,22,-2,600
QSearchMinimax(d=2),black,2f25ecd5,22,-1,407
QSearchMinimax(d=2),black,2f25ecd5,22,0,245
QSearchMinimax(d=2),black,2f25ecd5,22,1,35
QSearchMinimax(d=2),black,2f25ecd5,22,2,1
QSearchMinimax(d=2),black,2f25ecd5,23,-3,459
