agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=2),white,434254ef,1,-2,6
QSearchMinimax(d=2),white,434254ef,1,-1,9
QSearchMinimax(d=2),white,434254ef,1,0,120
QSearchMinimax(d=2),white,434254ef,1,1,20
QSearchMinimax(d=2),white,434254ef,1,2,1
QSearchMinimax(d=2),white,434254ef,2,-3,43
QSearchMinimax(d=2),white,434254ef,2,-2,57
QSearchMinimax(d=2),white,434254ef,2,-1,70
QSearchMinimax(d=2),white,434254ef,2,0,335
QSearchMinimax(d=2),white,434254ef,2,1,21
QSearchMinimax(d=2),white,434254ef,2,2,1
QSearchMinimax(d=2),white,434254ef,3,-3,61
QSearchMinimax(d=2),white,434254ef,3,-2,107
QSearchMinimax(d=2),white,434254ef,3,-1,94
QSearchMinimax(d=2),white,434254ef,3,0,335
QSearchMinimax(d=2),white,434254ef,3,1,22
QSearchMinimax(d=2),white,434254ef,3,2,1
QSearchMinimax(d=2),white,434254ef,4,-3,420
QSearchMinimax(d=2),white,434254ef,4,-2,344
QSearchMinimax(d=2),white,434254ef,4,-1,292
QSearchMinimax(d=2),white,434254ef,4,0,257
QSearchMinimax(d=2),white,434254ef,4,1,22
QSearchMinimax(d=2),white,434254ef,4,2,1
QSearchMinimax(d=2),white,434254ef,5,-3,107
QSearchMinimax(d=2),white,434254ef,5,-2,113
QSearchMinimax(d=2),white,434254ef,5,-1,128
QSearchMinimax(d=2),white,434254ef,5,0,297
QSearchMinimax(d=2),white,434254ef,5,1,19
QSearchMinimax(d=2),white,434254ef,5,2,1
QSearchMinimax(d=2),white,434254ef,6,-3,321
QSearchMinimax(d=2),white,434254ef,6,-2,316
QSearchMinimax(d=2),white,434254ef,6,-1,188
QSearchMinimax(d=2),white,434254ef,6,0,269
QSearchMinimax(d=2),white,434254ef,6,1,19
QSearchMinimax(d=2),white,434254ef,6,2,1
QSearchMinimax(d=2),white,434254ef,7,-3,583
QSearchMinimax(d=2),white,434254ef,7,-2,628
QSearchMinimax(d=2),white,434254ef,7,-1,319
QSearchMinimax(d=2),white,434254ef,7,0,443
QSearchMinimax(d=2),white,434254ef,7,1,23
QSearchMinimax(d=2),white,434254ef,7,2,1
QSearchMinimax(d=2),white,434254ef,8,-3,799
QSearchMinimax(d=2),white,434254ef,8,-2,742
QSearchMinimax(d=2),white,434254ef,8,-1,343
QSearchMinimax(d=2),white,434254ef,8,0,360
QSearchMinimax(d=2),white,434254ef,8,1,31
QSearchMinimax(d=2),white,434254ef,8,2,1
QSearchMinimax(d=2),white,434254ef,9,-3,331
QSearchMinimax(d=2),white,434254ef,9,-2,255
QSearchMinimax(d=2),white,434254ef,9,-1,162
QSearchMinimax(d=2),white,434254ef,9,0,324
QSearchMinimax(d=2),white,434254ef,9,1,23
QSearchMinimax(d=2),white,434254ef,9,2,1
QSearchMinimax(d=2),white,434254ef,10,-3,369
QSearchMinimax(d=2),white,434254ef,10,-2,268
QSearchMinimax(d=2),white,434254ef,10,-1,167
QSearchMinimax(d=2),white,434254ef,10,0,264
QSearchMinimax(d=2),white,434254ef,10,1,22
QSearchMinimax(d=2),white,434254ef,10,2,1
QSearchMinimax(d=2),white,434254ef,11,-3,362
QSearchMinimax(d=2),white,434254ef,11,-2,261
QSearchMinimax(d=2),white,434254ef,11,-1,156
QSearchMinimax(d=2),white,434254ef,11,0,189
QSearchMinimax(d=2),white,434254ef,11,1,23
QSearchMinimax(d=2),white,434254ef,11,2,1
QSearchMinimax(d=2),white,434254ef,12,-3,613
QSearchMinimax(d=2),white,434254ef,12,-2,551
QSearchMinimax(d=2),white,434254ef,12,-1,219
QSearchMinimax(d=2),white,434254ef,12,0,354
QSearchMinimax(d=2),white,434254ef,12,1,24
QSearchMinimax(d=2),white,434254ef,12,2,1
QSearchMinimax(d=2),white,434254ef,13,-3,686
QSearchMinimax(d=2),white,434254ef,13,-2,521
QSearchMinimax(d=2),white,434254ef,13,-1,177
QSearchMinimax(d=2),white,434254ef,13,0,130
QSearchMinimax(d=2),white,434254ef,13,1,25
QSearchMinimax(d=2),white,434254ef,13,2,1
QSearchMinimax(d=2),white,434254ef,14,-3,366
QSearchMinimax(d=2),white,434254ef,14,-2,300
QSearchMinimax(d=2),white,434254ef,14,-1,94
QSearchMinimax(d=2),white,434254ef,14,0,76
QSearchMinimax(d=2),white,434254ef,14,1,2
QSearchMinimax(d=2),white,434254ef,14,2,1
QSearchMinimax(d=2),white,434254ef,15,-3,337
QSearchMinimax(d=2),white,434254ef,15,-2,315
QSearchMinimax(d=2),white,434254ef,15,-1,91
QSearchMinimax(d=2),white,434254ef,15,0,82
QSearchMinimax(d=2),white,434254ef,15,1,2
QSearchMinimax(d=2),white,434254ef,15,2,1
QSearchMinimax(d=2),white,434254ef,16,-3,1742
QSearchMinimax(d=2),white,434254ef,16,-2,892
QSearchMinimax(d=2),white,434254ef,16,-1,413
QSearchMinimax(d=2),white,434254ef,16,0,249
QSearchMinimax(d=2),white,434254ef,16,1,26
QSearchMinimax(d=2),white,434254ef,16,2,1
QSearchMinimax(d=2),white,434254ef,17,-3,299
QSearchMinimax(d=2),white,434254ef,17,-2,274
QSearchMinimax(d=2),white,434254ef,17,-1,92
QSearchMinimax(d=2),white,434254ef,17,0,85
QSearchMinimax(d=2),white,434254ef,17,1,2
QSearchMinimax(d=2),white,434254ef,17,2,1
QSearchMinimax(d=2),white,434254ef,18,-3,152
QSearchMinimax(d=2),white,434254ef,18,-2,135
QSearchMinimax(d=2),white,434254ef,18,-1,50
QSearchMinimax(d=2),white,434254ef,18,0,48
QSearchMinimax(d=2),white,434254ef,18,1,1
QSearchMinimax(d=2),white,434254ef,18,2,1
