agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=2),black,4cb3726c,1,-3,22
QSearchMinimax(d=2),black,4cb3726c,1,-2,18
QSearchMinimax(d=2),black,4cb3726c,1,-1,47
QSearchMinimax(d=2),black,4cb3726c,1,0,314
QSearchMinimax(d=2),black,4cb3726c,1,1,20
QSearchMinimax(d=2),black,4cb3726c,1,2,1
QSearchMinimax(d=2),black,4cb3726c,2,-3,36
QSearchMinimax(d=2),black,4cb3726c,2,-2,32
QSearchMinimax(d=2),black,4cb3726c,2,-1,56
QSearchMinimax(d=2),black,4cb3726c,2,0,370
QSearchMinimax(d=2),black,4cb3726c,2,1,21
QSearchMinimax(d=2),black,4cb3726c,2,2,1
QSearchMinimax(d=2),black,4cb3726c,3,-3,125
QSearchMinimax(d=2),black,4cb3726c,3,-2,121
QSearchMinimax(d=2),black,4cb3726c,3,-1,83
QSearchMinimax(d=2),black,4cb3726c,3,0,210
QSearchMinimax(d=2),black,4cb3726c,3,1,22
QSearchMinimax(d=2),black,4cb3726c,3,2,1
QSearchMinimax(d=2),black,4cb3726c,4,-3,726
QSearchMinimax(d=2),black,4cb3726c,4,-2,480
QSearchMinimax(d=2),black,4cb3726c,4,-1,312
QSearchMinimax(d=2),black,4cb3726c,4,0,227
QSearchMinimax(d=2),black,4cb3726c,4,1,30
QSearchMinimax(d=2),black,4cb3726c,4,2,1
QSearchMinimax(d=2),black,4cb3726c,5,-3,478
QSearchMinimax(d=2),black,4cb3726c,5,-2,465
QSearchMinimax(d=2),black,4cb3726c,5,-1,180
QSearchMinimax(d=2),black,4cb3726c,5,0,154
QSearchMinimax(d=2),black,4cb3726c,5,1,6
QSearchMinimax(d=2),black,4cb3726c,5,2,1
QSearchMinimax(d=2),black,4cb3726c,6,-3,1908
QSearchMinimax(d=2),black,4cb3726c,6,-2,1685
QSearchMinimax(d=2),black,4cb3726c,6,-1,569
QSearchMinimax(d=2),black,4cb3726c,6,0,437
QSearchMinimax(d=2),black,4cb3726c,6,1,33
QSearchMinimax(d=2),black,4cb3726c,6,2,1
QSearchMinimax(d=2),black,4cb3726c,7,-3,1757
QSearchMinimax(d=2),black,4cb3726c,7,-2,1104
QSearchMinimax(d=2),black,4cb3726c,7,-1,533
QSearchMinimax(d=2),black,4cb3726c,7,0,342
QSearchMinimax(d=2),black,4cb3726c,7,1,33
QSearchMinimax(d=2),black,4cb3726c,7,2,1
QSearchMinimax(d=2),black,4cb3726c,8,-3,2157
QSearchMinimax(d=2),black,4cb3726c,8,-2,1281
QSearchMinimax(d=2),black,4cb3726c,8,-1,615
QSearchMinimax(d=2),black,4cb3726c,8,0,400
QSearchMinimax(d=2),black,4cb3726c,8,1,32
QSearchMinimax(d=2),black,4cb3726c,8,2,1
QSearchMinimax(d=2),black,4cb3726c,9,-3,264
QSearchMinimax(d=2),black,4cb3726c,9,-2,244
QSearchMinimax(d=2),black,4cb3726c,9,-1,128
QSearchMinimax(d=2),black,4cb3726c,9,0,119
QSearchMinimax(d=2),black,4cb3726c,9,1,4
QSearchMinimax(d=2),black,4cb3726c,9,2,1
QSearchMinimax(d=2),black,4cb3726c,10,-3,1195
QSearchMinimax(d=2),black,4cb3726c,10,-2,846
QSearchMinimax(d=2),black,4cb3726c,10,-1,426
QSearchMinimax(d=2),black,4cb3726c,10,0,259
QSearchMinimax(d=2),black,4cb3726c,10,1,37
QSearchMinimax(d=2),black,4cb3726c,10,2,1
QSearchMinimax(d=2),black,4cb3726c,11,-3,1006
