agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=2),black,9fc428ad,1,-3,41
QSearchMinimax(d=2),black,9fc428ad,1,-2,25
QSearchMinimax(d=2),black,9fc428ad,1,-1,44
QSearchMinimax(d=2),black,9fc428ad,1,0,279
QSearchMinimax(d=2),black,9fc428ad,1,1,20
QSearchMinimax(d=2),black,9fc428ad,1,2,1
QSearchMinimax(d=2),black,9fc428ad,2,-3,67
QSearchMinimax(d=2),black,9fc428ad,2,-2,135
QSearchMinimax(d=2),black,9fc428ad,2,-1,108
QSearchMinimax(d=2),black,9fc428ad,2,0,375
QSearchMinimax(d=2),black,9fc428ad,2,1,21
QSearchMinimax(d=2),black,9fc428ad,2,2,1
QSearchMinimax(d=2),black,9fc428ad,3,-3,81
QSearchMinimax(d=2),black,9fc428ad,3,-2,74
QSearchMinimax(d=2),black,9fc428ad,3,-1,76
QSearchMinimax(d=2),black,9fc428ad,3,0,277
QSearchMinimax(d=2),black,9fc428ad,3,1,22
QSearchMinimax(d=2),black,9fc428ad,3,2,1
QSearchMinimax(d=2),black,9fc428ad,4,-3,157
QSearchMinimax(d=2),black,9fc428ad,4,-2,158
QSearchMinimax(d=2),black,9fc428ad,4,-1,117
QSearchMinimax(d=2),black,9fc428ad,4,0,117
QSearchMinimax(d=2),black,9fc428ad,4,1,5
QSearchMinimax(d=2),black,9fc428ad,4,2,1
QSearchMinimax(d=2),black,9fc428ad,5,-3,142
QSearchMinimax(d=2),black,9fc428ad,5,-2,178
QSearchMinimax(d=2),black,9fc428ad,5,-1,155
QSearchMinimax(d=2),black,9fc428ad,5,0,397
QSearchMinimax(d=2),black,9fc428ad,5,1,28
QSearchMinimax(d=2),black,9fc428ad,5,2,1
QSearchMinimax(d=2),black,9fc428ad,6,-3,122
QSearchMinimax(d=2),black,9fc428ad,6,-2,117
QSearchMinimax(d=2),black,9fc428ad,6,-1,117
QSearchMinimax(d=2),black,9fc428ad,6,0,226
QSearchMinimax(d=2),black,9fc428ad,6,1,24
QSearchMinimax(d=2),black,9fc428ad,6,2,1
QSearchMinimax(d=2),black,9fc428ad,7,-3,79
QSearchMinimax(d=2),black,9fc428ad,7,-2,93
QSearchMinimax(d=2),black,9fc428ad,7,-1,109
QSearchMinimax(d=2),black,9fc428ad,7,0,191
QSearchMinimax(d=2),black,9fc428ad,7,1,25
QSearchMinimax(d=2),black,9fc428ad,7,2,1
QSearchMinimax(d=2),black,9fc428ad,8,-3,412
QSearchMinimax(d=2),black,9fc428ad,8,-2,413
QSearchMinimax(d=2),black,9fc428ad,8,-1,329
QSearchMinimax(d=2),black,9fc428ad,8,0,509
QSearchMinimax(d=2),black,9fc428ad,8,1,33
QSearchMinimax(d=2),black,9fc428ad,8,2,1
QSearchMinimax(d=2),black,9fc428ad,9,-3,930
QSearchMinimax(d=2),black,9fc428ad,9,-2,702
QSearchMinimax(d=2),black,9fc428ad,9,-1,373
QSearchMinimax(d=2),black,9fc428ad,9,0,383
QSearchMinimax(d=2),black,9fc428ad,9,1,33
QSearchMinimax(d=2),black,9fc428ad,9,2,1
QSearchMinimax(d=2),black,9fc428ad,10,-3,1039
QSearchMinimax(d=2),black,9fc428ad,10,-2,732
QSearchMinimax(d=2),black,9fc428ad,10,-1,384
QSearchMinimax(d=2),black,9fc428ad,10,0,358
QSearchMinimax(d=2),black,9fc428ad,10,1,34
QSearchMinimax(d=2),black,9fc428ad,10,2,1
QSearchMinimax(d=2),black,9fc428ad,11,-3,1329
QSearchMinimax(d=2),black,9fc428ad,11,-2,958
QSearchMinimax(d=2),black,9fc428ad,11,-1,490
QSearchMinimax(d=2),black,9fc428ad,11,0,559
QSearchMinimax(d=2),black,9fc428ad,11,1,41
QSearchMinimax(d=2),black,9fc428ad,11,2,1
QSearchMinimax(d=2),black,9fc428ad,12,-3,928
QSearchMinimax(d=2),black,9fc428ad,12,-2,813
QSearchMinimax(d=2),black,9fc428ad,12,-1,365
QSearchMinimax(d=2),black,9fc428ad,12,0,281
QSearchMinimax(d=2),black,9fc428ad,12,1,40
QSearchMinimax(d=2),black,9fc428ad,12,2,1
QSearchMinimax(d=2),black,9fc428ad,13,-3,479
QSearchMinimax(d=2),black,9fc428ad,13,-2,385
QSearchMinimax(d=2),black,9fc428ad,13,-1,199
QSearchMinimax(d=2),black,9fc428ad,13,0,132
QSearchMinimax(d=2),black,9fc428ad,13,1,35
QSearchMinimax(d=2),black,9fc428ad,13,2,1
QSearchMinimax(d=2),black,9fc428ad,14,-3,1514
QSearchMinimax(d=2),black,9fc428ad,14,-2,1150
QSearchMinimax(d=2),black,9fc428ad,14,-1,471
QSearchMinimax(d=2),black,9fc428ad,14,0,342
QSearchMinimax(d=2),black,9fc428ad,14,1,37
QSearchMinimax(d=2),black,9fc428ad,14,2,1
QSearchMinimax(d=2),black,9fc428ad,15,-3,3172
QSearchMinimax(d=2),black,9fc428ad,15,-2,1929
QSearchMinimax(d=2),black,9fc428ad,15,-1,887
QSearchMinimax(d=2),black,9fc428ad,15,0,528
QSearchMinimax(d=2),black,9fc428ad,15,1,33
QSearchMinimax(d=2),black,9fc428ad,15,2,1
QSearchMinimax(d=2),black,9fc428ad,16,-3,1876
QSearchMinimax(d=2),black,9fc428ad,16,-2,800
QSearchMinimax(d=2),black,9fc428ad,16,-1,402
QSearchMinimax(d=2),black,9fc428ad,16,0,134
QSearchMinimax(d=2),black,9fc428ad,16,1,8
QSearchMinimax(d=2),black,9fc428ad,16,2,1
QSearchMinimax(d=2),black,9fc428ad,17,-3,1264
QSearchMinimax(d=2),black,9fc428ad,17,-2,659
QSearchMinimax(d=2),black,9fc428ad,17,-1,285
QSearchMinimax(d=2),black,9fc428ad,17,0,128
QSearchMinimax(d=2),black,9fc428ad,17,1,5
QSearchMinimax(d=2),black,9fc428ad,17,2,1
QSearchMinimax(d=2),black,9fc428ad,18,-3,4214
QSearchMinimax(d=2),black,9fc428ad,18,-2,2733
QSearchMinimax(d=2),black,9fc428ad,18,-1,904
QSearchMinimax(d=2),black,9fc428ad,18,0,460
QSearchMinimax(d=2),black,9fc428ad,18,1,33
QSearchMinimax(d=2),black,9fc428ad,18,2,1
QSearchMinimax(d=2),black,9fc428ad,19,-3,1489
QSearchMinimax(d=2),black,9fc428ad,19,-2,1182
QSearchMinimax(d=2),black,9fc428ad,19,-1,296
QSearchMinimax(d=2),black,9fc428ad,19,0,193
QSearchMinimax(d=2),black,9fc428ad,19,1,30
QSearchMinimax(d=2),black,9fc428ad,19,2,1
QSearchMinimax(d=2),black,9fc428ad,20,-3,4522
