agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=2),white,af5b6b8d,1,-2,6
QSearchMinimax(d=2),white,af5b6b8d,1,-1,9
QSearchMinimax(d=2),white,af5b6b8d,1,0,120
QSearchMinimax(d=2),white,af5b6b8d,1,1,20
QSearchMinimax(d=2),white,af5b6b8d,1,2,1
QSearchMinimax(d=2),white,af5b6b8d,2,-3,32
QSearchMinimax(d=2),white,af5b6b8d,2,-2,27
QSearchMinimax(d=2),white,af5b6b8d,2,-1,45
QSearchMinimax(d=2),white,af5b6b8d,2,0,225
QSearchMinimax(d=2),white,af5b6b8d,2,1,22
QSearchMinimax(d=2),white,af5b6b8d,2,2,1
QSearchMinimax(d=2),white,af5b6b8d,3,-3,86
QSearchMinimax(d=2),white,af5b6b8d,3,-2,80
QSearchMinimax(d=2),white,af5b6b8d,3,-1,120
QSearchMinimax(d=2),white,af5b6b8d,3,0,254
QSearchMinimax(d=2),white,af5b6b8d,3,1,21
QSearchMinimax(d=2),white,af5b6b8d,3,2,1
QSearchMinimax(d=2),white,af5b6b8d,4,-3,464
QSearchMinimax(d=2),white,af5b6b8d,4,-2,382
QSearchMinimax(d=2),white,af5b6b8d,4,-1,372
QSearchMinimax(d=2),white,af5b6b8d,4,0,287
QSearchMinimax(d=2),white,af5b6b8d,4,1,29
QSearchMinimax(d=2),white,af5b6b8d,4,2,1
QSearchMinimax(d=2),white,af5b6b8d,5,-3,990
QSearchMinimax(d=2),white,af5b6b8d,5,-2,725
QSearchMinimax(d=2),white,af5b6b8d,5,-1,587
QSearchMinimax(d=2),white,af5b6b8d,5,0,358
QSearchMinimax(d=2),white,af5b6b8d,5,1,35
QSearchMinimax(d=2),white,af5b6b8d,5,2,1
QSearchMinimax(d=2),white,af5b6b8d,6,-3,103
QSearchMinimax(d=2),white,af5b6b8d,6,-2,146
QSearchMinimax(d=2),white,af5b6b8d,6,-1,62
QSearchMinimax(d=2),white,af5b6b8d,6,0,68
QSearchMinimax(d=2),white,af5b6b8d,6,1,3
QSearchMinimax(d=2),white,af5b6b8d,6,2,1
QSearchMinimax(d=2),white,af5b6b8d,7,-3,265
QSearchMinimax(d=2),white,af5b6b8d,7,-2,455
QSearchMinimax(d=2),white,af5b6b8d,7,-1,171
QSearchMinimax(d=2),white,af5b6b8d,7,0,147
QSearchMinimax(d=2),white,af5b6b8d,7,1,6
QSearchMinimax(d=2),white,af5b6b8d,7,2,1
QSearchMinimax(d=2),white,af5b6b8d,8,-3,336
QSearchMinimax(d=2),white,af5b6b8d,8,-2,228
QSearchMinimax(d=2),white,af5b6b8d,8,-1,101
QSearchMinimax(d=2),white,af5b6b8d,8,0,67
QSearchMinimax(d=2),white,af5b6b8d,8,1,3
QSearchMinimax(d=2),white,af5b6b8d,8,2,1
QSearchMinimax(d=2),white,af5b6b8d,9,-3,383
QSearchMinimax(d=2),white,af5b6b8d,9,-2,360
QSearchMinimax(d=2),white,af5b6b8d,9,-1,167
QSearchMinimax(d=2),white,af5b6b8d,9,0,158
QSearchMinimax(d=2),white,af5b6b8d,9,1,5
QSearchMinimax(d=2),white,af5b6b8d,9,2,1
QSearchMinimax(d=2),white,af5b6b8d,10,-3,797
QSearchMinimax(d=2),white,af5b6b8d,10,-2,763
QSearchMinimax(d=2),white,af5b6b8d,10,-1,349
QSearchMinimax(d=2),white,af5b6b8d,10,0,323
QSearchMinimax(d=2),white,af5b6b8d,10,1,36
QSearchMinimax(d=2),white,af5b6b8d,10,2,1
QSearchMinimax(d=2),white,af5b6b8d,11,-3,491
QSearchMinimax(d=2),white,af5b6b8d,11,-2,463
QSearchMinimax(d=2),white,af5b6b8d,11,-1,188
QSearchMinimax(d=2),white,af5b6b8d,11,0,160
QSearchMinimax(d=2),white,af5b6b8d,11,1,5
QSearchMinimax(d=2),white,af5b6b8d,11,2,1
QSearchMinimax(d=2),white,af5b6b8d,12,-3,386
QSearchMinimax(d=2),white,af5b6b8d,12,-2,338
QSearchMinimax(d=2),white,af5b6b8d,12,-1,137
QSearchMinimax(d=2),white,af5b6b8d,12,0,108
QSearchMinimax(d=2),white,af5b6b8d,12,1,5
QSearchMinimax(d=2),white,af5b6b8d,12,2,1
QSearchMinimax(d=2),white,af5b6b8d,13,-3,736
QSearchMinimax(d=2),white,af5b6b8d,13,-2,755
QSearchMinimax(d=2),white,af5b6b8d,13,-1,290
