agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=2),black,c5386152,1,-3,41
QSearchMinimax(d=2),black,c5386152,1,-2,25
QSearchMinimax(d=2),black,c5386152,1,-1,44
QSearchMinimax(d=2),black,c5386152,1,0,279
QSearchMinimax(d=2),black,c5386152,1,1,20
QSearchMinimax(d=2),black,c5386152,1,2,1
QSearchMinimax(d=2),black,c5386152,2,-3,53
QSearchMinimax(d=2),black,c5386152,2,-2,94
QSearchMinimax(d=2),black,c5386152,2,-1,94
QSearchMinimax(d=2),black,c5386152,2,0,298
QSearchMinimax(d=2),black,c5386152,2,1,19
QSearchMinimax(d=2),black,c5386152,2,2,1
QSearchMinimax(d=2),black,c5386152,3,-3,57
QSearchMinimax(d=2),black,c5386152,3,-2,79
QSearchMinimax(d=2),black,c5386152,3,-1,91
QSearchMinimax(d=2),black,c5386152,3,0,254
QSearchMinimax(d=2),black,c5386152,3,1,20
QSearchMinimax(d=2),black,c5386152,3,2,1
QSearchMinimax(d=2),black,c5386152,4,-3,161
QSearchMinimax(d=2),black,c5386152,4,-2,138
QSearchMinimax(d=2),black,c5386152,4,-1,103
QSearchMinimax(d=2),black,c5386152,4,0,200
QSearchMinimax(d=2),black,c5386152,4,1,21
QSearchMinimax(d=2),black,c5386152,4,2,1
QSearchMinimax(d=2),black,c5386152,5,-3,349
QSearchMinimax(d=2),black,c5386152,5,-2,240
QSearchMinimax(d=2),black,c5386152,5,-1,162
QSearchMinimax(d=2),black,c5386152,5,0,276
QSearchMinimax(d=2),black,c5386152,5,1,23
QSearchMinimax(d=2),black,c5386152,5,2,1
QSearchMinimax(d=2),black,c5386152,6,-3,178
QSearchMinimax(d=2),black,c5386152,6,-2,169
QSearchMinimax(d=2),black,c5386152,6,-1,115
QSearchMinimax(d=2),black,c5386152,6,0,164
QSearchMinimax(d=2),black,c5386152,6,1,24
QSearchMinimax(d=2),black,c5386152,6,2,1
QSearchMinimax(d=2),black,c5386152,7,-3,683
