agent_name,agent_color,game_id,move_number,depth,search_calls
QSearchMinimax(d=2),white,ef292bef,1,-2,6
QSearchMinimax(d=2),white,ef292bef,1,-1,9
QSearchMinimax(d=2),white,ef292bef,1,0,120
QSearchMinimax(d=2),white,ef292bef,1,1,20
QSearchMinimax(d=2),white,ef292bef,1,2,1
QSearchMinimax(d=2),white,ef292bef,2,-3,4
QSearchMinimax(d=2),white,ef292bef,2,-2,17
QSearchMinimax(d=2),white,ef292bef,2,-1,55
QSearchMinimax(d=2),white,ef292bef,2,0,283
QSearchMinimax(d=2),white,ef292bef,2,1,21
QSearchMinimax(d=2),white,ef292bef,2,2,1
QSearchMinimax(d=2),white,ef292bef,3,-3,63
QSearchMinimax(d=2),white,ef292bef,3,-2,71
QSearchMinimax(d=2),white,ef292bef,3,-1,65
QSearchMinimax(d=2),white,ef292bef,3,0,235
QSearchMinimax(d=2),white,ef292bef,3,1,20
QSearchMinimax(d=2),white,ef292bef,3,2,1
QSearchMinimax(d=2),white,ef292bef,4,-3,1
QSearchMinimax(d=2),white,ef292bef,4,-2,10
QSearchMinimax(d=2),white,ef292bef,4,-1,36
QSearchMinimax(d=2),white,ef292bef,4,0,210
QSearchMinimax(d=2),white,ef292bef,4,1,19
QSearchMinimax(d=2),white,ef292bef,4,2,1
QSearchMinimax(d=2),white,ef292bef,5,-3,48
QSearchMinimax(d=2),white,ef292bef,5,-2,126
QSearchMinimax(d=2),white,ef292bef,5,-1,138
QSearchMinimax(d=2),white,ef292bef,5,0,247
QSearchMinimax(d=2),white,ef292bef,5,1,20
QSearchMinimax(d=2),white,ef292bef,5,2,1
QSearchMinimax(d=2),white,ef292bef,6,-3,143
QSearchMinimax(d=2),white,ef292bef,6,-2,206
QSearchMinimax(d=2),white,ef292bef,6,-1,136
QSearchMinimax(d=2),white,ef292bef,6,0,346
QSearchMinimax(d=2),white,ef292bef,6,1,26
QSearchMinimax(d=2),white,ef292bef,6,2,1
QSearchMinimax(d=2),white,ef292bef,7,-3,1064
QSearchMinimax(d=2),white,ef292bef,7,-2,787
QSearchMinimax(d=2),white,ef292bef,7,-1,697
QSearchMinimax(d=2),white,ef292bef,7,0,549
QSearchMinimax(d=2),white,ef292bef,7,1,31
QSearchMinimax(d=2),white,ef292bef,7,2,1
QSearchMinimax(d=2),white,ef292bef,8,-3,278
QSearchMinimax(d=2),white,ef292bef,8,-2,282
QSearchMinimax(d=2),white,ef292bef,8,-1,156
